pitcher,tto1_delta_vs_overall,tto2_delta_vs_overall,tto3_delta_vs_overall,tto4_delta_vs_overall,tto1_pa,tto2_pa,tto3_pa,tto4_pa,tto1_rate,tto2_rate,tto3_rate,tto4_rate,overall_rate,total_pa,tto3_minus_tto1,player_name
542914,0.0,,,,872.0,,,,-0.17889908256880735,,,,-0.17889908256880735,872,,Anthony Bass
542947,0.0,,,,941.0,,,,-0.3007438894792774,,,,-0.3007438894792774,941,,Richard Bleier
542960,0.0,,,,669.0,,,,-0.24813153961136025,,,,-0.24813153961136025,669,,
543022,0.043,-0.0528,-0.1192,,596.0,253.0,103.0,,-0.21644295302013422,-0.31225296442687744,-0.3786407766990291,,-0.25945378151260506,952,-0.1622,Tyler Chatwood
543037,-0.0148,0.0072,0.011,,1602.0,1591.0,1119.0,,-0.08302122347066167,-0.06096794468887492,-0.05719392314566577,,-0.06818181818181818,4312,0.0258,Gerrit Cole
543056,0.0,,,,819.0,,,,-0.14407814407814407,,,,-0.14407814407814407,819,,Danny Coulombe
543101,0.0539,0.0023,-0.1301,,1076.0,981.0,463.0,,-0.19609665427509293,-0.24770642201834864,-0.3801295896328294,,-0.25,2520,-0.184,Anthony DeSclafani
543135,0.0119,-0.0267,0.0231,,1581.0,1444.0,855.0,,-0.18785578747628084,-0.22645429362880887,-0.17660818713450294,,-0.19974226804123713,3880,0.0112,Nathan Eovaldi
543208,0.0502,-0.058,-0.1519,,589.0,243.0,102.0,,-0.22920203735144312,-0.3374485596707819,-0.43137254901960786,,-0.27944325481798715,934,-0.2022,
543243,0.0666,-0.0171,-0.0969,,1866.0,1772.0,971.0,,-0.09914255091103966,-0.18284424379232506,-0.262615859938208,,-0.1657626383163376,4609,-0.1635,Sonny Gray
543272,0.0,,,,1254.0,,,,-0.17464114832535885,,,,-0.17464114832535885,1254,,Brad Hand
543294,0.0631,-0.0113,-0.0896,,1750.0,1705.0,1018.0,,-0.22057142857142858,-0.29501466275659827,-0.37328094302554027,,-0.2837022132796781,4473,-0.1527,Kyle Hendricks
543339,0.0,,,,1067.0,,,,-0.14901593252108716,,,,-0.14901593252108716,1067,,Daniel Hudson
543475,0.0345,-0.0164,-0.038,,1356.0,1164.0,729.0,,-0.27728613569321536,-0.3281786941580756,-0.3497942386831276,,-0.311788242536165,3249,-0.0725,Jordan Lyles
543507,0.0,,,,950.0,,,,-0.14421052631578948,,,,-0.14421052631578948,950,,Trevor May
543521,0.0258,-0.2983,,,1248.0,108.0,,,-0.10176282051282051,-0.42592592592592593,,,-0.1275811209439528,1356,,Collin McHugh
543548,0.0421,-0.0885,0.1085,,376.0,283.0,85.0,,-0.2898936170212766,-0.4204946996466431,-0.2235294117647059,,-0.33198924731182794,744,0.0664,Tommy Milone
543557,0.0363,0.0055,-0.1409,,490.0,308.0,138.0,,-0.2938775510204082,-0.3246753246753247,-0.47101449275362317,,-0.3301282051282051,936,-0.1771,Mike Montgomery
543606,0.0838,0.035,-0.2897,,958.0,917.0,388.0,,-0.1419624217118998,-0.19083969465648856,-0.5154639175257731,,-0.22580645161290322,2263,-0.3735,Jake Odorizzi
543699,0.0239,0.0118,-0.054,,575.0,546.0,373.0,,-0.26260869565217393,-0.27472527472527475,-0.34048257372654156,,-0.28647925033467203,1494,-0.0779,
543766,0.0,,,,1373.0,,,,-0.2920611798980335,,,,-0.2920611798980335,1373,,Bryan Shaw
543859,0.0,,,,731.0,,,,-0.19425444596443228,,,,-0.19425444596443228,731,,Michael Tonkin
544150,-0.0401,0.0839,-0.0622,,347.0,235.0,93.0,,-0.3112391930835735,-0.18723404255319148,-0.3333333333333333,,-0.27111111111111114,675,-0.0221,Albert Suárez
544727,0.0,,,,1105.0,,,,-0.2416289592760181,,,,-0.2416289592760181,1105,,Jeurys Familia
544931,0.0477,-0.015,-0.0443,,547.0,532.0,409.0,,-0.09140767824497258,-0.15413533834586465,-0.18337408312958436,,-0.13911290322580644,1488,-0.092,
545333,0.0484,0.0039,-0.0754,0.0948,708.0,697.0,582.0,73.0,-0.08757062146892655,-0.13199426111908177,-0.211340206185567,-0.0410958904109589,-0.13592233009708737,2060,-0.1238,Trevor Bauer
547179,0.0247,-0.0105,-0.0625,,1695.0,925.0,513.0,,-0.2383480825958702,-0.2735135135135135,-0.3255360623781676,,-0.26300670284072775,3133,-0.0872,Michael Lorenzen
547888,0.1034,0.0224,-0.2001,,530.0,517.0,332.0,,-0.14528301886792452,-0.2263056092843327,-0.44879518072289154,,-0.24873096446700507,1379,-0.3035,Masahiro Tanaka
