rank,batter,player_name,team,primary_position,pa_to,lineup_spot_to,prior_fp_per_pa,xfp_rh3_april_per_pa,xfp_rh3_april_per_game,xfp_rh3_april_sigma,xfp_rh3_april_p25,xfp_rh3_april_p75,expected_pa_remaining,expected_total_fp_remaining
32,695734,Daylen Lile,WSH,OF,123,4.185185185185185,0.6344829786075105,0.574377091835979,2.01,0.10530860949063112,0.5033464347345483,0.6454077489374096,541.0,310.7
33,676475,Alec Burleson,STL,1B,112,3.0,0.5708414774331102,0.5734993863362707,2.01,0.10530860949063112,0.5024687292348401,0.6445300434377014,493.0,282.7
34,661388,William Contreras,MIL,C,106,2.260869565217391,0.5799992822931648,0.573498909015226,2.01,0.10530860949063112,0.5024682519137954,0.6445295661166567,466.0,267.3
35,663656,Kyle Tucker,LAD,OF,116,2.2,0.7525950020217372,0.5725322583818903,2.0,0.10530860949063112,0.5015016012804596,0.6435629154833209,510.0,292.0
36,669127,Shea Langeliers,ATH,C,117,2.076923076923077,0.5370064120668352,0.5693937698745883,1.99,0.10530860949063112,0.49836311277315765,0.640424426976019,515.0,293.2
37,656941,Kyle Schwarber,PHI,OF,122,1.962962962962963,0.6309778995412504,0.5683794790052644,1.99,0.10530860949063112,0.4973488219038337,0.6394101361066951,537.0,305.2
38,647304,Josh Naylor,SEA,1B,114,4.0,0.6771963928865486,0.5653786241418484,1.98,0.10530860949063112,0.49434796704041767,0.636409281243279,502.0,283.8
39,689414,Liam Hicks,MIA,C,94,4.45,0.49556214036003843,0.5602432428593701,1.96,0.10530860949063112,0.4892125857579394,0.6312738999608007,414.0,231.9
40,805779,Jacob Wilson,ATH,SS,113,4.307692307692308,0.6082862247149823,0.5601936862372175,1.96,0.10530860949063112,0.48916302913578685,0.6312243433386482,497.0,278.4
41,672695,Geraldo Perdomo,AZ,SS,102,2.84,0.6353494196114541,0.5596609542489432,1.96,0.10530860949063112,0.48863029714751255,0.6306916113503739,449.0,251.3
42,681624,Andy Pages,LAD,OF,108,6.461538461538462,0.51816127705546,0.5576478386950522,1.95,0.10530860949063112,0.4866171815936215,0.6286784957964828,475.0,264.9
43,677800,Wilyer Abreu,BOS,OF,110,4.576923076923077,0.5434534647550008,0.5555455529613522,1.94,0.10530860949063112,0.4845148958599215,0.6265762100627829,484.0,268.9
44,607043,Brandon Nimmo,TEX,OF,123,1.0,0.5420449684648432,0.5522913236273261,1.93,0.10530860949063112,0.48126066652589544,0.6233219807287568,541.0,298.8
45,686469,Vinnie Pasquantino,KC,1B,115,3.1538461538461537,0.6205335481850367,0.5521523753542328,1.93,0.10530860949063112,0.4811217182528021,0.6231830324556634,506.0,279.4
46,545361,Mike Trout,LAA,OF,125,2.0,0.5032542490023311,0.5520411595294488,1.93,0.10530860949063112,0.48101050242801807,0.6230718166308794,550.0,303.6
47,669364,Xavier Edwards,MIA,2B,117,3.6296296296296298,0.5231573454651182,0.5500013983553943,1.93,0.10530860949063112,0.4789707412539636,0.6210320554568249,515.0,283.3
48,656811,Ryan O'Hearn,PIT,OF,105,3.9166666666666665,0.5625480596838955,0.5463911805977573,1.91,0.10530860949063112,0.47536052349632657,0.6174218376991879,462.0,252.4
49,672640,Otto Lopez,MIA,SS,110,4.076923076923077,0.5202472959628682,0.5437128819783894,1.9,0.10530860949063112,0.4726822248769587,0.61474353907982,484.0,263.2
50,608369,Corey Seager,TEX,SS,112,2.8076923076923075,0.6810079842948391,0.5431058487749738,1.9,0.10530860949063112,0.4720751916735431,0.6141365058764044,493.0,267.8
51,678246,Miguel Vargas,CWS,3B,116,2.8,0.4772737725412797,0.5407329610446271,1.89,0.10530860949063112,0.4697023039431964,0.6117636181460577,510.0,275.8
52,665487,Fernando Tatis Jr.,SD,OF,113,1.8,0.6141836228085314,0.539891298221299,1.89,0.10530860949063112,0.4688606411198683,0.6109219553227296,497.0,268.3
53,805808,Kevin McGonigle,DET,SS,119,2.3076923076923075,0.47707111588841494,0.53959982434549,1.89,0.10530860949063112,0.46856916724405934,0.6106304814469207,524.0,282.8
54,624413,Pete Alonso,BAL,1B,120,3.259259259259259,0.6095401042589639,0.5388647090913111,1.89,0.10530860949063112,0.46783405198988043,0.6098953661927418,528.0,284.5
55,673548,Seiya Suzuki,CHC,OF,66,4.461538461538462,0.5610989512951249,0.5387174782262609,1.89,0.10530860949063112,0.46768682112483023,0.6097481353276916,290.0,156.2
56,514888,Jose Altuve,HOU,2B,121,2.3703703703703702,0.6013743572628745,0.537425269388633,1.88,0.10530860949063112,0.4663946122872023,0.6084559264900636,532.0,285.9
57,672580,Maikel Garcia,KC,3B,110,1.0,0.5420884387814344,0.5365492762718383,1.88,0.10294512323084218,0.46711279065263533,0.6059857618910414,484.0,259.7
58,668939,Adley Rutschman,BAL,C,52,3.583333333333333,0.5245661790706078,0.5362832881666937,1.88,0.10294512323084218,0.46684680254749067,0.6057197737858967,229.0,122.8
59,669257,Will Smith,LAD,C,89,3.684210526315789,0.6144389892989243,0.5362768802573505,1.88,0.10294512323084218,0.4668403946381475,0.6057133658765536,392.0,210.2
60,800050,Chase DeLauter,CLE,OF,103,2.375,0.47707111588841494,0.5358506503393905,1.88,0.10294512323084218,0.4664141647201875,0.6052871359585935,453.0,242.7
61,572233,Christian Walker,HOU,1B,114,4.851851851851852,0.5333790223711954,0.5355238803085467,1.87,0.10294512323084218,0.4660873946893437,0.6049603659277497,502.0,268.8
62,695600,Carter Jensen,KC,C,89,5.2727272727272725,0.679659125096666,0.5348282286282943,1.87,0.10294512323084218,0.46539174300909125,0.6042647142474973,392.0,209.7
63,666018,Jonathan Aranda,TB,1B,116,2.52,0.5331499916049086,0.5319718161473677,1.86,0.10294512323084218,0.46253533052816465,0.6014083017665707,510.0,271.3
64,807712,Luke Keaschall,MIN,2B,111,3.68,0.6562058487268688,0.530997785787755,1.86,0.10294512323084218,0.461561300168552,0.600434271406958,488.0,259.1
65,621493,Taylor Ward,BAL,OF,128,1.4074074074074074,0.5226513183836076,0.5308021881495735,1.86,0.10294512323084218,0.46136570253037046,0.6002386737687765,563.0,298.8
66,691016,Tyler Soderstrom,ATH,OF,117,3.962962962962963,0.507715517032175,0.53067838978305,1.86,0.10294512323084218,0.461241904163847,0.6001148754022531,515.0,273.3
67,650333,Luis Arraez,SF,2B,107,2.44,0.6019712239263519,0.5306544524649293,1.86,0.10294512323084218,0.46121796684572625,0.6000909380841323,471.0,249.9
68,645277,Ozzie Albies,ATL,2B,120,4.785714285714286,0.5777520718386168,0.5302131481588247,1.86,0.10294512323084218,0.4607766625396217,0.5996496337780277,528.0,280.0
69,808982,Jung Hoo Lee,SF,OF,100,5.6,0.5410809862593012,0.5297359540531374,1.85,0.10294512323084218,0.46029946843393443,0.5991724396723405,440.0,233.1
70,701538,Jackson Merrill,SD,OF,110,3.16,0.5909467142639733,0.5288404968099434,1.85,0.10294512323084218,0.45940401119074037,0.5982769824291464,484.0,256.0
71,671277,Luis García Jr.,WSH,1B,92,3.1818181818181817,0.560495662582399,0.5276868428263698,1.85,0.10294512323084218,0.4582503572071668,0.5971233284455728,405.0,213.7
72,805300,Jakob Marsee,MIA,OF,122,1.5384615384615383,0.6207403088888197,0.5275849858782643,1.85,0.10294512323084218,0.4581485002590613,0.5970214714974673,537.0,283.3
73,682985,Riley Greene,DET,OF,115,4.407407407407407,0.5140574410601928,0.5267941630972807,1.84,0.10294512323084218,0.45735767747807765,0.5962306487164837,506.0,266.6
74,668715,Spencer Steer,CIN,OF,95,6.041666666666667,0.5383049945494178,0.5239975990436135,1.83,0.10294512323084218,0.4545611134244105,0.5934340846628166,418.0,219.0
75,666160,Mickey Moniak,COL,OF,77,2.4444444444444446,0.4979429116163394,0.5229692632506283,1.83,0.10294512323084218,0.4535327776314253,0.5924057488698313,339.0,177.3
76,695657,Colson Montgomery,CWS,SS,111,4.36,0.6051939649244956,0.5224998682751275,1.83,0.10294512323084218,0.4530633826559245,0.5919363538943305,488.0,255.0
77,677594,Julio Rodríguez,SEA,OF,123,3.0,0.5739241167597801,0.5209691965194239,1.82,0.10294512323084218,0.45153271090022085,0.5904056821386269,541.0,281.8
78,593428,Xander Bogaerts,SD,SS,105,4.48,0.5177945876641182,0.5205836984832929,1.82,0.10294512323084218,0.4511472128640899,0.5900201841024959,462.0,240.5
79,808959,Munetaka Murakami,CWS,1B,118,2.6153846153846154,0.47707111588841494,0.520077513332305,1.82,0.10294512323084218,0.450641027713102,0.589513998951508,519.0,269.9
80,681082,Bryson Stott,PHI,2B,81,5.578947368421052,0.5461664667928113,0.5197941841227306,1.82,0.10294512323084218,0.4503576985035276,0.5892306697419336,356.0,185.0
81,676391,Ernie Clement,TOR,2B,109,5.076923076923077,0.5661078023467248,0.5178630155317032,1.81,0.10294512323084218,0.4484265299125002,0.5872995011509062,480.0,248.6
82,663757,Trent Grisham,NYY,OF,92,1.6842105263157894,0.5058660173191379,0.5177129093149334,1.81,0.10294512323084218,0.4482764236957304,0.5871493949341364,405.0,209.7
83,607208,Trea Turner,PHI,SS,121,1.037037037037037,0.6152578661412856,0.5157576773306926,1.81,0.10294512323084218,0.44632119171148954,0.5851941629498956,532.0,274.4
84,621439,Byron Buxton,MIN,OF,115,1.32,0.6217361844771367,0.515023146765946,1.8,0.10294512323084218,0.44558666114674295,0.584459632385149,506.0,260.6
85,669016,Brandon Marsh,PHI,OF,95,6.217391304347826,0.46671624129503764,0.5129207467288647,1.8,0.10294512323084218,0.44348426110966166,0.5823572323480677,418.0,214.4
86,545121,Ildemaro Vargas,AZ,1B,77,5.294117647058823,0.4970291429680564,0.5123325816636967,1.79,0.10294512323084218,0.44289609604449365,0.5817690672828997,339.0,173.7
87,702332,Caleb Durbin,BOS,3B,96,5.75,0.5961295148730102,0.5119658981529825,1.79,0.10294512323084218,0.44252941253377953,0.5814023837721856,422.0,216.0
88,693307,Dillon Dingler,DET,C,96,5.190476190476191,0.42560877266310654,0.5119021172072613,1.79,0.10294512323084218,0.4424656315880583,0.5813386028264643,422.0,216.0
89,663728,Cal Raleigh,SEA,C,124,2.0,0.6043025934579581,0.5094535954142249,1.78,0.10294512323084218,0.44001710979502184,0.5788900810334279,546.0,278.2
90,807799,Masataka Yoshida,BOS,OF,56,3.583333333333333,0.5748312335003615,0.5092559314252957,1.78,0.10294512323084218,0.43981944580609267,0.5786924170444987,246.0,125.3
91,680757,Steven Kwan,CLE,OF,112,1.0,0.5802662454063976,0.5087128021941207,1.78,0.10294512323084218,0.4392763165749177,0.5781492878133238,493.0,250.8
92,680777,Ryan Jeffers,MIN,C,79,4.444444444444445,0.5116486249171789,0.5080473201673565,1.78,0.10294512323084218,0.4386108345481535,0.5774838057865596,348.0,176.8
93,643446,Jeff McNeil,ATH,2B,92,6.095238095238095,0.5454768563824791,0.5067965149096971,1.77,0.10294512323084218,0.4373600292904941,0.5762330005289001,405.0,205.3
94,664023,Ian Happ,CHC,OF,115,3.48,0.5399211409424451,0.5066637826153385,1.77,0.10294512323084218,0.4372272969961355,0.5761002682345415,506.0,256.4
95,673962,Josh Jung,TEX,3B,96,6.608695652173913,0.4323860299243237,0.5062813564044799,1.77,0.10294512323084218,0.4368448707852769,0.5757178420236829,422.0,213.7
96,687263,Zach Neto,LAA,SS,130,1.0,0.5312659490714461,0.5039812288725092,1.76,0.10294512323084218,0.43454474325330616,0.5734177144917122,572.0,288.3
97,666182,Bo Bichette,NYM,3B,115,2.6538461538461537,0.5585751534949536,0.5036924086486662,1.76,0.10294512323084218,0.43425592302946314,0.5731288942678692,506.0,254.9
98,662139,Daulton Varsho,TOR,OF,93,4.478260869565218,0.5107196085096496,0.5023229310448746,1.76,0.10294512323084218,0.43288644542567156,0.5717594166640776,409.0,205.5
99,670623,Isaac Paredes,HOU,3B,94,3.590909090909091,0.5888428157333857,0.5016317866436728,1.76,0.10294512323084218,0.4321953010244698,0.5710682722628758,414.0,207.7
100,664761,Alec Bohm,PHI,3B,107,5.52,0.5697901235935973,0.5003787802170842,1.75,0.10294512323084218,0.43094229459788114,0.5698152658362872,471.0,235.7
101,680977,Brendan Donovan,SEA,3B,71,2.117647058823529,0.5638983289564731,0.4995816440581235,1.75,0.10294512323084218,0.4301451584389204,0.5690181296773266,312.0,155.9
102,543807,George Springer,TOR,DH,62,1.0,0.6100084116801157,0.49913151849190507,1.75,0.10294512323084218,0.42969503287270205,0.5685680041111081,273.0,136.3
103,668227,Randy Arozarena,SEA,OF,118,4.928571428571429,0.507196903685007,0.49906332802945175,1.75,0.10294512323084218,0.42962684241024873,0.5684998136486548,519.0,259.0
104,694497,Evan Carter,TEX,OF,98,6.181818181818182,0.5469002407628546,0.49863896065642666,1.75,0.10294512323084218,0.42920247503722364,0.5680754462756297,431.0,214.9
105,665833,Oneil Cruz,PIT,OF,122,1.8461538461538465,0.4518726222848493,0.49764159540717817,1.74,0.10294512323084218,0.4282051097879751,0.5670780810263812,537.0,267.2
106,687462,Spencer Horwitz,PIT,1B,85,6.857142857142857,0.5573392078185787,0.49655851346731655,1.74,0.10294512323084218,0.4271220278481135,0.5659949990865196,374.0,185.7
107,592518,Manny Machado,SD,3B,105,3.8,0.6035547717245412,0.4948258509200071,1.73,0.10294512323084218,0.42538936530080407,0.5642623365392101,462.0,228.6
108,681481,Kerry Carpenter,DET,OF,84,4.45,0.5813670578293068,0.493461795637301,1.73,0.10294512323084218,0.42402531001809796,0.5628982812565041,370.0,182.6
109,696100,Hunter Goodman,COL,C,102,2.9130434782608696,0.5282838046370638,0.4932505706015643,1.73,0.10294512323084218,0.4238140849823613,0.5626870562207673,449.0,221.5
110,621020,Dansby Swanson,CHC,SS,114,7.37037037037037,0.4864595060722887,0.4932326568607571,1.73,0.10294512323084218,0.4237961712415541,0.5626691424799601,502.0,247.6
111,664040,Brandon Lowe,PIT,2B,106,2.4782608695652173,0.5348713442125994,0.49215521635629084,1.72,0.10294512323084218,0.42271873073708777,0.5615917019754939,466.0,229.3
112,682626,Francisco Alvarez,NYM,C,84,6.809523809523809,0.4789382366090543,0.4912826236177283,1.72,0.10294512323084218,0.4218461379985252,0.5607191092369314,370.0,181.8
113,694384,Nolan Schanuel,LAA,1B,111,3.84,0.5109124506023021,0.49090344996727725,1.72,0.10294512323084218,0.4214669643480742,0.5603399355864803,488.0,239.6
114,679529,Spencer Torkelson,DET,1B,102,6.32,0.48179306654977727,0.4898884470187402,1.71,0.10294512323084218,0.4204519613995371,0.5593249326379433,449.0,220.0
115,666176,Jo Adell,LAA,OF,122,4.714285714285714,0.5059177493922222,0.48879852474741914,1.71,0.10294512323084218,0.4193620391282161,0.5582350103666222,537.0,262.5
116,691594,Javier Sanoja,MIA,3B,62,8.733333333333333,0.5421016875275827,0.4882331194304968,1.71,0.10294512323084218,0.41879663381129373,0.5576696050496999,273.0,133.3
117,657656,Ramón Laureano,SD,OF,105,2.391304347826087,0.5085798860034947,0.4879606720060826,1.71,0.10294512323084218,0.4185241863868796,0.5573971576252856,462.0,225.4
118,621043,Carlos Correa,HOU,SS,108,3.28,0.508499798703718,0.4878267178055436,1.71,0.10294512323084218,0.4183902321863405,0.5572632034247467,475.0,231.7
119,686217,Sal Frelick,MIL,OF,94,5.2727272727272725,0.5294716467022212,0.48738641504626035,1.71,0.10294512323084218,0.41794992942705733,0.5568229006654634,414.0,201.8
120,660821,Jesús Sánchez,TOR,OF,85,3.736842105263158,0.4696452088587439,0.4869601884316672,1.7,0.10294512323084218,0.4175237028124642,0.5563966740508702,374.0,182.1
121,807713,Matt Shaw,CHC,OF,66,8.133333333333333,0.5140359160672422,0.48634652143917406,1.7,0.10294512323084218,0.416910035819971,0.5557830070583771,290.0,141.0
122,543760,Marcus Semien,NYM,2B,102,6.807692307692308,0.5744055716291276,0.4859812087760978,1.7,0.10294512323084218,0.4165447231568947,0.5554176943953009,449.0,218.2
123,663586,Austin Riley,ATL,3B,120,4.407407407407407,0.5146152048262668,0.48538681495025915,1.7,0.10294512323084218,0.41595032933105613,0.5548233005694622,528.0,256.3
124,683737,Michael Busch,CHC,1B,114,2.8,0.5455118198720431,0.48486721917179615,1.7,0.10294512323084218,0.4154307335525931,0.5543037047909992,502.0,243.4
125,671218,Heliot Ramos,SF,OF,96,5.521739130434782,0.46404829140841625,0.48466932112905464,1.7,0.10294512323084218,0.41523283550985157,0.5541058067482577,422.0,204.5
126,682657,Angel Martínez,CLE,OF,84,4.631578947368421,0.39059897547866596,0.4840269522448423,1.69,0.10294512323084218,0.41459046662563925,0.5534634378640454,370.0,179.1
127,681198,TJ Rumfield,COL,1B,106,4.52,0.47707111588841494,0.4836524545192576,1.69,0.10294512323084218,0.4142159689000545,0.5530889401384607,466.0,225.4
128,690993,Colt Keith,DET,3B,83,2.263157894736842,0.4679710795922928,0.47952258833203126,1.68,0.10574436684832061,0.408198012892839,0.5508471637712236,365.0,175.0
129,642715,Willy Adames,SF,SS,113,1.3461538461538465,0.5241512469260348,0.47875715039309175,1.68,0.10574436684832061,0.4074325749538995,0.550081725832284,497.0,237.9
130,657757,Gavin Sheets,SD,1B,83,6.0,0.4436204728940843,0.47832934652712056,1.67,0.10574436684832061,0.4070047710879283,0.5496539219663128,365.0,174.6
131,668804,Bryan Reynolds,PIT,OF,120,3.0,0.4892638175015547,0.478228793543141,1.67,0.10574436684832061,0.4069042181039488,0.5495533689823333,528.0,252.5
132,605137,Josh Bell,MIN,1B,105,4.48,0.4944635277171585,0.4739531058533018,1.66,0.10574436684832061,0.40262853041410956,0.5452776812924941,462.0,219.0
133,642086,Dominic Smith,ATL,1B,68,7.294117647058823,0.4642575326322623,0.4734216187306142,1.66,0.10574436684832061,0.402097043291422,0.5447461941698065,299.0,141.6
134,802415,Chandler Simpson,TB,OF,113,3.75,0.5448707788680593,0.47294985390609406,1.66,0.10574436684832061,0.4016252784669018,0.5442744293452864,497.0,235.1
135,691023,Jordan Walker,STL,OF,107,4.583333333333333,0.3660971256799078,0.4722091260888861,1.65,0.10574436684832061,0.40088455064969386,0.5435337015280783,471.0,222.4
136,641487,J.P. Crawford,SEA,SS,83,4.947368421052632,0.4748805969174203,0.471689736426332,1.65,0.10574436684832061,0.40036516098713976,0.5430143118655243,365.0,172.2
137,643289,Mauricio Dubón,ATL,SS,102,7.6923076923076925,0.5004489072476168,0.471309015940708,1.65,0.10574436684832061,0.39998444050151577,0.5426335913799003,449.0,211.6
138,670770,TJ Friedl,CIN,OF,107,1.0,0.5562006030846475,0.4712559810148245,1.65,0.10574436684832061,0.3999314055756323,0.5425805564540168,471.0,222.0
139,669394,Jake Burger,TEX,1B,113,3.923076923076923,0.4939266638741174,0.4712130528809844,1.65,0.10574436684832061,0.3998884774417922,0.5425376283201767,497.0,234.2
140,686527,Dominic Canzone,SEA,OF,65,7.333333333333333,0.480624067245052,0.47104136854284345,1.65,0.10574436684832061,0.3997167931036512,0.5423659439820357,286.0,134.7
141,665926,Andrés Giménez,TOR,SS,100,7.96,0.47814955287188116,0.46940533161618764,1.64,0.10574436684832061,0.3980807561769954,0.5407299070553799,440.0,206.5
142,575929,Willson Contreras,BOS,1B,111,3.423076923076923,0.5383368548849771,0.4683004000158892,1.64,0.10574436684832061,0.39697582457669695,0.5396249754550815,488.0,228.5
143,668904,Royce Lewis,MIN,3B,61,7.6875,0.5374179946262498,0.46810476650164273,1.64,0.10574436684832061,0.3967801910624505,0.539429341940835,268.0,125.5
144,592885,Christian Yelich,MIL,OF,56,3.3076923076923075,0.6128681874036843,0.46807427249328376,1.64,0.10574436684832061,0.3967496970540915,0.539398847932476,246.0,115.1
145,701350,Roman Anthony,BOS,OF,98,1.0,0.5337692263426723,0.46750448794801513,1.64,0.10574436684832061,0.3961799125088229,0.5388290633872074,431.0,201.5
146,802139,JJ Wetherholt,STL,2B,120,1.0,0.47707111588841494,0.46733930082832364,1.64,0.10574436684832061,0.3960147253891314,0.5386638762675159,528.0,246.8
147,646240,Rafael Devers,SF,1B,109,3.423076923076923,0.6058790799244302,0.4673070963076762,1.64,0.10574436684832061,0.39598252086848396,0.5386316717468684,480.0,224.3
148,650402,Gleyber Torres,DET,2B,118,2.1153846153846154,0.5350048876233873,0.4670127060727482,1.63,0.10574436684832061,0.39568813063355596,0.5383372815119405,519.0,242.4
149,680776,Jarren Duran,BOS,OF,93,3.380952380952381,0.566098708000218,0.4664070698736108,1.63,0.10574436684832061,0.39508249443441856,0.537731645312803,409.0,190.8
150,656305,Matt Chapman,SF,3B,110,3.423076923076923,0.5213751693213847,0.4662420469055098,1.63,0.10574436684832061,0.39491747146631756,0.5375666223447021,484.0,225.7
151,668885,Austin Martin,MIN,OF,76,2.294117647058824,0.48026920917847304,0.46608070743109786,1.63,0.10574436684832061,0.3947561319919056,0.5374052828702901,334.0,155.7
152,673237,Yainer Diaz,HOU,C,84,7.45,0.5340456448878744,0.46570712526073726,1.63,0.10574436684832061,0.394382549821545,0.5370317006999296,370.0,172.3
153,673357,Luis Robert Jr.,NYM,OF,94,3.727272727272727,0.47414243080227336,0.46549040046348383,1.63,0.10574436684832061,0.3941658250242916,0.5368149759026761,414.0,192.7
154,687859,Troy Johnston,COL,OF,90,4.818181818181818,0.4725642523946372,0.4633475706400215,1.62,0.10574436684832061,0.3920229952008293,0.5346721460792138,396.0,183.5
155,669224,Austin Wells,NYY,C,76,7.95,0.49293631020269807,0.46279088026962817,1.62,0.10574436684832061,0.39146630483043593,0.5341154557088205,334.0,154.6
156,642708,Amed Rosario,NYY,3B,63,4.5625,0.4710113055249421,0.46262730645778627,1.62,0.10574436684832061,0.39130273101859403,0.5339518818969785,277.0,128.1
157,542303,Marcell Ozuna,PIT,DH,93,4.428571428571429,0.5823425056397182,0.461970957843297,1.62,0.10574436684832061,0.39064638240410476,0.5332955332824892,409.0,188.9
158,608348,Carson Kelly,CHC,C,79,5.588235294117647,0.4839745494317787,0.4617887563793508,1.62,0.10574436684832061,0.39046418094015856,0.533113331818543,348.0,160.7
159,521692,Salvador Perez,KC,C,109,3.9615384615384617,0.5134450454774251,0.4615063743592034,1.62,0.10574436684832061,0.39018179892001115,0.5328309497983956,480.0,221.5
160,699912,Jose Fernandez,AZ,1B,75,5.444444444444445,0.47707111588841494,0.46036541990556057,1.61,0.10574436684832061,0.38904084446636833,0.5316899953447528,330.0,151.9
