board_rank,name,team,own,per_start,src,rp3_rank,inj,mlbam,k,player_id,avail,ret_source,xfp_ros,xfp_po
211,Luis Severino,Oak,2.3,10.21,rp3_dd,114,SIXTY_DAY_DL,,luis severino,33263,2027-02-01,explicit,0.0,0.0
212,Quinn Priester,Mil,1.0,9.46,talent_prior,169,SIXTY_DAY_DL,,quinn priester,42449,2026-10-23,heuristic,0.0,0.0
213,DJ Herz,Wsh,0.1,9.59,talent_prior,157,SIXTY_DAY_DL,,dj herz,4917686,2026-10-23,heuristic,0.0,0.0
214,Kutter Crawford,Bos,0.1,9.62,talent_prior,155,SIXTY_DAY_DL,,kutter crawford,41277,2026-10-23,heuristic,0.0,0.0
215,Tylor Megill,NYM,0.1,7.74,talent_prior,292,SIXTY_DAY_DL,,tylor megill,3332018,2026-10-23,heuristic,0.0,0.0
216,Mitchell Parker,Wsh,0.1,6.49,talent_prior,346,SIXTY_DAY_DL,,mitchell parker,4683356,2027-09-01,explicit,0.0,0.0
217,David Festa,Min,0.1,8.42,talent_prior,240,SIXTY_DAY_DL,,david festa,5124114,2026-10-23,heuristic,0.0,0.0
218,Tanner Houck,Bos,0.1,9.73,talent_prior,144,SIXTY_DAY_DL,,tanner houck,41009,2026-10-23,heuristic,0.0,0.0
219,Alec Marsh,KC,0.0,7.78,talent_prior,286,SIXTY_DAY_DL,,alec marsh,4424276,2026-10-23,heuristic,0.0,0.0
220,Bowden Francis,Tor,0.0,8.19,talent_prior,260,SIXTY_DAY_DL,,bowden francis,4734325,2026-10-23,heuristic,0.0,0.0
221,Logan Evans,Sea,0.0,7.09,talent_prior,320,SIXTY_DAY_DL,,logan evans,5202474,2026-10-23,heuristic,0.0,0.0
222,Ken Waldichuk,Wsh,0.0,5.91,talent_prior,357,SIXTY_DAY_DL,,ken waldichuk,4189711,2027-06-01,explicit,0.0,0.0
