cohort,name,regime,fp_prior,fp_win,fp_gap,support,oppose,xc_yoy,n_pa,pos,slot,ev
FA (>=1 HR since ASG),Caleb Durbin,OVEREXTENDED,0.606,0.747,0.142,1,4,-0.0115,99,3B,3B,5
FA (>=1 HR since ASG),Jimmy Crooks,OVEREXTENDED,-0.022,0.325,0.347,0,0,0.076,40,C,C,0
FA (>=1 HR since ASG),Colson Montgomery,STALLED,0.623,0.214,-0.409,0,4,-0.0362,84,SS,SS,4
FA (>=1 HR since ASG),Austin Wells,SUSTAINED,0.488,0.6,0.112,1,0,-0.0007,45,C,C,1
FA (>=1 HR since ASG),Brooks Lee,STALLED,0.455,0.4,-0.055,0,1,-0.0367,75,SS,SS,1
FA (>=1 HR since ASG),Yainer Diaz,STALLED,0.491,0.448,-0.043,0,0,-0.0292,58,C,C,0
FA (>=1 HR since ASG),José Caballero,STALLED,0.534,0.364,-0.17,0,2,-0.0122,55,RF,OF,2
FA (>=1 HR since ASG),Luis Robert Jr.,STALLED,0.48,0.13,-0.351,0,2,-0.0591,54,CF,OF,2
FA (>=1 HR since ASG),Dalton Rushing,OVEREXTENDED,0.245,0.425,0.18,0,1,0.014,40,C,C,1
FA (>=1 HR since ASG),Joey Ortiz,OVEREXTENDED,0.445,0.829,0.384,0,0,0.0281,41,SS,SS,0
FA (>=1 HR since ASG),Petey Halpin,RECOVERING,0.875,0.638,-0.237,2,1,0.1121,58,CF,OF,3
FA (>=1 HR since ASG),Leody Taveras,SUSTAINED,0.256,0.312,0.057,1,0,0.0221,64,CF,OF,1
FA (>=1 HR since ASG),Trent Grisham,STALLED,0.588,0.217,-0.371,2,3,-0.0822,83,CF,OF,5
FA (>=1 HR since ASG),Ke'Bryan Hayes,STALLED,0.354,0.154,-0.201,0,0,0.0334,39,3B,3B,0
FA (>=1 HR since ASG),Alec Bohm,SUSTAINED,0.508,0.598,0.09,2,1,-0.0393,82,3B,3B,3
FA (>=1 HR since ASG),Nick Fortes,OVEREXTENDED,0.373,0.81,0.437,0,0,0.0039,42,C,C,0
FA (>=1 HR since ASG),Jahmai Jones,OVEREXTENDED,0.707,1.318,0.612,0,0,-0.0483,22,RF,OF,0
FA (>=1 HR since ASG),Matt McLain,OVEREXTENDED,0.362,0.594,0.232,0,0,0.0237,32,2B,2B,0
