batter_name,batter,pa,confidence,primary_position,fantasy_positions,fantasy_positions_display,process_plus,decision_plus,contact_plus,power_plus,swing_pct,chase_pct,xwoba_actual,rolling_decision_30d,rolling_trend,tag,season_stage
Nick Castellanos,592206,703,Tier A,OF,OF,OF,114.8,112.4,102.8,110.2,0.581,0.388,0.342,0.03859,cold,Process+ strong; strong discipline; surface stats not yet elite,mature
Manny Machado,592518,674,Tier A,3B,3B|DH,"3B, DH",114.7,104.7,107.0,109.7,0.52,0.298,0.343,0.03901,cold,Process+ strong; surface stats not yet elite,mature
Pete Alonso,624413,770,Tier A,1B,1B,1B,114.7,92.5,103.2,114.0,0.427,0.3,0.353,0.06732,warm,Process+ strong; surface stats not yet elite,mature
Iván Herrera,671056,269,Tier B,C,C,C,114.6,87.8,106.5,113.3,0.435,0.259,0.372,0.05662,cold,Process+ strong; surface stats not yet elite,mature
Willson Contreras,575929,364,Tier B,1B,C|DH,"C, DH",114.5,113.6,90.7,115.1,0.499,0.3,0.368,0.06939,warm,Process+ strong; strong discipline; surface stats not yet elite,mature
José Siri,642350,458,Tier A,OF,OF,OF,114.5,98.8,85.8,120.4,0.508,0.368,0.302,0.02119,cold,Process+ strong; surface stats not yet elite,mature
Freddie Freeman,518692,697,Tier A,1B,1B,1B,114.1,114.0,103.2,109.0,0.497,0.265,0.372,0.07491,warm,Process+ strong; strong discipline; surface stats not yet elite,mature
Tyler Soderstrom,691016,214,Tier C,OF,1B,1B,114.0,93.6,103.8,112.7,0.487,0.3,0.352,0.08706,hot,Process+ strong; trending up; surface stats not yet elite,mature
Carlos Correa,621043,378,Tier B,SS,SS,SS,114.0,101.3,114.3,106.4,0.449,0.261,0.36,0.06348,improving,Process+ strong; contact quality; surface stats not yet elite,mature
Randal Grichuk,545341,279,Tier B,OF,OF|DH,"OF, DH",113.8,104.0,111.0,107.2,0.473,0.327,0.368,0.14276,hot,Process+ strong; contact quality; trending up; surface stats not yet elite,mature
Ryan Mountcastle,663624,517,Tier A,1B,1B,1B,113.7,108.7,100.6,110.9,0.563,0.38,0.332,0.06192,cold,Process+ strong; surface stats not yet elite,mature
Luis García,671277,532,Tier A,2B,2B,2B,113.4,96.1,115.2,106.5,0.518,0.35,0.335,0.09426,hot,Process+ strong; contact quality; trending up; surface stats not yet elite,mature
Michael Conforto,624424,492,Tier A,OF,OF|DH,"OF, DH",113.3,99.8,97.2,113.8,0.448,0.243,0.353,0.06231,improving,Process+ strong; surface stats not yet elite,mature
Starling Marte,516782,448,Tier A,OF,OF,OF,113.3,106.4,102.3,110.2,0.502,0.329,0.348,0.06876,warm,Process+ strong; surface stats not yet elite,mature
Nolan Gorman,669357,419,Tier A,2B,2B,2B,113.2,101.8,80.9,120.7,0.505,0.294,0.308,0.08093,warm,Process+ strong; surface stats not yet elite,mature
Triston Casas,671213,252,Tier B,1B,1B,1B,112.8,91.5,93.1,116.9,0.442,0.22,0.329,0.07106,warm,Process+ strong; surface stats not yet elite,mature
Heliot Ramos,671218,512,Tier A,OF,OF,OF,112.8,116.4,92.7,112.1,0.502,0.293,0.34,0.08762,hot,Process+ strong; elite discipline; trending up; surface stats not yet elite,mature
Lawrence Butler,671732,460,Tier A,OF,OF,OF,112.7,97.8,102.4,111.4,0.476,0.27,0.342,0.08726,hot,Process+ strong; trending up; surface stats not yet elite,mature
Bryan Reynolds,668804,706,Tier A,OF,OF|DH,"OF, DH",112.4,113.9,97.3,110.1,0.502,0.276,0.355,0.08205,warm,Process+ strong; strong discipline; surface stats not yet elite,mature
Christian Walker,572233,569,Tier A,1B,1B,1B,112.3,120.7,90.4,111.8,0.484,0.252,0.354,0.05097,cold,Process+ strong; elite discipline; surface stats not yet elite,mature
J. T. Realmuto,592663,448,Tier A,C,C,C,111.9,99.6,98.0,112.2,0.5,0.305,0.34,0.04765,cold,Process+ strong; surface stats not yet elite,mature
Matt Olson,621566,693,Tier A,1B,1B,1B,111.8,108.0,91.8,113.2,0.498,0.266,0.342,0.05022,cold,Process+ strong; surface stats not yet elite,mature
Shea Langeliers,669127,539,Tier A,C,C,C,111.8,100.0,99.9,111.1,0.495,0.322,0.328,0.10521,hot,Process+ strong; trending up; surface stats not yet elite,mature
Eugenio Suárez,553993,660,Tier A,3B,3B,3B,111.7,102.8,95.8,112.4,0.473,0.234,0.336,0.08833,hot,Process+ strong; trending up; surface stats not yet elite,mature
Connor Norby,681393,204,Tier C,3B,2B|3B,"2B, 3B",111.7,127.5,80.3,114.4,0.575,0.361,0.315,0.07266,warm,Process+ strong; elite discipline; surface stats not yet elite,mature
Seiya Suzuki,673548,584,Tier A,OF,OF|DH,"OF, DH",111.4,99.7,93.6,113.7,0.396,0.208,0.349,0.07392,warm,Process+ strong; surface stats not yet elite,mature
Jarren Duran,680776,748,Tier A,OF,OF,OF,111.4,97.5,107.0,108.1,0.485,0.305,0.342,0.06948,warm,Process+ strong; surface stats not yet elite,mature
Mookie Betts,605141,594,Tier A,SS,2B|SS|OF,"2B, SS, OF",111.3,99.5,123.2,100.2,0.405,0.194,0.366,0.07591,warm,Process+ strong; contact quality; surface stats not yet elite,mature
Paul Goldschmidt,502671,673,Tier A,1B,1B,1B,111.3,100.6,93.9,113.3,0.477,0.26,0.335,0.08368,hot,Process+ strong; trending up; surface stats not yet elite,mature
Lenyn Sosa,672820,368,Tier B,2B,2B|3B,"2B, 3B",111.3,94.8,108.1,108.0,0.527,0.392,0.321,0.1037,hot,Process+ strong; trending up; surface stats not yet elite,mature
Alec Bohm,664761,640,Tier A,3B,1B|3B,"1B, 3B",111.2,105.2,117.4,101.6,0.503,0.294,0.343,0.03108,cold,Process+ strong; contact quality; surface stats not yet elite,mature
Elly De La Cruz,682829,695,Tier A,SS,SS,SS,111.1,82.0,98.7,114.7,0.434,0.302,0.331,0.05651,cold,Process+ strong; surface stats not yet elite,mature
Jhonkensy Noel,678877,222,Tier C,OF,OF,OF,110.8,84.1,95.6,115.4,0.542,0.43,0.319,0.0618,cold,Process+ strong; surface stats not yet elite,mature
William Contreras,661388,687,Tier A,C,C|DH,"C, DH",110.8,113.7,100.9,107.0,0.472,0.268,0.356,0.08285,warm,Process+ strong; strong discipline; surface stats not yet elite,mature
Brenton Doyle,686668,614,Tier A,OF,OF,OF,110.8,114.7,97.8,108.2,0.514,0.31,0.331,0.07738,warm,Process+ strong; strong discipline; surface stats not yet elite,mature
Ronald Acuña,660670,224,Tier C,OF,OF,OF,110.7,120.5,90.5,110.3,0.471,0.231,0.351,0.10373,hot,Process+ strong; elite discipline; trending up; surface stats not yet elite,mature
Colton Cowser,681297,579,Tier A,OF,OF,OF,110.5,92.5,92.2,114.9,0.448,0.241,0.331,0.03988,improving,Process+ strong; surface stats not yet elite,mature
Joey Bart,663698,286,Tier B,C,C|DH,"C, DH",110.3,85.2,101.7,111.9,0.436,0.29,0.336,0.0439,improving,Process+ strong; surface stats not yet elite,mature
Junior Caminero,691406,176,Tier C,3B,3B,3B,110.2,85.5,116.1,105.1,0.477,0.329,0.304,0.05684,cold,Process+ strong; contact quality; surface stats not yet elite,mature
Ryan O'Hearn,656811,498,Tier A,1B,1B|OF|DH,"1B, OF, DH",110.1,95.3,116.8,102.8,0.465,0.294,0.356,0.0625,cold,Process+ strong; contact quality; surface stats not yet elite,mature
Trevor Larnach,663616,404,Tier A,OF,OF|DH,"OF, DH",110.0,95.7,106.8,107.1,0.441,0.25,0.347,0.03124,cold,Process+ strong; surface stats not yet elite,mature
Kyle Stowers,669065,217,Tier C,OF,OF,OF,110.0,107.4,88.7,113.0,0.543,0.336,0.292,0.06746,warm,Process+ strong; surface stats not yet elite,mature
