owner,name,team,own,per_start,stuff,src,vol,inj,ret,xfp_ros,xfp_po,k
FA,Gavin Stone,LAD,0.2,10.35,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-01,26.0,17.0,gavin stone
FA,Mitch Bratt,Ari,1.7,7.82,89.0,Stuff+·vol,0.133,,,25.0,16.0,mitch bratt
FA,Chad Patrick,Mil,4.7,10.71,,rp3_dd·vol,0.097,,,25.0,16.0,chad patrick
FA,Tatsuya Imai,Hou,14.5,10.12,87.0,Stuff+·vol,0.1,,,25.0,15.0,tatsuya imai
FA,Carson Whisenhunt,SF,0.7,9.28,94.0,Stuff+·vol,0.107,,,24.0,15.0,carson whisenhunt
FA,Colton Gordon,Hou,0.0,6.58,,talent_prior·flat↓,,,,24.0,15.0,colton gordon
FA,Cooper Criswell,Sea,0.1,7.68,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-08-28,24.0,15.0,cooper criswell
FA,Lance McCullers Jr.,FA,1.7,10.94,97.0,Stuff+·vol,0.091,,,24.0,15.0,lance mccullers
FA,Trevor Williams,Wsh,0.1,6.6,,talent_prior·flat↓,,,,24.0,15.0,trevor williams
FA,JP Sears,SD,0.4,9.55,91.0,Stuff+·vol,0.104,,,24.0,15.0,jp sears
FA,Jackson Jobe,Det,9.6,8.38,,rp3_dd·vol,0.119,,,24.0,15.0,jackson jobe
FA,Aaron Civale,ChC,1.5,9.03,,rp3_dd·vol,0.107,,,24.0,15.0,aaron civale
FA,Ronel Blanco,Hou,0.5,9.78,,rp3_dd·vol,0.097,,,23.0,14.0,ronel blanco
FA,Noah Schultz,ChW,2.1,10.35,97.0,Stuff+·vol,0.093,,,23.0,15.0,noah schultz
FA,Griffin Canning,SD,0.3,9.65,,rp3_dd·vol,0.098,,,23.0,14.0,griffin canning
FA,Jonathan Cannon,ChW,0.0,6.35,,talent_prior·flat↓,,,,23.0,14.0,jonathan cannon
FA,Adrian Houser,SF,1.5,8.9,,rp3_dd·vol,0.108,,,23.0,15.0,adrian houser
FA,Jack Leiter,Tex,10.9,12.02,102.0,Stuff+·vol,0.102,SIXTY_DAY_DL,2026-08-30,23.0,14.0,jack leiter
FA,Javier Assad,ChC,2.0,8.02,,rp3_dd·vol,0.117,,,23.0,14.0,javier assad
FA,Jameson Taillon,Tor,2.4,9.98,92.0,Stuff+·vol,0.13,FIFTEEN_DAY_DL,2026-08-31,23.0,15.0,jameson taillon
FA,Ryne Nelson,Ari,3.4,11.37,106.0,Stuff+·vol,0.114,SIXTY_DAY_DL,2026-09-01,22.0,14.0,ryne nelson
FA,Joe Boyle,TB,0.4,9.55,,rp3_dd·vol,0.093,,,22.0,14.0,joe boyle
FA,Kenta Maeda,FA,0.0,6.13,,talent_prior·flat↓,,,,22.0,14.0,kenta maeda
FA,Jackson Kent,Wsh,0.4,8.35,,rp3_dd·vol,0.11,,,22.0,14.0,jackson kent
FA,Rich Hill,FA,0.0,5.62,,talent_prior·flat↓,,,,21.0,13.0,rich hill
FA,Erick Fedde,ChW,1.1,7.65,,rp3_dd·vol,0.112,,,21.0,13.0,erick fedde
FA,Kodai Senga,NYM,10.3,10.46,,rp3_dd·vol,0.084,,,21.0,13.0,kodai senga
FA,Quinn Mathews,StL,1.3,8.93,,rp3_dd·vol,0.096,,,21.0,13.0,quinn mathews
FA,Luis Gil,NYY,0.9,8.17,,rp3_dd·vol,0.104,,,21.0,13.0,luis gil
FA,Austin Gomber,Tex,0.0,5.57,,talent_prior·flat↓,,,,21.0,13.0,austin gomber
FA,Josiah Gray,Wsh,0.1,8.02,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-01,21.0,13.0,josiah gray
FA,Edward Cabrera,ChC,18.9,10.46,94.0,Stuff+·vol,0.113,FIFTEEN_DAY_DL,2026-09-01,20.0,13.0,edward cabrera
FA,Kai-Wei Teng,Hou,0.6,10.49,,rp3_dd·vol,0.079,,,20.0,12.0,kai wei teng
FA,German Marquez,FA,0.2,8.38,87.0,Stuff+·vol,0.099,,,20.0,12.0,german marquez
FA,Kyle Freeland,Col,0.8,9.67,91.0,Stuff+·vol,0.154,FIFTEEN_DAY_DL,2026-09-05,20.0,13.0,kyle freeland
FA,Andrew Morris,Min,1.1,10.41,,rp3_dd·vol,0.073,,,19.0,12.0,andrew morris
FA,Slade Cecconi,Cle,1.4,9.94,94.0,Stuff+·vol,0.11,FIFTEEN_DAY_DL,2026-09-01,19.0,12.0,slade cecconi
FA,Tanner Gordon,Col,0.1,8.31,,rp3_dd·vol,0.093,,,19.0,12.0,tanner gordon
FA,Kendry Rojas,Min,0.1,10.38,,rp3_dd·vol,0.077,,,19.0,12.0,kendry rojas
FA,Zack Littell,Ari,1.4,6.89,,rp3_dd·vol,0.115,,,19.0,12.0,zack littell
FA,Hunter Dobbins,StL,1.1,11.17,96.0,Stuff+·vol,0.132,FIFTEEN_DAY_DL,2026-09-06,19.0,12.0,hunter dobbins
FA,Carlos Carrasco,Atl,0.0,4.79,,talent_prior·flat↓,,,,18.0,11.0,carlos carrasco
FA,Ty Madden,Det,0.4,9.35,,rp3_dd·vol,0.078,,,18.0,11.0,ty madden
FA,Matt Wilkinson,SF,0.3,7.78,,rp3_dd·vol,0.094,,,18.0,11.0,matt wilkinson
FA,Johan Oviedo,Bos,0.2,8.51,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-05,18.0,11.0,johan oviedo
FA,Trey Gibson,Bal,0.1,10.1,97.0,Stuff+·vol,0.072,,,18.0,11.0,trey gibson
FA,Brayan Bello,Bos,5.5,9.19,,rp3_dd·vol,0.083,,,18.0,12.0,brayan bello
FA,Reynaldo Lopez,Atl,4.7,10.17,90.0,Stuff+·vol,0.087,FIFTEEN_DAY_DL,2026-08-28,18.0,11.0,reynaldo lopez
FA,Patrick Corbin,Tor,0.4,9.85,94.0,Stuff+·vol,0.098,SIXTY_DAY_DL,2026-09-01,17.0,10.0,patrick corbin
FA,Jason Alexander,Hou,0.0,7.84,,rp3_dd·vol,0.091,,,17.0,11.0,jason alexander
FA,Michael Soroka,Ari,41.3,10.8,94.0,Stuff+·vol,0.148,FIFTEEN_DAY_DL,2026-09-08,17.0,11.0,michael soroka
FA,AJ Smith-Shawver,Atl,2.1,8.2,,rp3_dd·vol,0.087,,,17.0,11.0,aj smith shawver
FA,Mike Burrows,Hou,1.6,9.82,94.0,Stuff+·vol,0.091,FIFTEEN_DAY_DL,2026-08-30,17.0,11.0,mike burrows
FA,Shane Smith,ChW,1.6,9.19,,rp3_dd·vol,0.071,,,16.0,10.0,shane smith
FA,Alex Cobb,FA,0.0,8.94,,talent_prior·flat↓,,OUT,2026-09-07,16.0,10.0,alex cobb
FA,Luis Ortiz,Cle,0.0,8.83,,talent_prior·flat↓,,OUT,2026-09-07,16.0,10.0,luis ortiz
FA,Elmer Rodriguez,NYY,0.5,9.78,92.0,Stuff+·vol,0.069,,,16.0,10.0,elmer rodriguez
FA,Miles Mikolas,FA,0.3,6.19,,rp3_dd·vol,0.106,,,16.0,10.0,miles mikolas
FA,JR Ritchie,Atl,1.4,8.07,,rp3_dd·vol,0.084,,,16.0,10.0,jr ritchie
FA,Mason Barnett,Oak,0.1,7.26,,rp3_dd·vol,0.089,,,16.0,10.0,mason barnett
FA,Yu Darvish,SD,0.1,8.95,,talent_prior·flat↓,,OUT,2026-09-07,16.0,10.0,yu darvish
FA,Zac Gallen,Ari,33.1,8.32,87.0,Stuff+·vol,0.102,SIXTY_DAY_DL,2026-09-01,15.0,9.0,zac gallen
FA,Dakota Hudson,LAA,0.0,4.07,,talent_prior·flat↓,,,,15.0,10.0,dakota hudson
FA,Brandon Williamson,Cin,0.1,9.49,98.0,Stuff+·vol,0.077,SIXTY_DAY_DL,2026-08-28,15.0,9.0,brandon williamson
FA,Chris Paddack,Tex,0.1,7.36,,rp3_dd·vol,0.086,,,15.0,10.0,chris paddack
FA,Sam Aldegheri,LAA,0.1,8.55,89.0,Stuff+·vol,0.071,,,15.0,9.0,sam aldegheri
FA,Jose Cabrera,Ari,0.1,8.0,,rp3_dd·vol,0.073,,,14.0,9.0,jose cabrera
FA,Coleman Crow,Mil,0.1,7.28,,rp3_dd·vol,0.077,,,14.0,8.0,coleman crow
FA,Jack Flaherty,Det,30.0,11.66,100.0,Stuff+·vol,0.113,FIFTEEN_DAY_DL,2026-09-08,14.0,9.0,jack flaherty
FA,Alan Rangel,Phi,0.1,8.35,,rp3_dd·vol,0.068,,,14.0,9.0,alan rangel
FA,Spencer Miles,Tor,0.9,9.18,,rp3_dd·vol,0.063,,,14.0,9.0,spencer miles
FA,Justin Verlander,Det,1.4,8.68,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-08,14.0,9.0,justin verlander
FA,Eduardo Rivera,Bos,0.0,9.1,,rp3_dd·vol,0.062,,,14.0,9.0,eduardo rivera
FA,Jesse Scholtens,TB,0.2,6.64,,rp3_dd·vol,0.088,,,14.0,9.0,jesse scholtens
FA,Kohl Drake,Ari,0.2,6.6,,rp3_dd·vol,0.085,,,14.0,8.0,kohl drake
FA,Chase Petty,Cin,0.1,7.11,,rp3_dd·vol,0.077,,,13.0,8.0,chase petty
FA,Frankie Montas,FA,0.0,7.36,,talent_prior·flat↓,,OUT,2026-09-07,13.0,8.0,frankie montas
FA,Matt Waldron,Wsh,0.1,7.08,,rp3_dd·vol,0.073,,,13.0,8.0,matt waldron
FA,Simeon Woods Richardson,Tor,0.3,6.32,,rp3_dd·vol,0.08,,,12.0,8.0,simeon woods richardson
FA,Carson Palmquist,Wsh,0.0,6.56,,rp3_dd·vol,0.067,,,11.0,7.0,carson palmquist
FA,Jose Suarez,Oak,0.1,7.52,,rp3_dd·vol,0.058,FIFTEEN_DAY_DL,2026-08-26,10.0,6.0,jose suarez
FA,Bailey Falter,Atl,0.0,6.82,,rp3_dd·vol,0.061,,,10.0,6.0,bailey falter
FA,Kris Bubic,LAD,21.9,10.86,94.0,Stuff+·vol,0.108,SIXTY_DAY_DL,2026-09-11,10.0,6.0,kris bubic
FA,Connelly Early,Wsh,16.6,12.22,103.0,Stuff+·vol,0.102,SIXTY_DAY_DL,2026-09-11,10.0,6.0,connelly early
FA,Taijuan Walker,LAA,0.1,5.96,,rp3_dd·vol,0.069,,,10.0,6.0,taijuan walker
