batter,home_team,pa,core_fp,rate,annual_rate,total_pa,lift_pct,player_name,team,rank
467793,MIL,148,66,0.44594594594594594,0.3231211105792245,4178,38.0,,,
467793,MIN,393,135,0.3435114503816794,0.3231211105792245,4178,6.3,,,
467793,NYM,74,25,0.33783783783783783,0.3231211105792245,4178,4.6,,,
467793,NYY,79,37,0.46835443037974683,0.3231211105792245,4178,44.9,,,
467793,PHI,329,143,0.43465045592705165,0.3231211105792245,4178,34.5,,,
467793,PIT,245,62,0.2530612244897959,0.3231211105792245,4178,-21.7,,,
467793,SD,58,26,0.4482758620689655,0.3231211105792245,4178,38.7,,,
467793,SEA,224,44,0.19642857142857142,0.3231211105792245,4178,-39.2,,,
467793,SF,44,17,0.38636363636363635,0.3231211105792245,4178,19.6,,,
467793,STL,65,14,0.2153846153846154,0.3231211105792245,4178,-33.3,,,
467793,TB,66,24,0.36363636363636365,0.3231211105792245,4178,12.5,,,
467793,TEX,88,35,0.3977272727272727,0.3231211105792245,4178,23.1,,,
467793,TOR,64,33,0.515625,0.3231211105792245,4178,59.6,,,
467793,WSH,95,38,0.4,0.3231211105792245,4178,23.8,,,
474832,ATH,40,7,0.175,0.26666666666666666,1725,-34.4,,,
474832,AZ,94,43,0.4574468085106383,0.26666666666666666,1725,71.5,,,
474832,COL,140,40,0.2857142857142857,0.26666666666666666,1725,7.1,,,
474832,LAD,94,19,0.20212765957446807,0.26666666666666666,1725,-24.2,,,
474832,NYM,65,24,0.36923076923076925,0.26666666666666666,1725,38.5,,,
474832,PHI,43,3,0.06976744186046512,0.26666666666666666,1725,-73.8,,,
474832,PIT,51,18,0.35294117647058826,0.26666666666666666,1725,32.4,,,
474832,SD,103,16,0.1553398058252427,0.26666666666666666,1725,-41.7,,,
474832,SF,838,235,0.28042959427207637,0.26666666666666666,1725,5.2,,,
474832,TOR,214,51,0.2383177570093458,0.26666666666666666,1725,-10.6,,,
474832,WSH,43,4,0.09302325581395349,0.26666666666666666,1725,-65.1,,,
475253,BAL,75,14,0.18666666666666668,0.2571428571428571,805,-27.4,,,
475253,BOS,62,28,0.45161290322580644,0.2571428571428571,805,75.6,,,
475253,NYY,47,1,0.02127659574468085,0.2571428571428571,805,-91.7,,,
475253,TB,41,3,0.07317073170731707,0.2571428571428571,805,-71.5,,,
475253,TOR,580,161,0.2775862068965517,0.2571428571428571,805,8.0,,,
476704,ATH,678,148,0.2182890855457227,0.26646706586826346,1002,-18.1,,,
476704,HOU,61,23,0.3770491803278688,0.26646706586826346,1002,41.5,,,
476704,LAA,96,35,0.3645833333333333,0.26646706586826346,1002,36.8,,,
476704,SEA,86,20,0.23255813953488372,0.26646706586826346,1002,-12.7,,,
476704,TEX,81,41,0.5061728395061729,0.26646706586826346,1002,90.0,,,
488726,ATH,89,44,0.4943820224719101,0.4075251722310546,1887,21.3,,,
488726,BAL,42,21,0.5,0.4075251722310546,1887,22.7,,,
488726,BOS,57,30,0.5263157894736842,0.4075251722310546,1887,29.1,,,
488726,CLE,352,159,0.45170454545454547,0.4075251722310546,1887,10.8,,,
488726,CWS,54,34,0.6296296296296297,0.4075251722310546,1887,54.5,,,
488726,DET,72,25,0.3472222222222222,0.4075251722310546,1887,-14.8,,,
488726,HOU,732,287,0.39207650273224043,0.4075251722310546,1887,-3.8,,,
488726,KC,83,18,0.21686746987951808,0.4075251722310546,1887,-46.8,,,
488726,LAA,61,34,0.5573770491803278,0.4075251722310546,1887,36.8,,,
488726,MIN,78,39,0.5,0.4075251722310546,1887,22.7,,,
488726,NYY,57,8,0.14035087719298245,0.4075251722310546,1887,-65.6,,,
488726,SEA,92,27,0.29347826086956524,0.4075251722310546,1887,-28.0,,,
488726,TEX,118,43,0.3644067796610169,0.4075251722310546,1887,-10.6,,,
493329,ATH,162,67,0.41358024691358025,0.34796881411571606,2437,18.9,,,
493329,BAL,52,16,0.3076923076923077,0.34796881411571606,2437,-11.6,,,
493329,BOS,53,20,0.37735849056603776,0.34796881411571606,2437,8.4,,,
493329,CLE,64,9,0.140625,0.34796881411571606,2437,-59.6,,,
493329,CWS,62,23,0.3709677419354839,0.34796881411571606,2437,6.6,,,
493329,DET,52,18,0.34615384615384615,0.34796881411571606,2437,-0.5,,,
493329,HOU,1135,456,0.4017621145374449,0.34796881411571606,2437,15.5,,,
493329,KC,84,19,0.2261904761904762,0.34796881411571606,2437,-35.0,,,
493329,LAA,156,45,0.28846153846153844,0.34796881411571606,2437,-17.1,,,
493329,MIA,154,39,0.2532467532467532,0.34796881411571606,2437,-27.2,,,
493329,NYY,60,12,0.2,0.34796881411571606,2437,-42.5,,,
493329,SEA,158,42,0.26582278481012656,0.34796881411571606,2437,-23.6,,,
493329,TB,42,4,0.09523809523809523,0.34796881411571606,2437,-72.6,,,
493329,TEX,156,57,0.36538461538461536,0.34796881411571606,2437,5.0,,,
493329,TOR,47,21,0.44680851063829785,0.34796881411571606,2437,28.4,,,
500743,ATL,129,51,0.3953488372093023,0.282793867120954,2935,39.8,Miguel Rojas,LAD,143.0
500743,AZ,103,29,0.2815533980582524,0.282793867120954,2935,-0.4,Miguel Rojas,LAD,143.0
500743,CHC,63,7,0.1111111111111111,0.282793867120954,2935,-60.7,Miguel Rojas,LAD,143.0
500743,CIN,63,10,0.15873015873015872,0.282793867120954,2935,-43.9,Miguel Rojas,LAD,143.0
500743,COL,73,26,0.3561643835616438,0.282793867120954,2935,25.9,Miguel Rojas,LAD,143.0
500743,LAD,562,160,0.2846975088967972,0.282793867120954,2935,0.7,Miguel Rojas,LAD,143.0
500743,MIA,1090,319,0.2926605504587156,0.282793867120954,2935,3.5,Miguel Rojas,LAD,143.0
500743,MIL,85,12,0.1411764705882353,0.282793867120954,2935,-50.1,Miguel Rojas,LAD,143.0
500743,NYM,153,34,0.2222222222222222,0.282793867120954,2935,-21.4,Miguel Rojas,LAD,143.0
500743,PHI,156,39,0.25,0.282793867120954,2935,-11.6,Miguel Rojas,LAD,143.0
500743,PIT,46,13,0.2826086956521739,0.282793867120954,2935,-0.1,Miguel Rojas,LAD,143.0
500743,SD,85,14,0.16470588235294117,0.282793867120954,2935,-41.8,Miguel Rojas,LAD,143.0
500743,SF,76,29,0.3815789473684211,0.282793867120954,2935,34.9,Miguel Rojas,LAD,143.0
500743,STL,64,18,0.28125,0.282793867120954,2935,-0.5,Miguel Rojas,LAD,143.0
500743,TB,46,17,0.3695652173913043,0.282793867120954,2935,30.7,Miguel Rojas,LAD,143.0
500743,WSH,141,52,0.36879432624113473,0.282793867120954,2935,30.4,Miguel Rojas,LAD,143.0
500871,ATL,71,19,0.2676056338028169,0.2858905800082271,2431,-6.4,,,
