rank,name,proj,tag,gs,l4_st,n,sd,lo,hi,l4_all,l8_st,last,d_l4_l8,mid,nst,p90,mx,boom,big,bust,sdev,k_st,k_mx,ip_st,zp90,zbig,ceil
299,"Bratt, Mitch",7.333076933792418,data_driven_thin,6,10.125,4,12.976998882638464,-2.5,28.1,10.125,7.550000000000001,2026-08-05,2.5749999999999997,683352,6.0,18.8,28.1,16.666666666666664,16.666666666666664,33.33333333333333,11.182799291769483,3.5,9.0,4.611116666666667,0.39215643015517254,2.160240109626151,1.2761982698906618
135,"Roupp, Landen",9.830991853972884,data_driven_full,22,9.35,4,11.805789540164888,-2.9,20.1,9.35,10.025,2026-08-02,-0.6749999999999989,694738,22.0,21.25,24.4,27.27272727272727,9.090909090909092,27.27272727272727,10.135054464793418,5.454545454545454,8.0,5.378795454545455,1.0320223266942214,0.8617371279215512,0.9468797273078864
278,"Vásquez, Randy",7.770174606371955,data_driven_full,18,0.875,4,12.646837549363871,-11.0,17.8,7.050000000000001,3.05,2026-08-04,-2.175,681190,18.0,19.300000000000004,24.1,22.22222222222222,11.11111111111111,44.44444444444444,9.903297133664477,3.3333333333333335,8.0,4.9629666666666665,0.5227413069998774,1.2080045897094445,0.8653729483546609
208,"Ober, Bailey",8.665961282180872,data_driven_full,17,8.1,4,7.08143111713068,-1.8,13.6,8.1,5.9125,2026-08-06,2.1875,641927,17.0,18.860000000000003,34.7,11.76470588235294,11.76470588235294,35.294117647058826,9.931844950342663,3.7058823529411766,10.0,5.470588235294118,0.40782661537653764,1.3200322979349395,0.8639294566557385
217,"Young, Brandon",8.525591951599802,data_driven_full,19,13.5,4,8.382521498133283,4.3,22.1,13.5,11.7,2026-08-06,1.8000000000000007,687064,19.0,19.619999999999997,24.1,21.052631578947366,10.526315789473683,21.052631578947366,6.986055450698479,4.684210526315789,8.0,5.6666684210526315,0.6063156281804861,1.1077692718234753,0.8570424500019806
94,"May, Dustin",10.647366080304096,data_driven_full,21,11.9,4,7.718808198161165,0.5,16.8,11.9,6.0,2026-08-06,5.899999999999999,669160,22.0,20.560000000000006,36.7,22.727272727272727,9.090909090909092,22.727272727272727,12.35986119789251,5.045454545454546,9.0,5.2272727272727275,0.8518151966485316,0.8617371279215512,0.8567761622850414
124,"Boyd, Matthew",9.965188327321016,data_driven_full,13,15.25,4,6.02245796996542,7.0,21.1,15.25,12.95,2026-08-03,2.3000000000000007,571510,13.0,21.040000000000003,22.7,30.76923076923077,7.6923076923076925,23.076923076923077,8.241055757607759,4.846153846153846,10.0,5.589753846153846,0.9771766784194466,0.6220135005299325,0.7995950894746895
175,"Freeland, Kyle",9.191314818595648,data_driven_full,20,13.225,4,11.490974719317766,2.6,28.7,13.225,10.8625,2026-08-02,2.3625000000000007,607536,20.0,19.430000000000007,28.7,15.0,10.0,60.0,10.14546178036476,4.65,9.0,5.416665,0.5566933749795011,1.0175574857261032,0.7871254303528021
69,"Cantillo, Joey",11.321065112960218,data_driven_full,24,6.825,4,7.895726692331745,-2.9,16.2,6.825,10.95,2026-08-04,-4.124999999999999,676282,24.0,20.099999999999998,28.4,20.833333333333336,8.333333333333332,25.0,8.825108284428246,5.375,9.0,4.94445,0.7316771099514019,0.7318868297510909,0.7317819698512464
95,"Imai, Tatsuya",10.63418940766961,data_driven_full,12,1.1250000000000002,4,13.633139770427062,-12.6,18.8,8.0,6.225,2026-08-03,-5.1,837227,15.0,20.54,26.8,33.33333333333333,6.666666666666667,46.666666666666664,13.574001761069718,4.8,11.0,3.91112,0.8465918015747417,0.446216173776079,0.6464039876754103
