batter_name,primary_position,fantasy_positions,fantasy_positions_display,is_multi_position,position_count,batter,pa,pitches,decision_raw,contact_raw,power_raw,process_raw,decision_plus,k_avoidance_plus,power_plus,process_plus,swing_pct,chase_pct,contact_pct,in_play_pct,whiff_pct,xwoba_actual,pa_pitches,xwoba_vs_expected,xwoba_on_contact,blend_weight,all_positions_seen,avg_swing_speed,blast_rate,blast_contact_rate,squared_up_rate,max_ev,swing_count,proc_plus_positional
Jhorman Bravo,,,,,,829939,1,1,0.1907473011793172,0.24995928732698264,,0.24995928732698264,222.2,210.2,,141.0,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,
Nick Pratto,,,,,,668472,1,3,0.04945315981235939,0.2498846726296551,,0.2498846726296551,84.0,210.1,,140.9,0.333,0.296,0.78,0.333,0.0,,1,,,0.005,,,,,,,,
Joe Lampe,,,,,,802407,2,8,0.0385432147754888,0.24951885389045894,,0.24951885389045894,73.3,210.0,,140.9,0.25,0.286,0.783,0.25,0.0,,2,,,0.01,,,,,,,,
Andy Perez,,,,,,700321,1,1,0.2433451543386996,0.2494073434808399,,0.2494073434808399,273.6,209.9,,140.8,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,
Ariel Armas,,,,,,813666,1,6,0.022018186482921125,0.24873614311195288,,0.24873614311195288,57.2,209.6,,140.7,0.167,0.29,0.78,0.167,0.0,,1,,,0.005,,,,,,,,
Dillon Lewis,,,,,,827665,1,4,0.03090142277785312,0.24548637506758622,,0.24548637506758622,65.8,208.2,,140.0,0.25,0.296,0.78,0.25,0.0,,1,,,0.005,,,,,,,,
Omar Hernandez,,,,,,683427,3,9,-0.0037923895122396775,0.24503310667813671,,0.24503310667813671,31.9,208.0,,139.9,0.333,0.299,0.785,0.333,0.0,,3,,,0.015,,,,,,,,
Jack Winkler,,,,,,676466,1,2,0.03771622261967367,0.2448061272124004,,0.2448061272124004,72.5,207.9,,139.9,0.5,0.3,0.78,0.5,0.0,,1,,,0.005,,,,,,,,
Gio Urshela,,,,,,570482,2,4,-0.01669809986238096,0.24432925468893482,,0.24432925468893482,19.3,207.7,,139.8,0.5,0.305,0.782,0.5,0.0,,2,,,0.01,,,,,,,,
Kyle Nevin,,,,,,693819,1,1,0.1739632395827897,0.2436746962602843,,0.2436746962602843,205.8,207.4,,139.6,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,
Dylan Jasso,,,,,,815734,1,4,-0.02873623903404849,0.24281428151921672,,0.24281428151921672,7.5,207.1,,139.5,0.25,0.294,0.78,0.25,0.0,,1,,,0.005,,,,,,,,
Luis Castillo,,,,,,699127,2,8,-0.01430077798021528,0.24186882994737324,,0.24186882994737324,21.6,206.7,,139.3,0.25,0.291,0.782,0.25,0.0,,2,,,0.01,,,,,,,,
Kervin Pichardo,,,,,,682775,2,5,0.055250215768334665,0.2414933136309847,,0.2414933136309847,89.7,206.5,,139.2,0.4,0.29,0.781,0.4,0.0,,2,,,0.01,,,,,,,,
Lizandro Espinoza,,,,,,692371,1,1,0.19375267061607643,0.24083048764810214,,0.24083048764810214,225.1,206.2,,139.1,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,
Alexey Lumpuy,,,,,,815121,1,1,0.20505615927901083,0.23698296834198282,,0.23698296834198282,236.2,204.5,,138.2,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,
Marco Dinges,,,,,,701392,3,5,0.023333377845914348,0.2363333864150928,,0.2363333864150928,58.4,204.3,,138.1,0.6,0.306,0.786,0.6,0.0,,3,,,0.015,,,,,,,,
Nate Mondou,,,,,,670148,1,2,-0.026918148915787005,0.2348676247117497,,0.2348676247117497,9.3,203.6,,137.8,0.5,0.3,0.78,0.5,0.0,,1,,,0.005,,,,,,,,
J.J. D'Orazio,,,,,,683490,1,1,0.144338839144604,0.23182560129264113,,0.23182560129264113,176.8,202.3,,137.2,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,
Cole Mathis,,,,,,695573,1,6,0.007037303443018052,0.2317039226057377,,0.2317039226057377,42.5,202.3,,137.1,0.167,0.294,0.78,0.167,0.0,,1,,,0.005,,,,,,,,
