rank,batter,player_name,team,pa_to,split_day,prior_fp_per_pa,xfp_rh2_per_pa,iso_to_sh,k_pct_to_sh,hr_per_pa_to_sh,hard_hit_pct_to_sh,contact_pct_to_sh,whiff_pct_to_sh,swstr_pct_to_sh,bb_pct_to_sh,chase_pct_to_sh,in_play_pct_to_sh,sb_per_pa_to_sh,xwoba_per_pa_to_sh,barrel_pct_to_sh,prior_fp_per_pa,prior_pa_eff,pa_to,split_day
11,691406,Junior Caminero,TB,118,30,0.6403503070218519,0.6085995027128881,0.1983336753247189,0.17647577891775001,0.04600753562670908,0.42633709749568893,0.7537588724909781,0.24624112750902194,0.11156482723479721,0.09810224360895266,0.2880834439801879,0.18528594214550248,0.0,0.33879198774856256,0.1020691009029163,0.6403503070218519,331.0833333333333,118,30
12,621566,Matt Olson,ATL,127,30,0.6155560220025533,0.6033074050933167,0.21528832338621506,0.23215341522652136,0.041246364513441776,0.45006198755234383,0.7540417227206828,0.2459582772793172,0.10943428851030651,0.10262483392279649,0.2704772909436375,0.1565341219968172,0.0,0.344223623856758,0.13623838502802676,0.6155560220025533,707.5,127,30
13,606466,Ketel Marte,AZ,109,30,0.709040857701609,0.5949460501517366,0.15599393831173272,0.19770821684828113,0.03315473211645955,0.4492937104377645,0.7545824214124129,0.2454175785875871,0.11884423440189038,0.08449054139271062,0.2928869366529731,0.1874464433351381,0.0,0.33767005104865316,0.09218051402845799,0.709040857701609,588.75,109,30
14,665489,Vladimir Guerrero Jr.,TOR,111,30,0.676687435523143,0.5947708028780581,0.14280634359785355,0.15446016752841815,0.02580131765299721,0.43915926584142395,0.7718905292175652,0.22810947078243485,0.10891515638770594,0.10540404319883434,0.2792785207634797,0.19170176248407428,0.0,0.34481879100029533,0.10513884829849274,0.676687435523143,686.1666666666666,111,30
15,547180,Bryce Harper,PHI,115,30,0.6342855730104914,0.5947401991829809,0.19371043663237741,0.1795010779849115,0.03947428161576214,0.4015652808790179,0.725220578623621,0.27477942137637906,0.13791986636577253,0.10360993182523716,0.3136113123670069,0.19062022926836722,0.0,0.3490651828407208,0.12017644228345514,0.6342855730104914,588.5,115,30
16,641355,Cody Bellinger,NYY,108,30,0.6727859412748304,0.592539166528664,0.158233695844202,0.15126600385333042,0.029676871440619458,0.3781889246633546,0.7902278181905737,0.20977218180942628,0.0938447721160238,0.12433479815320495,0.2519727034444371,0.18566297082920447,0.0,0.3405466933306352,0.07799583456015263,0.6727859412748304,603.1666666666666,108,30
17,671739,Michael Harris II,ATL,96,30,0.5099959003350587,0.5906401693840868,0.189475792673508,0.18213261953435583,0.042293873159745185,0.49530303457864594,0.7486991232955872,0.25130087670441287,0.12929812539094554,0.07105710175430895,0.3186198633359802,0.19776194838159317,0.0,0.36010759791322217,0.15066243510872646,0.5099959003350587,555.9166666666666,96,30
18,663538,Nico Hoerner,CHC,126,30,0.609573404825212,0.5879408793944398,0.16381773515092096,0.1366273583191371,0.03125057520436558,0.3093878823793959,0.8451199454003804,0.1548800545996196,0.07408391135900756,0.08678184544280787,0.2963079442270238,0.20205809103754627,0.0,0.33546339370330713,0.046556445491330256,0.609573404825212,656.9166666666666,126,30
19,694208,Moisés Ballesteros,CHC,65,30,0.6343053418909212,0.5867781209084411,0.19433070301849548,0.20330150917887604,0.039362426640392405,0.47843486965885973,0.7482733818286885,0.2517266181713116,0.12159923337030074,0.08836937285908505,0.29336643237501736,0.1832712431631652,0.0,0.33339739966821685,0.10292233838865503,0.6343053418909212,27.5,65,30
20,545361,Mike Trout,LAA,125,30,0.5045127277334035,0.585827924965186,0.2100330351413745,0.21304156025599735,0.044915831391499045,0.43200153241100325,0.7723653513591604,0.22763464864083965,0.0914044480062664,0.156523812158901,0.23046917834969458,0.14236162461959145,0.0,0.37024276677388035,0.16792829263613057,0.5045127277334035,365.25,125,30
21,671056,Iván Herrera,STL,120,30,0.5929090946291966,0.5803412019505354,0.16361584236634058,0.16895938137421945,0.031897138829283495,0.4441589161961369,0.7926356216294306,0.20736437837056942,0.092032288786324,0.11811805824554474,0.26713189822852673,0.16557659301445177,0.0,0.3506852607133067,0.09435800648582314,0.5929090946291966,275.0,120,30
22,677951,Bobby Witt Jr.,KC,120,30,0.7343907714388441,0.5790911469147596,0.12991888707161842,0.1911816035964417,0.018104035381007647,0.4696902396808103,0.7418580309669085,0.25814196903309145,0.1225950134030493,0.10145139157887802,0.2947458432453078,0.1792807092173495,0.0,0.3427079965981116,0.09617382832370025,0.7343907714388441,696.4166666666666,120,30
23,660670,Ronald Acuña Jr.,ATL,128,30,0.7609157166452808,0.5785110766513297,0.1438747162725765,0.19900366301786973,0.0243294304043363,0.4134938981858909,0.740712593478669,0.25928740652133103,0.11939583059014981,0.11027554023762394,0.26767551760976505,0.16623900189410545,0.0,0.34333919827839043,0.11181691659477265,0.7609157166452808,429.4166666666667,128,30
24,650490,Yandy Díaz,TB,116,30,0.6083374427061953,0.5784246208059797,0.15156484276264562,0.15575391276908812,0.028846749162560185,0.4044392872767108,0.8212291604174453,0.17877083958255477,0.08612508265203389,0.08622175414801157,0.26405038695949096,0.1908775617987275,0.0,0.3374028297949246,0.05827348046496009,0.6083374427061953,628.8333333333334,116,30
25,689414,Liam Hicks,MIA,94,30,0.49823232926027233,0.5778477658894753,0.17634989457915184,0.1260564197880487,0.03882640250186445,0.39242887295350676,0.8584805760092457,0.14151942399075415,0.07109500815734891,0.07172118681743332,0.2594648872008395,0.20675425861998814,0.0,0.3337652893329409,0.06857608262366054,0.49823232926027233,163.33333333333334,94,30
26,545121,Ildemaro Vargas,AZ,77,30,0.49902485508726235,0.5700540678101224,0.20237627217468301,0.16359626749897446,0.04149866502223569,0.3828291582492188,0.7937279272832339,0.20627207271676612,0.10292469603935923,0.06268189837020675,0.3100591665054629,0.21798845489164645,0.0,0.3423847503419076,0.07744367951465117,0.49902485508726235,224.16666666666666,77,30
27,695578,James Wood,WSH,137,30,0.5013355649014967,0.5699066650007449,0.2296956117949646,0.28128268348913454,0.049674821695414394,0.5380015720423222,0.6848548349589367,0.31514516504106327,0.12016185646971311,0.14532425672735694,0.2417390422912235,0.13171654687990228,0.0,0.3684392329938057,0.20675402434223739,0.5013355649014967,400.25,137,30
28,682829,Elly De La Cruz,CIN,123,30,0.5435966364013096,0.5683444676360837,0.21317934800389077,0.253621249439123,0.04863539338051948,0.49140301068432585,0.71252573738152,0.2874742626184799,0.11988133323320738,0.09608367892564088,0.26095933117763587,0.16163922722311935,0.0,0.3489740559546457,0.13372808522598062,0.5435966364013096,631.6666666666666,123,30
29,676475,Alec Burleson,STL,112,30,0.5717496191469357,0.5678931078692573,0.15659623150984753,0.16519005027534595,0.029255922909546837,0.45080733102171183,0.7779937926498711,0.22200620735012888,0.10985005043395236,0.10063937059883934,0.2965532011796772,0.1947778863394454,0.0,0.3403796170637148,0.09689154346044429,0.5717496191469357,512.5833333333334,112,30
30,656941,Kyle Schwarber,PHI,122,30,0.6316357015513445,0.5661792064178779,0.2136862460040404,0.293476311249228,0.04537729541264455,0.45825620324463084,0.7052262709751983,0.29477372902480176,0.12659848912106056,0.11714187594599473,0.25816328836305585,0.13948972954138356,0.0,0.3373974610541459,0.14530424385181398,0.6316357015513445,714.0,122,30
31,668939,Adley Rutschman,BAL,52,30,0.5254332277814474,0.56439629437537,0.1959344152707754,0.1822561486371385,0.03716292910131628,0.42675758174343764,0.8044093763565132,0.19559062364348684,0.09338360330006529,0.08923449987750426,0.2738033331603342,0.1839316218588271,0.0,0.32535241726959985,0.07759407581888376,0.5254332277814474,537.6666666666666,52,30
32,682928,CJ Abrams,WSH,114,30,0.5622056415505923,0.5629508633569914,0.1943467606315706,0.19202694624919253,0.043134402325676814,0.43526545885527507,0.7149179670043283,0.28508203299567175,0.13461082789058793,0.09977920503816552,0.3028168583435216,0.1768424792090019,0.0,0.34471941206083295,0.1118677345895963,0.5622056415505923,621.9166666666666,114,30
33,608324,Alex Bregman,CHC,126,30,0.6339434907029985,0.5623223753154467,0.14490265187197987,0.17963811100730914,0.027872196825987218,0.4224348416567089,0.8087338133410382,0.19126618665896183,0.08307007996731945,0.09491192674362084,0.2413049292227384,0.17787958645989257,0.0,0.3249419261885411,0.07680746030559113,0.6339434907029985,600.0,126,30
34,656811,Ryan O'Hearn,PIT,105,30,0.5635064525095028,0.5602420144887645,0.166233695844202,0.1903799311961182,0.03363698276542625,0.43777198653204413,0.7863703561722996,0.2136296438277005,0.09704691367111029,0.10377037323969214,0.2830393145091657,0.16553299006836317,0.0,0.3448129223980416,0.08183169527622572,0.5635064525095028,484.8333333333333,105,30
35,805808,Kevin McGonigle,DET,119,30,0.5059091560109416,0.5601526084839433,0.17702822798878518,0.15873010417519276,0.02508709432696268,0.394262190992097,0.8342767894812877,0.1657232105187123,0.07753212404761822,0.10605997480724155,0.25184079014420124,0.17876242672356168,0.0,0.352948080654304,0.11582222336014154,0.5059091560109416,0.0,119,30
36,695734,Daylen Lile,WSH,123,30,0.6374331617402498,0.5597357056093313,0.15335211793745573,0.17165403632436887,0.0281575776808608,0.394462813684681,0.7706879500072233,0.22931204999277668,0.11817374506817022,0.09196845258819233,0.29739973799490077,0.2047246016237974,0.0,0.3380097523854951,0.06282144631957716,0.6374331617402498,146.25,123,30
37,663656,Kyle Tucker,LAD,116,30,0.7534798759131925,0.5594666493024741,0.14660997703821485,0.22393573095090627,0.028846749162560185,0.3969148217079479,0.7565035092095443,0.24349649079045563,0.12116759143499692,0.09893361855479121,0.26793983619457346,0.17429115054152816,0.0,0.3171467569204307,0.07073595924172864,0.7534798759131925,526.5,116,30
38,668930,Brice Turang,MIL,114,30,0.5153295751847756,0.5570300408269844,0.17612025281047633,0.22650970486988214,0.032571022043986673,0.46502719963170414,0.7971947625982426,0.20280523740175738,0.0866215113532201,0.13396723922619969,0.23801729217674522,0.15453922509892654,0.0,0.35142960922306443,0.09387578481794477,0.5153295751847756,593.1666666666666,114,30
39,701762,Nick Kurtz,ATH,120,30,0.7023327664913918,0.5557277507057614,0.1735395376934283,0.28562604804088615,0.035345414691352446,0.5185260423000911,0.6633231437773529,0.33667685622264715,0.13401063108024616,0.16395139157887803,0.24295278309774043,0.12170109091582447,0.0,0.356338095312956,0.15517928955048094,0.7023327664913918,204.16666666666666,120,30
40,666160,Mickey Moniak,COL,77,30,0.49906370602452155,0.5546382216678184,0.2331556579532073,0.22928969815590877,0.05364441401008995,0.3906432297821639,0.7619089465737079,0.23809105342629214,0.12399520486087345,0.06775804050218645,0.3119691910200081,0.18424146942295125,0.0,0.32180915352493145,0.10361761154433527,0.49906370602452155,412.1666666666667,77,30
41,669127,Shea Langeliers,ATH,117,30,0.5379035357290696,0.5529082879266077,0.2005933481687285,0.2509191449003362,0.04616784062889271,0.4476839869595983,0.7385211361015132,0.26147886389848685,0.13101483455349164,0.08585794927818872,0.3063055826915405,0.16995987075765567,0.0,0.34092710456363806,0.10304338748967885,0.5379035357290696,519.0833333333334,117,30
42,682998,Corbin Carroll,AZ,100,30,0.6812176603534003,0.5527003237180014,0.19900993426660044,0.24007930404599692,0.03055618614997118,0.3890658931826549,0.6901423546181258,0.30985764538187427,0.13870239043025917,0.11521969990423062,0.30267381236700686,0.15765920929258495,0.0,0.3393351271972479,0.10076575067614252,0.6812176603534003,658.25,100,30
43,608369,Corey Seager,TEX,112,30,0.6819435249314175,0.5524162953955069,0.18505223331148057,0.23495749213581105,0.03989422078188727,0.4034015196409116,0.691835898741492,0.30816410125850807,0.14866922103907956,0.10494971542642559,0.28483319005350366,0.16848240351899632,0.0,0.33258101493113207,0.11652889019749613,0.6819435249314175,497.0833333333333,112,30
44,661388,William Contreras,MIL,106,30,0.5807158443536078,0.550054751130339,0.14728793710215884,0.15911258221300906,0.02626873282787032,0.41975895724931345,0.7949823418265871,0.2050176581734129,0.09609379173141396,0.09446165477402976,0.2705019998627168,0.19302121230398903,0.0,0.3274039958312083,0.07563232442196616,0.5807158443536078,654.0833333333334,106,30
45,647304,Josh Naylor,SEA,114,30,0.6779911576687596,0.5498415763901798,0.13900541430057226,0.19202694624919253,0.029049895283423298,0.3790088899015743,0.7620671466743716,0.2379328533256285,0.12467253849593402,0.0869586922176527,0.30539704187375527,0.20602094901108592,0.0,0.3220069379407502,0.06754486333608671,0.6779911576687596,588.0833333333334,114,30
46,672695,Geraldo Perdomo,AZ,102,30,0.6361911604206346,0.5492894557930158,0.1514452579074617,0.1630412879466636,0.022978567134162547,0.315265458855275,0.8374364249168919,0.16256357508310826,0.07546168767676681,0.10967718008527357,0.25239940872723216,0.17513738643425947,0.0,0.3224199215289968,0.04786773458959627,0.6361911604206346,554.3333333333334,102,30
47,683002,Gunnar Henderson,BAL,128,30,0.6098794475054519,0.549164669445493,0.20129863754003807,0.2841100459965931,0.04446365859225577,0.45562049489610623,0.7302497063775941,0.26975029362240593,0.1268061002980385,0.08608199185052716,0.29438040450127806,0.15076440300149688,0.0,0.3202734833619139,0.10304338748967885,0.6098794475054519,666.4166666666666,128,30
48,572233,Christian Walker,HOU,114,30,0.5341372198241341,0.5478803945007878,0.19445547677327119,0.19777407268597416,0.03961327556511343,0.4450246694334061,0.7331808000075786,0.26681919999242154,0.12487780306575876,0.09977920503816552,0.27568056148967923,0.17843502387928215,0.0,0.33241000276421706,0.1083989676255778,0.5341372198241341,617.25,114,30
49,678246,Miguel Vargas,CWS,116,30,0.4784484381267186,0.5473274026587361,0.18258205474921765,0.17279936731454262,0.035839756155567164,0.4172514246633546,0.8048304217765696,0.19516957822343042,0.08849240894690955,0.12435734736835055,0.2363951082273752,0.16990828009304487,0.0,0.338812622305046,0.10924583456015265,0.4784484381267186,392.5,116,30
50,677800,Wilyer Abreu,BOS,110,30,0.5447836326573312,0.5462877642274169,0.1700703204620248,0.19654522733740884,0.033036322358900756,0.4424862299765862,0.7816452105339193,0.21835478946608072,0.10664609062962876,0.0797753651257858,0.2807175372959807,0.18631908687676718,0.0,0.33295089193588767,0.09835959714923892,0.5447836326573312,344.6666666666667,110,30
51,800050,Chase DeLauter,CLE,103,30,0.5059091560109416,0.5462259573704906,0.19023369584420202,0.15590606532122395,0.03754641121059418,0.3860014246633545,0.7985665811407979,0.20143341885920207,0.08896120676894383,0.10470104923287325,0.2495342579272329,0.18151986408824597,0.0,0.3344343694265488,0.0936208345601526,0.5059091560109416,0.0,103,30
52,805779,Jacob Wilson,ATH,113,30,0.610068551051356,0.5432444248516525,0.1380824410332739,0.15267450085178905,0.025618976185484834,0.3584441768920093,0.8254493622362584,0.17455063776374163,0.09953082750124097,0.04870529604691298,0.3357213863342884,0.2252604210898247,0.0,0.31064494764866624,0.04015749546107073,0.610068551051356,253.0,113,30
53,681624,Andy Pages,LAD,108,30,0.5193008953175634,0.5421697336902638,0.1790708613886558,0.22269457528190184,0.036871116044936,0.49530303457864594,0.7673461234639243,0.23265387653607578,0.1140760442198573,0.07608918411811724,0.293757808943481,0.17041189169052176,0.0,0.3340787164202449,0.07129735574364712,0.5193008953175634,405.0833333333333,108,30
54,669257,Will Smith,LAD,89,30,0.6153766592752704,0.5418147508579589,0.14816009983771045,0.19068918555274833,0.031853939229699674,0.3687668031035598,0.80934418533711,0.19065581466289017,0.08552959263709974,0.09257576066474033,0.24745659490063537,0.1675961982135513,0.0,0.3286119559868873,0.09550840716260468,0.6153766592752704,495.9166666666667,89,30
55,695600,Carter Jensen,KC,89,30,0.6902418921141069,0.5404373313279836,0.1906210207575335,0.2510918701165068,0.04343695081271124,0.4038874510181846,0.693514069506994,0.30648593049300593,0.13321244102868354,0.09257576066474033,0.2707699998609222,0.15897587915619044,0.0,0.33158110765783844,0.10460444593999557,0.6902418921141069,28.75,89,30
56,672640,Otto Lopez,MIA,110,30,0.5214219615483072,0.5403994119511092,0.16625352656889505,0.19066287439623236,0.029464893787472177,0.46923445381134876,0.7737721245754722,0.2262278754245278,0.10780253947842487,0.07107971295187275,0.29139509106946,0.192247144454157,0.0,0.3354334425106289,0.09762005130601155,0.5214219615483072,392.5,110,30
57,666018,Jonathan Aranda,TB,116,30,0.5349551897346442,0.5399520804185652,0.18577509359785352,0.22961754913272445,0.03933625965207066,0.4235981710664654,0.7740069837208843,0.22599301627911575,0.10150786927904926,0.12435734736835055,0.2756884177834096,0.15413453250798012,0.0,0.33569516829166807,0.10070140187982804,0.5349551897346442,249.58333333333334,116,30
58,607043,Brandon Nimmo,TEX,123,30,0.5427531718077344,0.5396100986929124,0.17243860726315002,0.20990540244458747,0.03157054696413725,0.4400606100511806,0.7542951222642993,0.2457048777357008,0.11838024700444358,0.08785322625074372,0.28158852550462243,0.18286632340169645,0.0,0.3381133435496976,0.10358123573110768,0.5427531718077344,662.0,123,30
59,671277,Luis García Jr.,WSH,92,30,0.5613962884450637,0.5389893670164793,0.14338074177842947,0.1737676884694704,0.023855611681268006,0.4112654588552751,0.812714289971418,0.18728571002858194,0.09851731807671428,0.06768082065533365,0.3143313773074855,0.20607737852718375,0.0,0.32378873523528695,0.0638677345895963,0.5613962884450637,517.0,92,30
60,663757,Trent Grisham,NYY,92,30,0.5068939282128299,0.5365564285146197,0.1654867981160966,0.20008347794315462,0.03530599336065732,0.46611492789537157,0.7908762396419883,0.20912376035801172,0.08351075636726454,0.1384355376364657,0.23500211589570713,0.16190081220250352,0.0,0.3317424767318856,0.08474968701603333,0.5068939282128299,450.9166666666667,92,30
61,693307,Dillon Dingler,DET,96,30,0.42759897557011317,0.5335601845106851,0.18113180471971752,0.1885428759446122,0.03853447466350457,0.47006818630757824,0.7658914327356781,0.23410856726432194,0.11417585534859954,0.0756867313839386,0.2964355629946832,0.18648815656682802,0.0,0.353102813224227,0.14152889019749615,0.42759897557011317,224.83333333333334,96,30
62,686469,Vinnie Pasquantino,KC,115,30,0.6214042619568522,0.5317540625318955,0.14830163061942503,0.20807250655634005,0.028947965826288474,0.3732927744638534,0.7975855851464752,0.20241441485352488,0.09766132120274833,0.10360993182523716,0.29465162431428377,0.16643008060730977,0.0,0.31605313464794976,0.07860997498976013,0.6214042619568522,535.3333333333334,115,30
63,645277,Ozzie Albies,ATL,120,30,0.5785501357689482,0.5315839529878651,0.16749420573915624,0.15784827026310838,0.035345414691352446,0.32930736297217267,0.7692451480432371,0.23075485195676296,0.12020108760849402,0.07228472491221138,0.31244055201669385,0.20657859079123597,0.0,0.31740726399737895,0.04750657703196959,0.5785501357689482,585.5833333333334,120,30
64,808982,Jung Hoo Lee,SF,100,30,0.5425534417161574,0.5303473830435828,0.1569778728613115,0.17132930404599694,0.026852482446267475,0.3938139246633545,0.8164317620903772,0.18356823790962287,0.0863947763776484,0.0834015180860488,0.26983621876431907,0.18807766264634734,0.0,0.32635762719724787,0.04674583456015262,0.5425534417161574,309.75,100,30
65,673548,Seiya Suzuki,CHC,66,30,0.5618668394624137,0.5295639564067651,0.17934150679558375,0.21756102101078972,0.03919563669700092,0.41107892699900417,0.736020116516075,0.263979883483925,0.1154816136423043,0.10402330096199318,0.26114250451380255,0.16604232183827516,0.0,0.3395945484291065,0.08773040465603889,0.5618668394624137,609.25,66,30
66,650333,Luis Arraez,SF,107,30,0.602681170753593,0.5288959064005536,0.12045199985133781,0.10426759669077547,0.01895368325087443,0.24600123214127959,0.8601324884564735,0.13986751154352658,0.0742407668823245,0.06761380607458473,0.2813433614853725,0.2111810725053057,0.0,0.32410916028842685,0.026915316376348235,0.602681170753593,660.3333333333334,107,30
67,593428,Xander Bogaerts,SD,105,30,0.518643389433729,0.5280518921595438,0.1563574069606739,0.1600769008930879,0.03363698276542625,0.41083217197622607,0.7681046245439088,0.23189537545609124,0.10442637769488194,0.09932592879524767,0.2642340521485039,0.18959790896882692,0.0,0.3365655577256769,0.0767958986438426,0.518643389433729,549.5833333333334,105,30
68,514888,Jose Altuve,HOU,121,30,0.6021504078582063,0.527481393687954,0.15682424136245474,0.19565021352132322,0.028351100551519622,0.3790088899015743,0.7537588724909781,0.24624112750902194,0.11368410482134694,0.10932918663456737,0.2859307119425455,0.18337821241692312,0.0,0.32722595370344715,0.07506366032856794,0.6021504078582063,602.6666666666666,121,30
69,642086,Dominic Smith,ATL,68,30,0.4655954143359286,0.5259723953911508,0.17581521760466892,0.16728663005749614,0.03886626159870679,0.3869923584757886,0.7785351034582391,0.22146489654176096,0.11613756626566296,0.0656826275475039,0.312787698094554,0.20516868900615107,0.0,0.33947835856936415,0.08395763386635081,0.4655954143359286,342.5833333333333,68,30
70,808959,Munetaka Murakami,CWS,118,30,0.5059091560109416,0.5255261351701712,0.22874384359785355,0.29445330700763767,0.05642420229337573,0.5271792743636391,0.6399340332302706,0.3600659667697294,0.14664837685596632,0.13591736965937284,0.24136005957445428,0.13475276858181773,0.0,0.3538269495549925,0.16806978339906106,0.5059091560109416,0.0,118,30
71,669364,Xavier Edwards,MIA,117,30,0.5243669947991166,0.5244209789966124,0.14660997703821485,0.16052366467434748,0.021777596726453703,0.4160013214268796,0.8035545087188553,0.19644549128114477,0.08834019213403795,0.10273558640899041,0.25423631236700683,0.18538325734295286,0.0,0.3351777247571384,0.06509758567898215,0.5243669947991166,380.6666666666667,117,30
72,673962,Josh Jung,TEX,96,30,0.43352767838523126,0.5237779904984364,0.18773558048810687,0.1949531323548686,0.034775076167263955,0.4579188624537966,0.7896274029936995,0.21037259700630057,0.1021180202650347,0.08031636101356819,0.2949257044395321,0.18830235864108927,0.0,0.32866174464368475,0.05771460184875648,0.43352767838523126,404.3333333333333,96,30
73,691016,Tyler Soderstrom,ATH,117,30,0.5089720765146379,0.5219894007276911,0.17191858098509624,0.20007168727321753,0.028746237841436283,0.44667806283390515,0.7603316026566604,0.23966839734333953,0.1149794239629621,0.09429676784358958,0.2838837698320837,0.18770797576565607,0.0,0.3282092926063074,0.11265764529097397,0.5089720765146379,365.8333333333333,117,30
74,543807,George Springer,TOR,62,30,0.6107638285791995,0.521651051920814,0.1661608596310771,0.2246941692406517,0.031250733881431965,0.4045353595212154,0.7527199298346994,0.24728007016530065,0.12120723276466917,0.10081502186225677,0.26890178351970473,0.16724091207127473,0.0,0.31864378695828494,0.08870518692999488,0.6107638285791995,619.5833333333334,62,30
75,672580,Maikel Garcia,KC,110,30,0.54284723473256,0.5207317482658821,0.14501321992683594,0.19654522733740884,0.025893465216043604,0.4217688554799177,0.7977611737540983,0.2022388262459017,0.08588944631098862,0.09281884338665537,0.24832187385280194,0.17941141251884044,0.0,0.32840012409487596,0.08514315367208941,0.54284723473256,616.75,110,30
76,621493,Taylor Ward,BAL,128,30,0.5234293580469699,0.5203084687539683,0.15564952794400938,0.17240791833701866,0.020973725706349724,0.394262190992097,0.800791884900401,0.19920811509959907,0.07721265874804309,0.12237231443117232,0.20846109617019906,0.1644950029944511,0.0,0.3421449786890167,0.06509758567898215,0.5234293580469699,601.0833333333334,128,30
77,680777,Ryan Jeffers,MIN,79,30,0.5127165027221233,0.5191484891050892,0.17137077316022448,0.20440783199539214,0.03313321389755911,0.40408182356909383,0.7756338166039802,0.22436618339601988,0.09608893507516751,0.11732831145191323,0.25806719163507597,0.15886429634723542,0.0,0.33673628200237243,0.11983466823699539,0.5127165027221233,433.4166666666667,79,30
78,676391,Ernie Clement,TOR,109,30,0.5672378195929052,0.5170103765949164,0.14014337298899443,0.12670229968851776,0.01881781455373555,0.3160545490460626,0.8070388292763465,0.19296117072365349,0.10492055064327384,0.04955604357611675,0.3214870123700973,0.2426630662699719,0.0,0.31489254493618374,0.02655644549133026,0.5672378195929052,408.6666666666667,109,30
79,807799,Masataka Yoshida,BOS,56,30,0.5760699809283051,0.5168608374102522,0.13863312602451702,0.16735076420137504,0.023230841860585036,0.4045353595212154,0.7989780909222243,0.2010219090777758,0.08924987378817294,0.10993371578937917,0.2654587182813289,0.17962912778025802,0.0,0.32111250246881784,0.04426074248555043,0.5760699809283051,371.3333333333333,56,30
