rank,batter,player_name,team,primary_position,pa_to,pa_last21,prior_fp_per_pa,recency_form_gap,xfp_rh3_per_pa,xfp_rh3_per_game,xfp_rh3_sigma,xfp_rh3_sigma_raw,xfp_rh3_sigma_global,xfp_rh3_sigma_hetero,batter_sigma_factor,sigma_calibration_method,xfp_rh3_p25,xfp_rh3_p75,expected_pa_remaining,expected_total_fp_remaining,replacement_xfp_per_pa,replacement_delta,signal,slump_pct_rank,slump_n_comparable,slump_bounce_pct,slump_next_rate,slump_delta,arche_overall_prior,slope_3yr_prior,traj_career_low_prior
50,695734,Daylen Lile,WSH,OF,475,71.0,0.6369725536970151,-0.007,0.5776260366691228,2.02,0.1038165813023264,0.1075864795068277,0.1075864795068277,0.1038165813023264,0.9649593682981136,hetero_v1,0.5076017525807036,0.647650320757542,104.0,60.1,0.5071578343016413,0.0705,add,6.9,4.0,100.0,0.4269,0.2055,64.0,0.0,True
51,677800,Wilyer Abreu,BOS,OF,484,82.0,0.544575955368465,0.0118,0.5758454118329576,2.02,0.1111546677012398,0.1075864795068277,0.1075864795068277,0.1111546677012398,1.0331657677690405,hetero_v1,0.5008715884684714,0.6508192351974438,106.0,61.0,0.5071578343016413,0.0687,hold,90.8,216.0,50.5,0.2605,0.001,60.0,7.0,False
52,650333,Luis Arraez,PHI,2B,474,72.0,0.6025703277298946,-0.0074,0.5744456546703889,2.01,0.0810541957112182,0.1075864795068277,0.1075864795068277,0.0810541957112182,0.7533864485832003,hetero_v1,0.5197745996631722,0.6291167096776056,103.0,59.2,0.5178999715490752,0.0565,add,21.4,173.0,94.8,0.3924,0.0842,56.0,-5.0,False
53,668930,Brice Turang,MIL,2B,494,74.0,0.5152065239789102,-0.0139,0.574421990277701,2.01,0.1048627676888719,0.1075864795068277,0.1075864795068277,0.1048627676888719,0.9746835119948052,hetero_v1,0.5036920534715569,0.6451519270838452,108.0,62.0,0.5178999715490752,0.0565,hold,94.1,383.0,57.4,0.2277,0.0225,55.0,7.0,False
54,694671,Wyatt Langford,TEX,OF,272,81.0,0.5345422809041961,-0.0013,0.5735511048476057,2.01,0.110210337078506,0.1075864795068277,0.1075864795068277,0.110210337078506,1.0243883579396404,hetero_v1,0.4992142324881534,0.647887977207058,59.0,33.8,0.5071578343016413,0.0664,hold,34.3,85.0,90.6,0.2836,0.1538,58.0,2.0,False
55,676724,Jared Young,NYM,1B,208,51.0,0.5014067123883225,0.0022,0.5728714641460441,2.01,0.1123305332378055,0.1075864795068277,0.1075864795068277,0.1123305332378055,1.0440952594854331,hetero_v1,0.4971045194771442,0.648638408814944,45.0,25.8,0.5728714641460441,0.0,hold,,,,,,,0.0,False
56,686469,Vinnie Pasquantino,KC,1B,337,37.0,0.6212683186107585,0.0031,0.5700799148952422,2.0,0.1018177104966747,0.1075864795068277,0.1075864795068277,0.1018177104966747,0.9463801675024894,hetero_v1,0.5014038691652352,0.6387559606252493,73.0,41.6,0.5728714641460441,-0.0028,hold,6.6,26.0,100.0,0.3672,0.1824,63.0,-0.5,False
57,807712,Luke Keaschall,MIN,2B,415,59.0,0.6601468360143032,0.0088,0.5697075555159598,1.99,0.0968762105378471,0.1075864795068277,0.1075864795068277,0.0968762105378471,0.9004496752930661,hetero_v1,0.5043645515081818,0.6350505595237377,90.0,51.3,0.5178999715490752,0.0518,hold,0.0,0.0,,,,56.0,0.0,True
58,702332,Caleb Durbin,BOS,3B,397,80.0,0.5979090831728207,0.0075,0.5670378089828426,1.98,0.0943623748652291,0.1075864795068277,0.1075864795068277,0.0943623748652291,0.8770839542085834,hetero_v1,0.5033903871362455,0.6306852308294397,87.0,49.3,0.5235834022778508,0.0435,hold,0.0,0.0,,,,57.0,0.0,True
59,668227,Randy Arozarena,SEA,OF,459,79.0,0.5077815426399597,-0.0164,0.5666261810846995,1.98,0.1100809077631354,0.1075864795068277,0.1075864795068277,0.1100809077631354,1.0231853320950928,hetero_v1,0.4923766087984647,0.6408757533709344,100.0,56.7,0.5071578343016413,0.0595,hold,59.7,453.0,74.2,0.2574,0.0763,55.0,-0.5,False
