batter,seasons_used,h1_pa,h2_pa,h1_rate,h2_rate,h2_lift_abs,h2_lift_pct,player_name,team,rank,xfp_rh3_per_game,expected_total_fp_remaining,category
650490,7,1993,1389,0.3487,0.3859,0.0372,10.7,Yandy Díaz,TB,12.0,2.13,241.7,BACK-LOADED
664023,7,1927,1868,0.2372,0.2618,0.0246,10.4,Ian Happ,CHC,107.0,1.77,219.1,BACK-LOADED
543281,5,949,656,0.2392,0.2637,0.0245,10.3,,,,,,BACK-LOADED
670770,4,857,983,0.2987,0.3296,0.0309,10.3,TJ Friedl,CIN,204.0,1.57,176.7,BACK-LOADED
571745,6,1444,1007,0.2348,0.2582,0.0234,10.0,,,,,,BACK-LOADED
606115,6,1334,1155,0.1852,0.2035,0.0183,9.9,,,,,,BACK-LOADED
682998,4,1041,1045,0.317,0.3483,0.0313,9.9,Corbin Carroll,AZ,60.0,1.88,204.9,BACK-LOADED
593428,7,2255,1927,0.3242,0.356,0.0318,9.8,Xander Bogaerts,SD,89.0,1.8,203.2,BACK-LOADED
572191,7,1484,982,0.0984,0.1079,0.0096,9.7,,,,,,BACK-LOADED
573262,6,1460,1454,0.2425,0.2655,0.023,9.5,Mike Yastrzemski,ATL,263.0,1.43,131.9,BACK-LOADED
518626,5,1143,953,0.2695,0.2949,0.0254,9.4,,,,,,BACK-LOADED
608385,6,1734,649,0.3155,0.3451,0.0297,9.4,,,,,,BACK-LOADED
665742,7,2338,2269,0.417,0.4561,0.0391,9.4,Juan Soto,NYM,5.0,2.27,157.3,BACK-LOADED
605137,7,2312,1852,0.3101,0.3386,0.0284,9.2,Josh Bell,MIN,147.0,1.67,190.0,BACK-LOADED
614177,4,771,1001,0.1971,0.2148,0.0176,8.9,,,,,,BACK-LOADED
668942,6,1170,1036,0.1812,0.1969,0.0157,8.7,,,,,,BACK-LOADED
673548,4,1111,1145,0.2673,0.29,0.0226,8.5,Seiya Suzuki,CHC,69.0,1.85,144.0,BACK-LOADED
543807,7,2017,1895,0.3247,0.3515,0.0267,8.2,George Springer,TOR,73.0,1.83,115.8,BACK-LOADED
663886,5,1154,776,0.2227,0.241,0.0183,8.2,Tyler Stephenson,CIN,192.0,1.58,125.3,BACK-LOADED
665489,6,2107,1870,0.3835,0.415,0.0315,8.2,Vladimir Guerrero Jr.,TOR,20.0,2.07,253.6,BACK-LOADED
542303,7,2235,1520,0.2877,0.3112,0.0235,8.2,Marcell Ozuna,PIT,170.0,1.62,164.7,BACK-LOADED
518934,7,1890,1498,0.291,0.3144,0.0234,8.0,,,,,,BACK-LOADED
