pitcher,player_name,cur_n,cur_rate,pct_rank,n_comparable,n_bounce_eval,bounce_pct,median_next_rate,median_delta,unprecedented
571510,"Boyd, Matthew",5,0.7286,60.5,118,113.0,76.1,0.6241,0.16,False
800048,"Messick, Parker",7,0.9916666666666667,100.0,1,,,,,False
672282,"Detmers, Reid",7,0.7891,73.9,51,48.0,64.6,0.6533,0.0733,False
663556,"McClanahan, Shane",6,0.7744,17.4,12,7.0,100.0,0.8708,0.1525,False
671737,"Bradley, Taj",7,0.8398,88.1,59,57.0,63.2,0.6848,0.0671,False
701542,"Warren, Will",7,0.9273,96.9,31,28.0,53.6,0.6906,0.1224,False
690986,"Harrison, Kyle",6,0.9488,100.0,32,27.0,51.9,0.6591,0.0158,False
650633,"King, Michael",7,0.8586,53.4,31,27.0,85.2,0.8299,0.1646,False
657277,"Webb, Logan",6,0.6517,28.5,49,48.0,100.0,0.7966,0.244,False
669022,"Gore, MacKenzie",7,0.7442,65.6,63,60.0,65.0,0.6724,0.0835,False
645261,"Alcantara, Sandy",7,0.6899,47.2,77,77.0,84.4,0.704,0.1733,False
608379,"Wacha, Michael",6,0.7881,72.2,184,181.0,63.5,0.6668,0.0741,False
592662,"Ray, Robbie",7,0.8607,71.1,177,174.0,67.8,0.7889,0.0861,False
676974,"Meyer, Max",7,0.8928,100.0,19,16.0,56.2,0.6487,0.0039,False
676440,"Bibee, Tanner",7,0.6566,28.4,23,22.0,90.9,0.6872,0.1528,False
663554,"Mize, Casey",6,0.8667,95.1,78,74.0,51.4,0.6413,0.0071,False
665795,"Cabrera, Edward",6,0.6922,36.6,30,28.0,85.7,0.7142,0.1346,False
677960,"Weathers, Ryan",7,0.8788,98.0,48,45.0,68.9,0.6911,0.142,False
656605,"Keller, Mitch",7,0.7917,89.2,140,137.0,61.3,0.6283,0.0538,False
663567,"Lambert, Peter",3,0.8333,93.9,31,23.0,69.6,0.3617,0.244,False
669432,"Rogers, Trevor",6,0.5222,28.9,28,28.0,89.3,0.6183,0.3177,False
605400,"Nola, Aaron",6,0.4978,6.1,17,16.0,100.0,0.7421,0.4226,False
607625,"Lugo, Seth",7,0.7875,67.5,79,77.0,68.8,0.6927,0.0976,False
676106,"Hancock, Emerson",7,0.9361,100.0,25,23.0,87.0,0.6607,0.2141,False
624133,"Suarez, Ranger",7,0.8632,73.5,83,82.0,68.3,0.7479,0.1437,False
579328,"Kikuchi, Yusei",7,0.5022,28.2,51,46.0,100.0,0.5992,0.2656,False
592791,"Taillon, Jameson",6,0.649,37.6,82,81.0,91.4,0.7159,0.2074,False
622491,"Castillo, Luis",7,0.2531,1.7,4,4.0,100.0,0.8121,0.6534,False
669358,"Baz, Shane",6,0.52,20.4,10,10.0,100.0,0.6645,0.2549,False
663436,"Martin, Davis",6,0.8706,100.0,39,36.0,75.0,0.6106,0.0801,False
622663,"Severino, Luis",7,0.6446,37.4,67,67.0,83.6,0.671,0.2493,False
694738,"Roupp, Landen",7,0.8542,100.0,20,17.0,76.5,0.7346,0.1594,False
690953,"Abel, Mick",3,0.8647058823529411,100.0,6,,,,,False
607067,"Rea, Colin",4,0.641,64.0,64,60.0,81.7,0.612,0.1446,False
676282,"Cantillo, Joey",7,0.6784,6.7,1,1.0,100.0,0.7881,0.1211,False
605488,"Springs, Jeffrey",7,0.7435,47.5,29,26.0,73.1,0.6819,0.0653,False
680694,"Bradish, Kyle",7,0.3828,9.8,6,6.0,100.0,0.7073,0.4757,False
669194,"Nelson, Ryne",7,0.366,26.4,19,19.0,100.0,0.6333,0.3922,False
605280,"Holmes, Clay",7,0.8812,96.6,28,26.0,57.7,0.6429,0.0638,False
693821,"Elder, Bryce",7,0.8244,81.9,59,58.0,56.9,0.4894,0.025,False
681347,"Burrows, Mike",7,0.4214285714285713,0.0,0,,,,,True
681190,"Vásquez, Randy",6,0.8041,100.0,46,42.0,73.8,0.567,0.0941,False
625643,"López, Reynaldo",5,0.5194,39.5,47,47.0,100.0,0.5935,0.2495,False
702273,"Schultz, Noah",4,0.8499999999999999,,0,,,,,True
656550,"Holmes, Grant",7,0.5821,9.5,2,1.0,100.0,0.7469,0.1979,False
663623,"Irvin, Jake",7,0.6577,71.4,60,57.0,70.2,0.5677,0.1273,False
673540,"Senga, Kodai",5,0.13389830508474565,0.0,0,,,,,True
647336,"Soroka, Michael",6,0.6222,40.6,26,25.0,96.0,0.7129,0.2125,False
687570,"Prielipp, Connor",3,0.8380952380952381,,0,,,,,True
641816,"Mahle, Tyler",7,0.5434,19.3,26,26.0,100.0,0.7727,0.3145,False
702070,"Cameron, Noah",6,0.4511,5.3,1,1.0,100.0,0.6893,0.2419,False
641927,"Ober, Bailey",7,0.6752,32.1,35,33.0,81.8,0.6978,0.2172,False
672456,"Montero, Keider",6,0.79,100.0,23,18.0,88.9,0.6901,0.1088,False
700712,"Ureña, Walbert",3,0.7046511627906976,,0,,,,,True
681293,"Arrighetti, Spencer",4,0.8246,71.9,23,17.0,88.2,0.7233,0.1611,False
696149,"Chandler, Bubba",6,0.5367816091954022,,0,,,,,True
623474,"Herget, Jimmy",3,0.8777777777777778,0.0,0,,,,,True
676917,"Cavalli, Cade",7,0.5137931034482758,100.0,5,,,,,False
607259,"Martinez, Nick",6,0.8727,92.0,92,89.0,71.9,0.6111,0.1074,False
656849,"Peterson, David",5,0.3143,6.3,7,5.0,100.0,0.5757,0.3437,False
656427,"Flaherty, Jack",7,0.4256,4.5,8,8.0,100.0,0.6194,0.3491,False
694297,"Pfaadt, Brandon",3,0.4,27.2,22,20.0,100.0,0.5642,0.4024,False
607536,"Freeland, Kyle",5,0.5667,59.0,134,134.0,76.9,0.5249,0.1253,False
694477,"Patrick, Chad",4,0.8097,75.0,15,9.0,66.7,0.7429,0.03,False
691725,"Painter, Andrew",5,0.461111111111111,,0,,,,,True
669372,"Ginn, J.T.",5,0.6672,66.7,12,8.0,62.5,0.6133,0.0292,False
668678,"Gallen, Zac",7,0.4789,7.1,12,12.0,100.0,0.715,0.2959,False
808963,"Sasaki, Roki",6,0.36744186046511623,0.0,0,,,,,True
543243,"Gray, Sonny",5,0.4731,14.1,40,40.0,97.5,0.66,0.3687,False
669467,"Pallante, Andre",6,0.6213,58.9,33,29.0,51.7,0.3981,0.0509,False
681343,"Smith, Shane",3,-0.3583,3.7,1,1.0,100.0,0.7054,1.1205,False
656492,"Griffin, Foster",7,0.7806722689075628,,0,,,,,True
687075,"Sproat, Brandon",4,0.41578947368421043,0.0,0,,,,,True
650644,"Civale, Aaron",7,0.6981,54.3,70,67.0,73.1,0.6561,0.0716,False
676083,"Junk, Janson",6,0.6979,100.0,18,15.0,86.7,0.6128,0.1837,False
571927,"Matz, Steven",7,0.7036,70.3,116,113.0,77.9,0.6377,0.0775,False
680732,"Burke, Sean",5,0.6316,76.2,16,12.0,91.7,0.5685,0.1388,False
671096,"Abbott, Andrew",7,0.3673,1.4,1,1.0,100.0,0.7515,0.4265,False
669387,"Mlodzinski, Carmen",6,0.5405,58.3,7,4.0,100.0,0.6101,0.2287,False
813349,"Early, Connelly",7,0.6607476635514018,,0,,,,,True
678394,"Bello, Brayan",6,-0.060000000000000046,0.0,0,,,,,True
661563,"Gil, Luis",4,0.3632,6.8,3,3.0,100.0,0.7349,0.6349,False
607200,"Fedde, Erick",4,0.7094,74.3,104,96.0,59.4,0.5183,0.0462,False
547179,"Lorenzen, Michael",7,0.1707,5.3,6,6.0,100.0,0.6172,0.6126,False
695076,"Lowder, Rhett",7,0.5622641509433961,,0,,,,,True
671212,"Boyle, Joe",3,0.6,65.0,13,9.0,88.9,0.5395,0.1089,False
518876,"Kelly, Merrill",4,-0.1962962962962964,0.0,0,,,,,True
593958,"Rodriguez, Eduardo",6,0.6306,42.2,97,96.0,81.2,0.6484,0.1433,False
675989,"Bolton, Cody",3,0.708695652173913,,0,,,,,True
663903,"Singer, Brady",7,0.2789,4.7,7,7.0,100.0,0.6941,0.4541,False
571578,"Corbin, Patrick",5,0.6143,53.8,162,159.0,67.3,0.4485,0.117,False
621121,"McCullers Jr., Lance",6,0.5516,11.9,16,12.0,100.0,0.8075,0.4652,False
669160,"May, Dustin",7,0.3871,3.9,2,1.0,100.0,0.3874,0.0016,False
677944,"Cecconi, Slade",7,0.3056074766355139,0.0,0,,,,,True
527048,"Pérez, Martín",4,0.7667,87.2,211,208.0,55.8,0.4847,0.0374,False
686799,"Kochanowicz, Jack",7,0.729,100.0,28,25.0,24.0,0.3048,-0.0868,False
605135,"Bassitt, Chris",6,0.222,0.5,1,1.0,100.0,0.6222,0.4524,False
680736,"Wrobleski, Justin",5,0.8604166666666666,100.0,4,,,,,False
663978,"Paddack, Chris",6,0.1513,1.9,2,2.0,100.0,0.4976,0.4024,False
663372,"Feltner, Ryan",5,0.3931,20.6,13,13.0,100.0,0.5401,0.349,False
677958,"Rocker, Kumar",6,0.5353,50.0,6,6.0,100.0,0.5854,0.2137,False
682052,"Lopez, Jacob",6,0.2764705882352941,0.0,0,,,,,True
665871,"Assad, Javier",3,0.4617,15.4,8,5.0,100.0,0.5419,0.4944,False
608372,"Sugano, Tomoyuki",6,0.717,72.0,18,13.0,61.5,0.5434,0.0623,False
681517,"Leahy, Kyle",6,0.36744186046511623,,0,,,,,True
641778,"Lauer, Eric",5,0.3769,18.7,23,23.0,100.0,0.6701,0.4563,False
669461,"Liberatore, Matthew",7,0.4619,44.7,21,21.0,100.0,0.6016,0.2819,False
571945,"Mikolas, Miles",4,-0.14489795918367357,0.0,0,,,,,True
605288,"Houser, Adrian",6,0.1449,4.2,5,5.0,100.0,0.6097,0.5087,False
621111,"Buehler, Walker",6,0.5189,19.9,28,24.0,83.3,0.4437,0.2533,False
500779,"Quintana, Jose",5,0.4889,19.9,53,51.0,96.1,0.6672,0.3465,False
676571,"Poulin, PJ",5,0.8894736842105262,,0,,,,,True
663362,"Waldron, Matt",3,-0.04634146341463411,6.451612903225806,2,,,,,False
453286,"Scherzer, Max",5,0.04444444444444435,0.3676470588235294,1,,,,,False
700241,"McGreevy, Michael",7,0.8217,100.0,13,10.0,90.0,0.6635,0.2175,False
641743,"Kay, Anthony",5,0.27910447761194024,0.0,0,,,,,True
680573,"Woods Richardson, Simeon",7,0.10980392156862745,0.0,0,,,,,True
682227,"Williamson, Brandon",6,0.2904761904761904,0.0,0,,,,,True
664299,"Javier, Cristian",3,-0.4,1.1,1,1.0,100.0,0.6714,1.2902,False
641793,"Littell, Zack",5,-0.0857,1.3,1,1.0,100.0,0.7384,0.8453,False
687064,"Young, Brandon",3,0.14651162790697667,0.0,0,,,,,True
592836,"Walker, Taijuan",4,-0.0667,3.2,7,7.0,100.0,0.5857,0.7448,False
608566,"Márquez, Germán",6,0.35,15.9,31,26.0,92.3,0.4917,0.2939,False
