pitcher,player_name,xfp_rp3_per_start,playoff_ros,signal,prior_source
571927,"Matz, Steven",8.684303812023234,61.7,il,rp3_model
434378,"Verlander, Justin",8.68,61.6,il,marcel_il
680732,"Burke, Sean",8.671937162075904,61.6,drop,rp3_model
671096,"Abbott, Andrew",8.624971597658691,61.2,drop,rp3_model
669387,"Mlodzinski, Carmen",8.574345395217039,60.9,drop,rp3_model
813349,"Early, Connelly",8.569774562898615,60.8,drop,rp3_model
670912,"Oviedo, Johan",8.51,60.4,il,marcel_il
678394,"Bello, Brayan",8.463838355575453,60.1,drop,rp3_model
669920,"Alexander, Jason",8.46,60.1,il,marcel_il
544150,"Suárez, Albert",8.45,60.0,il,marcel_il
661563,"Gil, Luis",8.448308054172655,60.0,drop,rp3_model
700249,"Povich, Cade",8.445062514393147,60.0,drop,rp3_model
701581,"Festa, David",8.43,59.9,il,marcel_il
607200,"Fedde, Erick",8.393510616754082,59.6,drop,rp3_model
680802,,8.38434427856722,59.5,drop,rp3_model
547179,"Lorenzen, Michael",8.383775374753347,59.5,drop,rp3_model
695076,"Lowder, Rhett",8.37417124311761,59.5,drop,rp3_model
671212,"Boyle, Joe",8.347528737027115,59.3,il,rp3_model
594902,"Lively, Ben",8.31,59.0,il,marcel_il
806185,"Birdsong, Hayden",8.3,58.9,il,marcel_il
518876,"Kelly, Merrill",8.25775495569492,58.6,drop,rp3_model
593958,"Rodriguez, Eduardo",8.21449831656566,58.3,drop,rp3_model
675989,"Bolton, Cody",8.197108866959962,58.2,drop,rp3_model
670102,"Francis, Bowden",8.19,58.1,il,marcel_il
663903,"Singer, Brady",8.154137716254453,57.9,drop,rp3_model
571578,"Corbin, Patrick",8.130032444595408,57.7,drop,rp3_model
621121,"McCullers Jr., Lance",8.128701142601985,57.7,drop,rp3_model
669160,"May, Dustin",8.127980941416794,57.7,drop,rp3_model
677944,"Cecconi, Slade",8.0923071138975,57.5,drop,rp3_model
527048,"Pérez, Martín",8.065808226089732,57.3,drop,rp3_model
679883,Luinder Avila,8.034725303202828,57.0,drop,rp3_model
680686,"Gray, Josiah",8.02,56.9,il,marcel_il
458681,"Lynn, Lance",7.98,56.7,il,marcel_il
686799,"Kochanowicz, Jack",7.968067280703697,56.6,drop,rp3_model
605135,"Bassitt, Chris",7.966591834074249,56.6,drop,rp3_model
680736,"Wrobleski, Justin",7.95583590047405,56.5,drop,rp3_model
592351,"Gray, Jon",7.93,56.3,il,marcel_il
663978,"Paddack, Chris",7.926020698861299,56.3,drop,rp3_model
656288,"Canning, Griffin",7.89,56.0,il,marcel_il
663372,"Feltner, Ryan",7.817673647127908,55.5,il,rp3_model
676664,"Sears, JP",7.8,55.4,il,marcel_il
542881,"Anderson, Tyler",7.79,55.3,il,marcel_il
679525,"Marsh, Alec",7.79,55.3,il,marcel_il
677958,"Rocker, Kumar",7.784172223566259,55.3,drop,rp3_model
684320,"Rodríguez, Yariel",7.78,55.2,il,marcel_il
656756,"Montgomery, Jordan",7.78,55.2,il,marcel_il
571760,"Heaney, Andrew",7.78,55.2,il,marcel_il
682052,"Lopez, Jacob",7.766422865535604,55.1,drop,rp3_model
656731,"Megill, Tylor",7.74,55.0,il,marcel_il
665871,"Assad, Javier",7.717032958926064,54.8,drop,rp3_model
805673,"Matthews, Zebby",7.71,54.7,il,marcel_il
608372,"Sugano, Tomoyuki",7.694268594421475,54.6,drop,rp3_model
681867,"Criswell, Cooper",7.69,54.6,il,marcel_il
681517,"Leahy, Kyle",7.678867922540832,54.5,drop,rp3_model
641778,"Lauer, Eric",7.648288425287966,54.3,drop,rp3_model
669461,"Liberatore, Matthew",7.595918069948926,53.9,drop,rp3_model
572020,"Paxton, James",7.57,53.7,il,marcel_il
571945,"Mikolas, Miles",7.562274435725941,53.7,drop,rp3_model
605288,"Houser, Adrian",7.562103750150496,53.7,drop,rp3_model
691946,George Klassen,7.56066239791893,53.7,drop,rp3_model
621111,"Buehler, Walker",7.558577840456031,53.7,drop,rp3_model
450203,"Morton, Charlie",7.53,53.5,il,marcel_il
621112,"Blackburn, Paul",7.53,53.5,il,marcel_il
500779,"Quintana, Jose",7.465496545785003,53.0,drop,rp3_model
683155,"Estes, Joey",7.37,52.3,il,marcel_il
593423,"Montas, Frankie",7.36,52.3,il,marcel_il
573186,"Stroman, Marcus",7.33,52.0,il,marcel_il
664062,"Gonsolin, Tony",7.33,52.0,il,marcel_il
687765,"Spence, Mitch",7.28,51.7,il,marcel_il
676571,"Poulin, PJ",7.27933995349063,51.7,drop,rp3_model
663362,"Waldron, Matt",7.218740712176683,51.3,drop,rp3_model
676272,"Miller, Bobby",7.18,51.0,il,marcel_il
453286,"Scherzer, Max",7.099919426594617,50.4,il,rp3_model
688138,"Evans, Logan",7.09,50.3,il,marcel_il
608344,"Irvin, Cole",7.09,50.3,il,marcel_il
700241,"McGreevy, Michael",7.082725731557304,50.3,drop,rp3_model
641743,"Kay, Anthony",6.969719964456743,49.5,drop,rp3_model
671106,"Allen, Logan",6.92,49.1,il,marcel_il
680573,"Woods Richardson, Simeon",6.9121071282184605,49.1,drop,rp3_model
663776,"Sandoval, Patrick",6.91,49.1,il,marcel_il
543294,"Hendricks, Kyle",6.9,49.0,il,marcel_il
543475,"Lyles, Jordan",6.77,48.1,il,marcel_il
663855,"Hicks, Jordan",6.77,48.1,il,marcel_il
668933,"Ashcraft, Graham",6.75,47.9,il,marcel_il
663559,"Falter, Bailey",6.75,47.9,il,marcel_il
682227,"Williamson, Brandon",6.635367266373969,47.1,il,rp3_model
656629,"Kopech, Michael",6.61,46.9,il,marcel_il
592866,"Williams, Trevor",6.6,46.9,il,marcel_il
664299,"Javier, Cristian",6.586840339349117,46.8,il,rp3_model
641793,"Littell, Zack",6.581498391115747,46.7,drop,rp3_model
676467,"Gordon, Colton",6.58,46.7,il,marcel_il
592767,"Smyly, Drew",6.57,46.6,il,marcel_il
425844,"Greinke, Zack",6.56,46.6,il,marcel_il
695418,"Lord, Brad",6.55,46.5,il,marcel_il
687064,"Young, Brandon",6.513273605165154,46.2,drop,rp3_model
680730,"Parker, Mitchell",6.49,46.1,il,marcel_il
663474,"McKenzie, Triston",6.48,46.0,il,marcel_il
686563,"Cannon, Jonathan",6.35,45.1,il,marcel_il
676962,"Brown, Ben",6.26,44.4,il,marcel_il
628317,"Maeda, Kenta",6.13,43.5,il,marcel_il
592836,"Walker, Taijuan",6.044264458962751,42.9,drop,rp3_model
806960,Luis Morales,6.018990432533244,42.7,drop,rp3_model
686610,"Waldichuk, Ken",5.91,42.0,il,marcel_il
608566,"Márquez, Germán",5.865854915433922,41.6,il,rp3_model
687473,"Gusto, Ryan",5.7,40.5,il,marcel_il
448179,"Hill, Rich",5.62,39.9,il,marcel_il
596295,"Gomber, Austin",5.57,39.5,il,marcel_il
548389,"Stripling, Ross",5.4,38.3,il,marcel_il
615698,"Quantrill, Cal",5.26,37.3,il,marcel_il
623167,"Flexen, Chris",5.01,35.6,il,marcel_il
685299,"Gordon, Tanner",4.92,34.9,il,marcel_il
596133,"Weaver, Luke",4.82,34.2,il,marcel_il
471911,"Carrasco, Carlos",4.79,34.0,il,marcel_il
666214,"Wentz, Joey",4.64,32.9,il,marcel_il
570632,"Ureña, José",4.58,32.5,il,marcel_il
641712,"Hudson, Dakota",4.07,28.9,il,marcel_il
682610,"Muñoz, Roddery",3.68,26.1,il,marcel_il
621389,"Blach, Ty",3.28,23.3,il,marcel_il
622608,"Senzatela, Antonio",2.32,16.5,il,marcel_il
425794,"Wainwright, Adam",1.66,11.8,il,marcel_il
687134,"Blalock, Bradley",0.5,3.6,il,marcel_il
