player,role,owner,1H_g,1H_fpg,1H_ops,1H_k,2H_g,2H_fpg,2H_ops,2H_k,d_fpg,kind
Andres Gimenez,SS,FA/EXT,435,1.8827586206896552,0.681,18.02679658952497,287,1.8257839721254356,0.699,19.464944649446494,-0.05697464856421952,H
Dylan Crews,RF,FA/EXT,92,1.673913043478261,0.616,24.585635359116022,81,2.074074074074074,0.706,20.18348623853211,0.400161030595813,H
Kerry Carpenter,RF,FA/EXT,248,1.8306451612903225,0.803,25.20808561236623,199,2.100502512562814,0.81,25.466666666666665,0.26985735127249155,H
Braden Montgomery,RF,FA/EXT,29,1.896551724137931,0.696,20.689655172413794,11,3.0,0.888,17.391304347826086,1.103448275862069,H
Garrett Mitchell,CF,FA/EXT,137,1.5255474452554745,0.77,32.71221532091097,99,1.4747474747474747,0.798,33.77049180327869,-0.05079997050799978,H
Trevor Larnach,LF,FA/EXT,382,1.8115183246073299,0.748,25.225225225225227,148,1.6283783783783783,0.73,25.186567164179106,-0.18313994622895158,H
Cam Smith,RF,FA/EXT,178,1.6797752808988764,0.714,25.43859649122807,62,0.7258064516129032,0.472,27.918781725888326,-0.9539688292859732,H
Colt Emerson,SS,FA/EXT,45,1.2666666666666666,0.671,34.375,10,0.6,0.457,24.324324324324323,-0.6666666666666666,H
Jorge Polanco,DH,FA/EXT,532,2.1973684210526314,0.737,18.306010928961747,526,2.4277566539923954,0.802,20.218082689686508,0.23038823293976396,H
Troy Johnston,RF,FA/EXT,87,1.9770114942528736,0.791,16.878980891719745,51,1.1764705882352942,0.682,20.54794520547945,-0.8005409060175794,H
Masyn Winn,SS,FA/EXT,260,1.9576923076923076,0.693,18.66791744840525,155,1.8,0.636,17.846153846153847,-0.15769230769230758,H
Jorge Soler,DH,FA/EXT,760,1.6986842105263158,0.724,27.95417348608838,374,2.5240641711229945,0.889,24.426450742240217,0.8253799605966787,H
J.P. Crawford,SS,FA/EXT,573,2.0523560209424083,0.73,19.05354919053549,389,1.8123393316195373,0.676,18.56697819314642,-0.240016689322871,H
Jeff McNeil,2B,FA/EXT,536,1.9850746268656716,0.717,12.209589718240236,429,2.571095571095571,0.818,11.461988304093568,0.5860209442298994,H
Kyle Karros,3B,FA/EXT,93,1.946236559139785,0.798,21.05263157894737,51,1.1372549019607843,0.603,24.867724867724867,-0.8089816571790007,H
Javier Sanoja,3B,FA/EXT,147,1.5714285714285714,0.67,11.312217194570136,76,1.7236842105263157,0.693,8.256880733944953,0.1522556390977443,H
Colt Keith,3B,FA/EXT,257,1.7120622568093384,0.723,19.683257918552037,126,1.4761904761904763,0.704,21.603563474387528,-0.23587178061886216,H
Jasson Dominguez,RF,FA/EXT,116,1.8362068965517242,0.735,25.835189309576837,80,1.625,0.67,23.68421052631579,-0.2112068965517242,H
Heriberto Hernandez,LF,FA/EXT,97,1.8556701030927836,0.821,24.600638977635782,68,1.7941176470588236,0.742,28.515625,-0.06155245603395998,H
Nolan Schanuel,1B,FA/EXT,257,2.1478599221789882,0.726,14.232902033271719,138,2.13768115942029,0.732,15.41095890410959,-0.010178762758698223,H
Jake Mangum,CF,FA/EXT,137,1.9927007299270072,0.748,14.492753623188406,67,1.2537313432835822,0.627,18.852459016393443,-0.738969386643425,H
Cooper Pratt,SS,FA/EXT,24,1.9166666666666667,0.684,15.730337078651685,9,2.7777777777777777,0.974,20.0,0.8611111111111109,H
Marcell Ozuna,DH,FA/EXT,1032,2.201550387596899,0.778,22.80864915136015,590,2.316949152542373,0.806,21.859504132231404,0.11539876494547396,H
Andrew Vaughn,1B,FA/EXT,434,2.006912442396313,0.745,19.976498237367803,303,1.900990099009901,0.719,18.5,-0.10592234338641227,H
Joc Pederson,DH,FA/EXT,814,2.018427518427518,0.807,23.023336816440263,607,1.7265238879736409,0.801,24.05391394504925,-0.29190363045387735,H
Lars Nootbaar,LF,FA/EXT,277,1.8772563176895307,0.714,22.058823529411764,293,1.9624573378839592,0.779,18.40077071290944,0.08520102019442843,H
Tristan Peters,CF,FA/EXT,91,1.8571428571428572,0.832,17.818181818181817,15,-0.26666666666666666,0.255,28.30188679245283,-2.123809523809524,H
Jake Cronenworth,2B,FA/EXT,482,2.1493775933609958,0.731,18.61861861861862,300,2.1533333333333333,0.723,17.565359477124183,0.0039557399723375575,H
Ezequiel Tovar,SS,FA/EXT,303,1.603960396039604,0.694,26.251025430680887,209,1.645933014354067,0.692,27.872582480091012,0.04197261831446286,H
Andrew Benintendi,DH,FA/EXT,712,2.283707865168539,0.76,17.88507310438626,515,2.2310679611650484,0.747,17.901234567901234,-0.052639904003490834,H
Lane Thomas,CF,FA/EXT,402,1.6890547263681592,0.711,24.467353951890033,273,2.010989010989011,0.758,26.19270346117867,0.3219342846208517,H
Brett Baty,3B,FA/EXT,283,1.2332155477031803,0.647,25.94871794871795,115,1.4173913043478261,0.675,26.894865525672373,0.1841757566446458,H
Anthony Volpe,SS,FA/EXT,328,1.7682926829268293,0.672,24.072672218016653,196,1.5510204081632653,0.647,26.37215528781794,-0.21727227476356403,H
Joey Ortiz,SS,FA/EXT,268,1.462686567164179,0.643,17.265353418308226,130,1.7769230769230768,0.674,18.655097613882862,0.3142365097588977,H
Kyle Manzardo,1B,FA/EXT,199,1.2964824120603016,0.685,27.83357245337159,94,1.7659574468085106,0.808,27.40963855421687,0.46947503474820906,H
Tyler Stephenson,C,FA/EXT,413,1.6803874092009685,0.744,24.51827242524917,218,1.7064220183486238,0.779,26.116373477672532,0.02603460914765532,H
Luis Rengifo,3B,FA/EXT,425,1.588235294117647,0.65,17.137355584082158,281,2.0427046263345194,0.748,18.77890841813136,0.45446933221687247,H
Zach McKinstry,2B,FA/EXT,360,1.5722222222222222,0.7,21.350210970464136,250,1.176,0.624,23.275862068965516,-0.39622222222222225,H
Joe Mack,C,FA/EXT,53,1.6226415094339623,0.727,23.25581395348837,10,1.4,0.703,36.36363636363637,-0.22264150943396244,H
Cedric Mullins,CF,FA/EXT,515,2.1106796116504856,0.717,20.097087378640776,355,2.084507042253521,0.738,20.704845814977972,-0.02617256939696455,H
Jonah Heim,C,FA/EXT,402,1.8656716417910448,0.709,19.595959595959595,252,1.3928571428571428,0.578,19.213483146067414,-0.47281449893390204,H
Victor Caratini,C,FA/EXT,403,1.620347394540943,0.732,20.437405731523377,351,1.150997150997151,0.645,19.756554307116104,-0.46935024354379196,H
Tim Tawa,LF,FA/EXT,98,1.1224489795918366,0.637,25.36764705882353,27,1.3333333333333333,0.64,27.36842105263158,0.2108843537414966,H
Evan Carter,CF,FA/EXT,165,1.6787878787878787,0.672,23.488773747841105,54,2.185185185185185,0.869,23.728813559322035,0.5063973063973064,H
Vaughn Grissom,2B,FA/EXT,98,1.5612244897959184,0.609,16.847826086956523,63,2.1746031746031744,0.811,20.851063829787233,0.613378684807256,H
Henry Bolte,CF,FA/EXT,54,1.3518518518518519,0.69,27.722772277227723,9,-0.2222222222222222,0.302,32.142857142857146,-1.574074074074074,H
Blaze Jordan,3B,FA/EXT,24,1.6666666666666667,0.608,14.457831325301205,10,1.9,0.56,8.571428571428571,0.23333333333333317,H
Logan O'Hoppe,C,FA/EXT,244,1.5368852459016393,0.714,27.35326688815061,141,0.9858156028368794,0.604,29.981378026070765,-0.5510696430647599,H
Daniel Schneemann,CF,FA/EXT,188,1.2765957446808511,0.669,27.60330578512397,99,0.7070707070707071,0.562,32.1656050955414,-0.5695250376101441,H
Jacob Young,CF,FA/EXT,243,1.4814814814814814,0.62,18.15950920245399,155,1.5935483870967742,0.669,19.140625,0.11206690561529276,H
Rhys Hoskins,1B,FA/EXT,584,2.1695205479452055,0.799,26.159632260760553,347,2.4236311239193085,0.815,24.58100558659218,0.2541105759741029,H
Anthony Seigler,2B,FA/EXT,28,1.7857142857142858,0.711,16.49484536082474,36,0.8333333333333334,0.613,22.580645161290324,-0.9523809523809524,H
Nathaniel Lowe,DH,FA/EXT,519,1.905587668593449,0.746,24.33712121212121,377,2.042440318302387,0.814,24.03204272363151,0.13685264970893818,H
Nathan Lukes,RF,FA/EXT,156,1.5961538461538463,0.751,14.379084967320262,103,1.9320388349514563,0.714,13.927576601671309,0.3358849887976101,H
Nick Loftin,3B,FA/EXT,141,1.6950354609929077,0.655,13.507625272331154,71,1.380281690140845,0.681,16.35514018691589,-0.3147537708520627,H
Masataka Yoshida,DH,FA/EXT,193,2.3678756476683938,0.786,11.812080536912752,181,2.0828729281767955,0.722,13.486370157819225,-0.2850027194915983,H
Dylan Beavers,RF,FA/EXT,43,1.441860465116279,0.669,23.64864864864865,46,1.7608695652173914,0.757,25.0,0.3190091001011124,H
Nathan Church,CF,FA/EXT,77,1.4935064935064934,0.664,21.25984251968504,38,0.6842105263157895,0.44,22.916666666666668,-0.809295967190704,H
Griffin Conine,RF,FA/EXT,50,1.7,0.834,28.395061728395063,45,1.511111111111111,0.782,31.654676258992804,-0.18888888888888888,H
Michael Massey,2B,FA/EXT,244,1.4098360655737705,0.637,18.831942789034564,202,1.8316831683168318,0.73,18.52861035422343,0.42184710274306125,H
Leody Taveras,CF,FA/EXT,352,1.5539772727272727,0.677,23.325262308313157,240,1.3,0.611,24.857468643101484,-0.25397727272727266,H
Isaac Collins,LF,FA/EXT,162,1.5679012345679013,0.727,23.204419889502763,76,1.881578947368421,0.754,22.058823529411764,0.3136777128005197,H
Austin Martin,RF,FA/EXT,131,1.534351145038168,0.693,18.181818181818183,107,1.3831775700934579,0.689,17.99410029498525,-0.15117357494471007,H
Jonny DeLuca,RF,FA/EXT,138,1.3333333333333333,0.653,22.22222222222222,78,1.6538461538461537,0.702,18.65671641791045,0.3205128205128205,H
Tyler Freeman,RF,FA/EXT,232,1.9612068965517242,0.714,12.652068126520682,155,1.3161290322580645,0.583,14.453125,-0.6450778642936597,H
Denzer Guzman,3B,FA/EXT,28,1.7142857142857142,0.718,25.217391304347824,21,0.0,0.469,42.857142857142854,-1.7142857142857142,H
Jared Triolo,SS,FA/EXT,203,1.0344827586206897,0.574,23.691860465116278,156,1.7692307692307692,0.756,25.299145299145298,0.7347480106100794,H
Ben Williamson,2B,FA/EXT,140,1.3285714285714285,0.636,21.68421052631579,22,1.1818181818181819,0.54,11.11111111111111,-0.14675324675324664,H
Taylor Walls,SS,FA/EXT,372,1.2983870967741935,0.603,25.019857029388405,193,0.9948186528497409,0.555,26.767676767676768,-0.3035684439244526,H
Matt Vierling,CF,FA/EXT,308,1.5681818181818181,0.684,20.16965127238454,243,1.522633744855967,0.691,21.187427240977883,-0.04554807332585109,H
