batter_name,batter,pa,confidence,process_plus,decision_plus,contact_plus,power_plus,swing_pct,chase_pct,xwoba_actual,rank_gap,rolling_trend,xwoba_vs_expected,tag
Matt Mclain,680574,595,Tier A,94.2,87.1,94.2,99.7,0.429,0.26,0.362,-0.249,cold,-0.009,surface xwOBA OK; results ahead of process; chasing (low Decision+); Process+ below average
Travis D'Arnaud,518595,233,Tier C,94.6,106.3,88.2,99.0,0.542,0.321,0.362,-0.231,cold,-0.013,surface xwOBA OK; results ahead of process; Process+ below average
Derek Hill,656537,154,Tier C,105.3,94.7,88.2,111.4,0.531,0.372,0.425,-0.228,cold,0.05,surface xwOBA elite (top 25%); results ahead of process; Process+ below average
Jorge Soler,624585,328,Tier B,97.1,98.5,94.0,100.3,0.446,0.258,0.373,-0.228,hot,-0.006,surface xwOBA above avg; results ahead of process; Process+ below average
Daniel Schneemann,682177,431,Tier A,96.5,94.9,96.6,99.3,0.456,0.258,0.369,-0.224,cold,-0.011,surface xwOBA above avg; results ahead of process; Process+ below average
Edouard Julien,666397,222,Tier C,105.3,90.9,93.7,109.7,0.405,0.246,0.422,-0.213,improving,0.042,surface xwOBA elite (top 25%); results ahead of process; chasing (low Decision+); Process+ below average
Ryan Mcmahon,641857,615,Tier A,106.3,104.7,83.5,112.4,0.456,0.253,0.429,-0.208,hot,0.056,surface xwOBA elite (top 25%); results ahead of process; Process+ below average
Sean Murphy,669221,336,Tier B,102.9,103.0,86.0,108.5,0.479,0.263,0.404,-0.201,warm,0.035,surface xwOBA elite (top 25%); results ahead of process; Process+ below average
John Rave,670231,177,Tier C,95.6,88.8,100.3,98.0,0.426,0.241,0.362,-0.199,warm,-0.018,surface xwOBA OK; results ahead of process; chasing (low Decision+); Process+ below average
Otto Kemp,805249,221,Tier C,104.5,108.1,91.6,106.5,0.511,0.317,0.41,-0.188,warm,0.025,surface xwOBA elite (top 25%); results ahead of process; Process+ below average
Michael Conforto,624424,487,Tier A,101.2,106.6,91.6,103.6,0.451,0.249,0.388,-0.185,hot,0.011,surface xwOBA above avg; results ahead of process; Process+ below average
Joey Bart,663698,341,Tier B,99.7,84.9,101.1,102.3,0.403,0.24,0.38,-0.182,cold,0.004,surface xwOBA above avg; results ahead of process; chasing (low Decision+); Process+ below average
Jordan Walker,691023,405,Tier A,97.9,86.9,97.5,101.8,0.495,0.323,0.37,-0.18,cold,0.002,surface xwOBA above avg; results ahead of process; chasing (low Decision+); Process+ below average
Alexander Canario,672744,241,Tier C,105.9,113.5,84.8,109.7,0.534,0.302,0.421,-0.18,cold,0.042,surface xwOBA elite (top 25%); results ahead of process; Process+ below average
Nolan Jones,666134,414,Tier A,98.4,89.4,97.3,101.9,0.465,0.264,0.372,-0.179,cold,0.002,surface xwOBA above avg; results ahead of process; chasing (low Decision+); Process+ below average
Max Muncy,691777,223,Tier C,94.9,93.9,97.2,97.7,0.505,0.318,0.357,-0.177,hot,-0.019,surface xwOBA OK; results ahead of process; chasing (low Decision+); Process+ below average
Luke Raley,670042,236,Tier C,97.2,121.1,86.4,99.3,0.544,0.279,0.367,-0.175,warm,-0.011,surface xwOBA above avg; results ahead of process; Process+ below average
Yoán Moncada,660162,288,Tier B,100.7,96.6,98.6,102.0,0.449,0.247,0.382,-0.17,cold,0.002,surface xwOBA above avg; results ahead of process; Process+ below average
Spencer Torkelson,679529,691,Tier A,104.4,111.1,92.7,105.2,0.448,0.229,0.405,-0.165,hot,0.019,surface xwOBA elite (top 25%); results ahead of process; Process+ below average
Jake Fraley,641584,225,Tier C,95.4,99.4,102.1,94.9,0.472,0.292,0.357,-0.164,warm,-0.034,surface xwOBA OK; results ahead of process; Process+ below average
Christopher Morel,666624,319,Tier B,109.0,122.5,82.5,111.9,0.529,0.288,0.438,-0.164,hot,0.053,surface xwOBA elite (top 25%); results ahead of process; Process+ below average
Jake Bauers,641343,234,Tier C,108.7,100.9,93.8,110.8,0.427,0.23,0.435,-0.162,cold,0.047,surface xwOBA elite (top 25%); results ahead of process; Process+ below average
Willy Adames,642715,692,Tier A,102.8,105.6,93.6,104.4,0.468,0.27,0.395,-0.162,hot,0.015,surface xwOBA above avg; results ahead of process; Process+ below average
Tim Tawa,694374,225,Tier C,97.1,109.5,92.6,98.7,0.484,0.297,0.363,-0.159,warm,-0.014,surface xwOBA above avg; results ahead of process; Process+ below average
Ronny Mauricio,677595,182,Tier C,98.5,76.0,102.2,102.5,0.523,0.365,0.369,-0.153,cold,0.005,surface xwOBA above avg; results ahead of process; chasing (low Decision+); Process+ below average
