batter_name,batter,pa,confidence,process_plus,decision_plus,contact_plus,power_plus,swing_pct,chase_pct,xwoba_actual,rolling_decision_30d,tag
Daniel Schneemann,682177,239,Tier C,91.2,119.7,84.0,95.0,0.488,0.25,0.354,0.10938,Decision+ elite (top 10%)
Brandon Lowe,664040,435,Tier A,117.0,119.1,92.4,115.6,0.552,0.301,0.439,0.08525,Decision+ elite (top 10%); Process+ strong
Blaze Alexander,677942,192,Tier C,86.6,118.7,91.2,87.7,0.51,0.257,0.307,0.10423,Decision+ elite (top 10%)
Dansby Swanson,621020,598,Tier A,104.0,118.6,92.4,103.5,0.488,0.249,0.392,0.12417,Decision+ elite (top 10%)
Mj Melendez,669004,468,Tier A,108.4,117.9,91.0,108.4,0.528,0.261,0.399,0.08198,Decision+ elite (top 10%); Process+ strong
Freddy Fermin,666023,369,Tier B,92.9,117.6,104.8,87.6,0.51,0.305,0.313,0.07496,Decision+ elite (top 10%)
Luis Rengifo,650859,315,Tier B,100.7,117.5,110.0,92.6,0.564,0.322,0.322,0.05051,Decision+ elite (top 10%)
Miguel Amaya,665804,365,Tier B,99.2,117.5,106.6,92.7,0.54,0.31,0.332,0.11803,Decision+ elite (top 10%)
Gabriel Arias,672356,173,Tier C,102.7,116.9,85.6,105.7,0.609,0.338,0.397,0.10182,Decision+ elite (top 10%)
Mauricio Dubón,643289,442,Tier A,98.7,116.9,112.7,89.7,0.597,0.392,0.298,0.08413,Decision+ elite (top 10%)
Gleyber Torres,650402,755,Tier A,100.1,116.6,97.7,97.8,0.45,0.249,0.352,0.06927,Decision+ elite (top 10%)
Heliot Ramos,671218,512,Tier A,112.8,116.4,92.7,112.1,0.502,0.293,0.435,0.08762,Decision+ elite (top 10%); Process+ strong
Cristian Pache,665506,198,Tier C,85.9,116.2,79.9,92.6,0.482,0.27,0.342,0.07101,Decision+ elite (top 10%)
Nelson Velázquez,676369,229,Tier C,102.1,116.1,95.5,100.8,0.465,0.267,0.376,0.08518,Decision+ elite (top 10%)
Austin Riley,663586,472,Tier A,120.1,116.0,95.2,117.9,0.501,0.294,0.463,0.08866,Decision+ elite (top 10%); Process+ strong
Bryce Harper,547180,647,Tier A,117.7,115.9,94.3,116.0,0.526,0.311,0.432,0.05416,Decision+ elite (top 10%); Process+ strong
Travis D'Arnaud,518595,346,Tier B,107.8,115.9,93.0,107.3,0.506,0.303,0.406,0.05745,Decision+ elite (top 10%)
Fernando Tatís,665487,472,Tier A,130.5,115.2,104.1,123.8,0.512,0.302,0.485,0.09839,Decision+ elite (top 10%); Process+ strong
Teoscar Hernández,606192,728,Tier A,117.3,115.1,88.5,118.5,0.507,0.317,0.46,0.06316,Decision+ elite (top 10%); Process+ strong
