batter,player_name,team,primary_position,xfp_rh3_per_pa,expected_total_fp_remaining,playoff_ros,signal
641584,Jake Fraley,TB,OF,0.462832586538158,100.9,30.3,hold
642708,Amed Rosario,NYY,3B,0.5105663684978081,101.1,30.3,hold
694377,Nick Yorke,PIT,3B,0.4373863991430097,100.6,30.2,hold
694728,Brice Matthews,HOU,OF,0.4335620383176612,99.7,29.9,hold
671976,Tristan Peters,CWS,OF,0.4060572404752944,99.5,29.8,drop
664983,Jake McCarthy,COL,OF,0.460212627489121,98.9,29.7,hold
660844,Leo Rivas,SEA,3B,0.3393047738333016,99.1,29.7,drop
663604,Brandon Lockridge,MIL,OF,0.3536300003376318,98.0,29.4,drop
671289,Tyler Freeman,COL,OF,0.480157517840891,98.0,29.4,hold
686780,Pedro Pagés,STL,C,0.4086673500554031,97.7,29.3,drop
643376,Danny Jansen,TEX,C,0.4088338128720079,97.7,29.3,drop
667670,Brent Rooker,ATH,OF,0.4265195755686292,96.8,29.0,hold
641857,Ryan McMahon,NYY,3B,0.3812213292601891,96.8,29.0,drop
681351,Logan O'Hoppe,LAA,C,0.3492529175195999,95.7,28.7,drop
665966,Carlos Narváez,BOS,C,0.439190007463949,95.7,28.7,drop
676356,Jonny DeLuca,TB,OF,0.4519417904350016,95.8,28.7,hold
678391,Jorbit Vivas,WSH,3B,0.3935272648469209,95.2,28.6,drop
682668,Luisangel Acuña,CWS,OF,0.3693813882487138,94.9,28.5,drop
677649,Ezequiel Duran,TEX,OF,0.4107728856175173,93.2,28.0,drop
660688,Keibert Ruiz,WSH,C,0.4787977598574513,93.4,28.0,hold
681715,Heriberto Hernández,MIA,OF,0.4290685402805572,93.5,28.0,hold
602104,Ramón Urías,STL,3B,0.4617316986221278,92.8,27.8,hold
700337,Edgar Quero,CWS,C,0.3550991236612951,92.3,27.7,drop
672761,Wenceel Pérez,DET,OF,0.5104124967652502,91.9,27.6,hold
672820,Lenyn Sosa,TOR,2B,0.4047399589465638,91.9,27.6,drop
807799,Masataka Yoshida,BOS,OF,0.5088421045260797,91.6,27.5,hold
808975,Hyeseong Kim,LAD,SS,0.4526607137497365,91.0,27.3,hold
687363,Victor Scott II,STL,OF,0.3058969226529977,89.3,26.8,drop
592663,J.T. Realmuto,PHI,C,0.4425294709715213,88.9,26.7,drop
690976,Alex Freeland,LAD,2B,0.3240348249077404,88.8,26.6,drop
664034,Ty France,SD,1B,0.5360339959564834,88.4,26.5,hold
803011,Sam Antonacci,CWS,OF,0.4806111007033513,88.0,26.4,hold
664702,Myles Straw,TOR,OF,0.5005386898375824,87.1,26.1,hold
592206,Nick Castellanos,SD,OF,0.4502920479765302,86.5,26.0,hold
