pid,year,n,sup_z,split,p,abs_i,abs_gap,sig
615698,2022,32,1.6132176865487176,16,0.35910224438902744,,0,False
615698,2023,19,1.001967250437305,14,0.6109725685785536,13,58,False
615698,2024,29,1.728409674380728,6,0.6408977556109726,,0,False
615698,2025,26,2.726846587815758,21,0.12219451371571072,,0,False
621076,2021,21,1.516817250162962,13,0.4912718204488778,,0,False
621076,2022,26,1.3043589214031812,13,0.770573566084788,,0,False
621107,2018,24,0.9980848668139494,11,0.9077306733167082,,0,False
621107,2019,28,1.881734859917325,14,0.47381546134663344,,0,False
621107,2021,18,1.7011365472537534,12,0.32169576059850374,,0,False
621107,2023,31,1.7954103653992832,24,0.6109725685785536,,0,False
621107,2024,28,1.1398778767694544,12,0.8054862842892768,,0,False
621111,2018,23,1.0314118533188479,14,0.8104738154613467,9,35,False
621111,2019,30,2.4158724397857263,6,0.341645885286783,,0,False
621111,2021,33,1.4828874764415003,26,0.7506234413965087,,0,False
621111,2024,16,1.3434077033929983,5,0.6683291770573566,8,57,False
621111,2025,24,2.749250888608669,11,0.032418952618453865,,0,False
621111,2026,26,1.2519498569471925,17,0.5860349127182045,,0,False
621112,2022,21,1.116729472680073,6,0.6583541147132169,,0,False
621112,2023,20,0.9503134837587709,6,0.7581047381546134,,0,False
621121,2017,22,2.566586857506126,15,0.057356608478802994,,0,False
621121,2018,22,1.6968224636990454,14,0.7905236907730673,,0,False
621121,2021,28,0.8974050816695996,18,0.8054862842892768,,0,False
621219,2021,20,2.037940838287324,7,0.38403990024937656,,0,False
621244,2017,25,1.3187714686156828,17,0.8478802992518704,,0,False
621244,2018,32,1.4370181872831613,27,0.85785536159601,,0,False
621244,2019,32,1.519177665467683,20,0.7406483790523691,,0,False
621244,2021,32,1.9485119386246246,6,0.6334164588528678,,0,False
621244,2022,32,1.7511452013558413,8,0.8329177057356608,,0,False
621244,2023,32,2.0364285374277467,27,0.27680798004987534,,0,False
621244,2024,32,1.5369516274584047,22,0.6758104738154613,,0,False
621244,2025,30,1.5399706630504153,13,0.7306733167082294,,0,False
621366,2018,17,1.7293124527451904,12,0.4463840399002494,,0,False
621381,2019,16,1.6097169888944773,9,0.4139650872817955,,0,False
621389,2017,24,1.5048116929581694,19,0.5536159600997507,,0,False
622065,2019,15,1.7690562474485507,10,0.4688279301745636,,0,False
622072,2017,25,3.824576247713762,13,0.03740648379052369,,0,False
622072,2018,27,1.029593626295342,11,0.7456359102244389,,0,False
622072,2021,26,1.2301088591993663,20,0.6882793017456359,,0,False
622072,2022,26,0.7852664529122003,14,0.9077306733167082,,0,False
622491,2017,15,2.305731015262318,10,0.0798004987531172,,0,False
622491,2018,31,1.4947724367908857,6,0.7581047381546134,,0,False
622491,2019,32,1.3731505511368496,5,0.7605985037406484,,0,False
622491,2021,33,2.700999732317493,8,0.059850374064837904,,0,False
622491,2022,25,1.7341308517621599,9,0.44389027431421446,,0,False
622491,2023,33,1.3318847968196657,13,0.8154613466334164,,0,False
622491,2024,30,1.923049161553673,9,0.28428927680798005,,0,False
622491,2025,32,1.6951288263824382,17,0.24438902743142144,,0,False
622491,2026,21,1.4984398614464032,11,0.6408977556109726,,0,False
622608,2017,20,1.432610278434212,7,0.5810473815461347,15,26,False
622608,2019,25,1.5850282695932842,20,0.4114713216957606,18,36,False
622608,2021,28,1.371648839996948,11,0.5211970074812967,17,29,False
622608,2022,19,2.792513211253912,6,0.057356608478802994,,0,False
622608,2025,23,1.322545573233281,5,0.4912718204488778,,0,False
622663,2017,31,1.3835070900883144,19,0.6533665835411472,,0,False
622663,2018,32,1.5875481420720305,15,0.5112219451371571,,0,False
622663,2022,19,1.4834664778811524,13,0.5112219451371571,,0,False
622663,2023,18,1.1012903007000105,10,0.6134663341645885,,0,False
622663,2024,31,2.8024142971894084,18,0.08728179551122195,,0,False
622663,2025,29,2.586388368435324,19,0.16957605985037408,24,28,False
622694,2019,15,1.2335501937374131,5,0.5860349127182045,,0,False
623167,2021,31,1.3839431855010929,8,0.8653366583541147,,0,False
623167,2022,22,1.2206294725713949,16,0.7256857855361596,,0,False
623167,2023,16,1.3274274258172913,10,0.6084788029925187,,0,False
623167,2024,30,2.5652112496143884,25,0.09975062344139651,,0,False
624133,2022,29,1.5594794335269775,5,0.29177057356608477,,0,False
624133,2023,22,1.1996356204334553,16,0.7306733167082294,,0,False
624133,2024,27,2.830394633725573,12,0.0773067331670823,20,33,False
624133,2025,26,1.4094778517484892,18,0.8728179551122195,,0,False
624133,2026,23,2.5853000403413513,18,0.14962593516209477,,0,False
624522,2022,17,2.121412055671181,11,0.4389027431421446,,0,False
625643,2018,32,3.581423551390356,24,0.0399002493765586,,0,False
625643,2019,33,2.062743214731953,7,0.6458852867830424,,0,False
625643,2024,25,3.1286073071175267,19,0.017456359102244388,,0,False
628317,2017,25,2.0871647915566425,17,0.1371571072319202,,0,False
628317,2018,20,1.512211989693627,16,0.7456359102244389,,0,False
628317,2019,26,1.966176077254026,6,0.20947630922693267,,0,False
628317,2021,21,2.215371002982611,12,0.29925187032418954,,0,False
628317,2023,20,1.4881404031741272,15,0.7655860349127181,,0,False
628317,2024,17,0.8050856602869224,8,0.770573566084788,,0,False
628711,2021,32,1.3873198203785106,16,0.8229426433915212,,0,False
628711,2022,31,2.16980412556838,9,0.17955112219451372,,0,False
628711,2023,21,1.4313905458247769,17,0.7805486284289277,10,44,False
630023,2019,18,0.7879753912704606,9,0.9027431421446384,,0,False
640444,2021,25,1.185173353097216,13,0.8703241895261845,,0,False
640455,2017,29,3.7174331587622658,13,0.012468827930174564,,0,False
640455,2018,27,2.7635094292215086,7,0.06733167082294264,,0,False
640455,2021,32,1.4591794170431496,14,0.7655860349127181,,0,False
640455,2022,28,2.036371810269167,7,0.19451371571072318,,0,False
640455,2024,32,1.7744744314614387,20,0.6633416458852868,,0,False
640470,2021,21,1.5764872111816142,6,0.18703241895261846,,0,False
641154,2019,21,2.561778606842077,13,0.059850374064837904,14,72,False
641154,2021,20,2.4406167085500727,11,0.08229426433915212,,0,False
641154,2022,32,1.6125474890776543,7,0.5985037406483791,,0,False
641154,2023,32,0.8876691420232445,18,0.9501246882793017,,0,False
641154,2024,32,2.0460627894060703,8,0.5261845386533666,,0,False
641302,2021,15,0.626656808350845,7,0.7531172069825436,,0,False
641302,2022,17,1.506357162042062,12,0.35910224438902744,,0,False
641312,2019,16,1.1878723664720798,10,0.8154613466334164,,0,False
641482,2021,14,2.024737525362765,8,0.12219451371571072,,0,False
641482,2022,28,2.0801980479646938,6,0.5261845386533666,,0,False
641482,2024,30,0.8407505223793017,24,0.9900249376558603,,0,False
641540,2021,25,2.3386452067780246,17,0.09725685785536159,,0,False
641540,2022,29,1.8249297727907323,11,0.2194513715710723,,0,False
641540,2023,26,3.2458525877893476,15,0.03740648379052369,,0,False
641540,2024,15,1.1792978260371576,6,0.5935162094763092,,0,False
641585,2023,23,1.6174545459517318,5,0.4613466334164589,,0,False
641712,2019,32,1.5643090895180591,14,0.770573566084788,,0,False
641712,2022,26,1.3149030741293097,5,0.5660847880299252,,0,False
641712,2024,18,0.6503510267229385,5,0.9301745635910225,,0,False
641743,2026,25,0.6066532931556852,20,0.9950124688279302,,0,False
641745,2018,20,1.6912236696312035,8,0.5586034912718204,,0,False
641745,2019,28,1.3816886357884588,19,0.628428927680798,,0,False
641745,2021,26,1.9774715400499876,17,0.24189526184538654,,0,False
641745,2022,22,1.5291521334140605,10,0.4763092269326683,,0,False
641771,2017,31,1.7277458351965949,21,0.1172069825436409,,0,False
641771,2018,16,0.7335943643216883,6,0.8553615960099751,,0,False
641771,2022,27,1.459918528563471,6,0.6309226932668329,,0,False
641778,2018,23,1.3111567598446079,14,0.6807980049875312,18,31,False
641778,2019,29,2.7335655331194464,22,0.0798004987531172,,0,False
641778,2021,20,1.4251612014036952,15,0.5336658354114713,,0,False
641778,2022,29,3.6480564810094664,6,0.06234413965087282,,0,False
641778,2025,15,1.8374249581307183,9,0.1396508728179551,,0,False
641778,2026,17,1.2894305216778774,12,0.8129675810473815,,0,False
641793,2024,29,1.534267749444809,11,0.5311720698254364,,0,False
641793,2025,32,1.0667568182607634,9,0.8029925187032418,,0,False
641793,2026,14,1.1187879068256774,9,0.5261845386533666,,0,False
641816,2018,23,1.8942070556667776,6,0.5610972568578554,,0,False
641816,2019,25,1.9169016731752349,17,0.41895261845386533,19,44,False
641816,2021,33,1.8504981127428335,5,0.3915211970074813,,0,False
641816,2022,23,1.4052592850936088,14,0.5885286783042394,,0,False
641816,2025,16,1.7257783033628722,5,0.4114713216957606,,0,False
641816,2026,22,1.3646066206822929,17,0.5236907730673317,11,29,False
641927,2021,20,0.613812207770775,14,0.9326683291770573,,0,False
641927,2023,26,1.3805073507588572,18,0.6234413965087282,,0,False
641927,2024,31,1.5780334680057937,13,0.7281795511221946,,0,False
641927,2025,27,1.039835828355419,14,0.8753117206982544,17,35,False
641927,2026,20,1.7844617789358017,5,0.5835411471321695,12,40,False
642098,2019,23,0.9826302885173904,9,0.9052369077306733,,0,False
642232,2021,21,1.8200731938463528,16,0.24189526184538654,,0,False
642545,2018,26,0.9090011418230479,11,0.8952618453865336,,0,False
642547,2018,14,2.145588027890896,5,0.15211970074812967,,0,False
