mlbam_id,player_name,team,proj_ros_gs_per_teamgame,naive_pace,proj_ros_starts,team_games_remaining_implied,volume_percentile,gs_to,team_games_to,gs_per_teamgame_to,gs_last21,fp_per_start_to,prior1_gs_per_g,career_stage,is_on_il_at_split,days_since_il_return_imp,il_stints_to,split_day
702070,"Cameron, Noah",KC,0.155,0.1783,5.1,33.0,70.6,23,129.0,0.1783,3.0,10.9478,0.1481,1.0,0.0,170.0,0.0,148
690997,"McLean, Nolan",NYM,0.1547,0.1953,5.3,34.0,70.3,25,128.0,0.1953,3.0,13.108,0.0,0.0,0.0,170.0,0.0,148
622491,"Castillo, Luis",SEA,0.1544,0.1562,5.2,34.0,69.9,20,128.0,0.1562,3.0,7.47,0.1975,9.0,0.0,170.0,0.0,148
677958,"Rocker, Kumar",TEX,0.1543,0.1719,5.2,34.0,69.6,22,128.0,0.1719,4.0,8.0091,0.0864,1.0,0.0,170.0,0.0,148
663372,"Feltner, Ryan",COL,0.1543,0.1496,5.4,35.0,69.2,19,127.0,0.1496,4.0,5.6947,0.0,4.0,0.0,83.0,1.0,148
669160,"May, Dustin",STL,0.1536,0.1783,5.1,33.0,68.9,23,129.0,0.1783,3.0,10.5696,0.142,6.0,0.0,170.0,0.0,148
675512,"Melton, Troy",,0.1534,0.1102,5.4,35.0,68.5,14,127.0,0.1102,3.0,16.5071,0.0,0.0,0.0,170.0,0.0,148
641743,"Kay, Anthony",CWS,0.1532,0.189,5.4,35.0,68.2,24,127.0,0.189,4.0,8.6875,0.0,0.0,0.0,170.0,0.0,148
805673,"Matthews, Zebby",MIN,0.1529,0.1328,5.2,34.0,67.8,17,128.0,0.1328,4.0,9.0353,0.0988,1.0,0.0,170.0,0.0,148
615698,"Quantrill, Cal",TEX,0.152,0.0703,5.2,34.0,67.5,9,128.0,0.0703,3.0,11.3667,0.1605,7.0,0.0,170.0,0.0,148
676282,"Cantillo, Joey",CLE,0.1502,0.2031,5.1,34.0,67.1,26,128.0,0.2031,3.0,9.4885,0.0802,1.0,0.0,170.0,0.0,148
693855,"Seymour, Ian",TB,0.1481,0.0866,5.2,35.0,66.8,11,127.0,0.0866,4.0,11.5818,0.0,0.0,0.0,170.0,0.0,148
640455,"Manaea, Sean",NYM,0.1479,0.0938,5.0,34.0,66.4,12,128.0,0.0938,3.0,10.2333,0.0741,10.0,0.0,170.0,0.0,148
695611,"Jump, Gage",,0.1469,0.126,5.1,35.0,66.1,16,127.0,0.126,4.0,9.3812,0.0,0.0,0.0,170.0,0.0,148
804267,"Thornton, Zach",NYM,0.1462,0.0703,5.0,34.0,65.7,9,128.0,0.0703,4.0,11.6444,0.0,0.0,0.0,170.0,0.0,148
688107,"Gasser, Robert",MIL,0.1458,0.1172,5.0,34.0,65.4,15,128.0,0.1172,4.0,9.4,0.0,0.0,0.0,170.0,0.0,148
680570,"Rodriguez, Grayson",LAA,0.1448,0.1094,4.9,34.0,65.0,14,128.0,0.1094,4.0,5.8286,0.0,3.0,0.0,42.0,1.0,148
674841,"Alvarez, Andrew",WSH,0.1446,0.0853,4.8,33.0,64.7,11,129.0,0.0853,4.0,10.4273,0.0,0.0,0.0,170.0,0.0,148
669456,"Bieber, Shane",,0.1441,0.0787,5.0,35.0,64.3,10,127.0,0.0787,4.0,10.54,0.0,8.0,0.0,170.0,0.0,148
663436,"Martin, Davis",CWS,0.1441,0.189,5.0,35.0,64.0,24,127.0,0.189,3.0,9.7542,0.1543,2.0,1.0,0.0,1.0,148
605483,"Snell, Blake",LAD,0.1438,0.0234,4.9,34.0,63.6,3,128.0,0.0234,2.0,12.8333,0.0679,10.0,0.0,10.0,1.0,148
