player_name,team,side,signal,is_new,severity,season_pace,recent_pace,events_last21,unit,proj_vol,naive_pace,model_gap
Victor Mederos,ATL,RP,ROLE_GAIN,False,0.15,0.1298,0.3684210526315789,7.0,G,0.2794,0.1298,0.14959999999999998
Cam Booser,TB,RP,ROLE_GAIN,False,0.148,0.2308,0.47368421052631576,9.0,G,0.3787,0.2308,0.14789999999999998
Drew Rom,ATH,RP,ROLE_GAIN,False,0.148,0.084,0.3157894736842105,6.0,G,0.2318,0.084,0.1478
Luis Gastelum,STL,RP,ROLE_GAIN,False,0.145,0.1439,0.42105263157894735,8.0,G,0.2885,0.1439,0.14459999999999998
Nate Pearson,KC,RP,ROLE_GAIN,False,0.145,0.2197,0.5555555555555556,10.0,G,0.3648,0.2197,0.1451
Cam Sanders,BAL,RP,ROLE_GAIN,False,0.144,0.1374,0.3684210526315789,7.0,G,0.2818,0.1374,0.1444
Jonathan Pintaro,NYM,RP,ROLE_GAIN,False,0.143,0.084,0.2777777777777778,5.0,G,0.2266,0.084,0.1426
Yovanny Cruz,WSH,RP,ROLE_GAIN,False,0.139,0.0758,0.3157894736842105,6.0,G,0.2148,0.0758,0.13899999999999998
Ty Madden,DET,RP,ROLE_GAIN,False,0.139,0.1154,0.3333333333333333,6.0,G,0.2543,0.1154,0.13890000000000002
Yerry De los Santos,NYY,RP,ROLE_GAIN,False,0.138,0.0846,0.3333333333333333,6.0,G,0.2228,0.0846,0.1382
Tom Cosgrove,WSH,RP,ROLE_GAIN,False,0.125,0.1136,0.3684210526315789,7.0,G,0.2382,0.1136,0.12459999999999999
Carson Seymour,SF,RP,ROLE_GAIN,False,0.123,0.0615,0.3333333333333333,6.0,G,0.1843,0.0615,0.12279999999999999
Max Kranick,WSH,RP,ROLE_GAIN,False,0.123,0.0985,0.3684210526315789,7.0,G,0.2212,0.0985,0.1227
Julian Garcia,CIN,RP,ROLE_GAIN,False,0.114,0.1679,0.3684210526315789,7.0,G,0.2819,0.1679,0.11399999999999999
