owner,name,team,own,per_start,stuff,src,vol,inj,ret,xfp_ros,xfp_po
FA,Martin Perez,Atl,9.2,9.13,86.0,Stuff+·vol,0.169,,,37.0,23.0
FA,Clayton Kershaw,FA,0.1,9.94,,talent_prior·flat↓,,,,37.0,22.0
FA,Zebby Matthews,Min,8.4,10.42,95.0,Stuff+·vol,0.141,,,36.0,22.0
FA,Kumar Rocker,Tex,5.5,10.29,91.0,Stuff+·vol,0.142,,,36.0,22.0
FA,Hayden Wesneski,Hou,4.8,10.64,94.0,Stuff+·vol,0.141,,,36.0,23.0
FA,Cristian Javier,Hou,2.6,10.84,98.0,Stuff+·vol,0.131,,,35.0,22.0
FA,David Peterson,ChC,5.9,9.97,89.0,Stuff+·vol,0.146,,,35.0,22.0
FA,Zac Thornton,NYM,9.8,10.81,97.0,Stuff+·vol,0.135,,,35.0,22.0
FA,Ryan Bergert,KC,0.0,9.08,,talent_prior·flat↓,,,,34.0,21.0
FA,Julio Urias,FA,0.0,9.4,,talent_prior·flat↓,,,,34.0,22.0
FA,Wade Miley,FA,0.0,9.16,,talent_prior·flat↓,,,,34.0,21.0
FA,Cade Povich,Bal,0.5,11.11,101.0,Stuff+·vol,0.124,,,34.0,21.0
FA,Spencer Arrighetti,Tor,11.7,11.26,100.0,Stuff+·vol,0.124,,,34.0,21.0
FA,Chris Bassitt,Bal,2.9,9.99,96.0,Stuff+·vol,0.135,,,33.0,20.0
FA,Michael McGreevy,StL,17.9,8.02,81.0,Stuff+·vol,0.167,,,33.0,20.0
FA,Blade Tidwell,SF,0.8,9.6,,rp3_dd·vol,0.14,,,33.0,20.0
FA,George Klassen,LAA,13.9,11.04,98.0,Stuff+·vol,0.118,,,32.0,20.0
FA,Ryan Feltner,Col,0.6,9.36,92.0,Stuff+·vol,0.142,,,32.0,20.0
FA,J.P. France,Hou,0.0,8.81,,talent_prior·flat↓,,,,32.0,20.0
FA,Kyle Gibson,FA,0.0,8.71,,talent_prior·flat↓,,,,32.0,20.0
FA,Cody Bradford,Tex,2.3,9.44,,rp3_dd·vol,0.138,,,32.0,20.0
FA,Emmet Sheehan,LAD,39.1,12.27,100.0,Stuff+·vol,0.108,,,32.0,20.0
FA,Merrill Kelly,Ari,20.5,8.72,89.0,Stuff+·vol,0.149,,,32.0,20.0
FA,Yusei Kikuchi,LAA,7.2,11.03,98.0,Stuff+·vol,0.118,,,32.0,20.0
FA,Rhett Lowder,Cin,2.8,8.57,86.0,Stuff+·vol,0.15,,,31.0,19.0
FA,Randy Dobnak,KC,3.8,8.79,82.0,Stuff+·vol,0.144,,,31.0,19.0
FA,Brandon Sproat,Mil,1.7,11.63,100.0,Stuff+·vol,0.11,,,31.0,19.0
FA,Lance Lynn,FA,0.0,7.98,,talent_prior·flat↓,,,,30.0,18.0
FA,Ben Lively,Cle,0.0,8.3,,talent_prior·flat↓,,,,30.0,19.0
FA,Tyler Anderson,LAA,0.1,7.79,,talent_prior·flat↓,,,,29.0,18.0
FA,Jeffrey Springs,Oak,7.9,10.02,97.0,Stuff+·vol,0.12,,,29.0,18.0
FA,Andrew Heaney,FA,0.0,7.78,,talent_prior·flat↓,,,,29.0,18.0
FA,Jordan Montgomery,Tex,0.1,7.78,,talent_prior·flat↓,,,,29.0,18.0
FA,Max Scherzer,Tor,2.6,8.96,94.0,Stuff+·vol,0.131,,,29.0,18.0
FA,Tomoyuki Sugano,Col,4.0,7.33,82.0,Stuff+·vol,0.163,,,29.0,18.0
FA,Gabriel Hughes,Col,0.3,8.51,85.0,Stuff+·vol,0.137,,,28.0,18.0
FA,Charlie Morton,FA,0.1,7.53,,talent_prior·flat↓,,,,28.0,18.0
FA,Colin Rea,ChC,2.9,9.92,93.0,Stuff+·vol,0.117,,,28.0,18.0
FA,Eric Lauer,LAD,4.5,8.49,89.0,Stuff+·vol,0.137,,,28.0,18.0
FA,Joey Estes,Oak,0.0,7.37,,talent_prior·flat↓,,,,27.0,17.0
FA,Marcus Stroman,FA,0.1,7.33,,talent_prior·flat↓,,,,27.0,17.0
FA,Davis Martin,ChW,33.2,10.02,90.0,Stuff+·vol,0.145,FIFTEEN_DAY_DL,2026-08-30,27.0,17.0
FA,Michael Lorenzen,FA,0.4,8.11,87.0,Stuff+·vol,0.14,,,27.0,17.0
FA,Andre Pallante,StL,15.0,11.07,97.0,Stuff+·vol,0.152,FIFTEEN_DAY_DL,2026-09-02,27.0,17.0
FA,Kyle Hendricks,FA,0.0,6.9,,talent_prior·flat↓,,,,26.0,16.0
FA,Logan Allen,Cle,0.2,6.92,,talent_prior·flat↓,,,,26.0,16.0
FA,Cole Irvin,LAD,0.0,7.08,,talent_prior·flat↓,,,,26.0,16.0
FA,Robert Stock,NYM,0.3,9.51,,rp3_dd·vol,0.112,,,26.0,16.0
FA,Gavin Stone,LAD,0.2,10.35,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-01,26.0,17.0
FA,Mitch Bratt,Ari,1.7,7.82,89.0,Stuff+·vol,0.133,,,25.0,16.0
FA,Chad Patrick,Mil,4.7,10.71,,rp3_dd·vol,0.097,,,25.0,16.0
FA,Tatsuya Imai,Hou,14.5,10.12,87.0,Stuff+·vol,0.1,,,25.0,15.0
FA,Carson Whisenhunt,SF,0.7,9.28,94.0,Stuff+·vol,0.107,,,24.0,15.0
FA,Colton Gordon,Hou,0.0,6.58,,talent_prior·flat↓,,,,24.0,15.0
FA,Cooper Criswell,Sea,0.1,7.68,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-08-28,24.0,15.0
FA,Lance McCullers Jr.,FA,1.7,10.94,97.0,Stuff+·vol,0.091,,,24.0,15.0
FA,Trevor Williams,Wsh,0.1,6.6,,talent_prior·flat↓,,,,24.0,15.0
FA,JP Sears,SD,0.4,9.55,91.0,Stuff+·vol,0.104,,,24.0,15.0
FA,Jackson Jobe,Det,9.6,8.38,,rp3_dd·vol,0.119,,,24.0,15.0
FA,Aaron Civale,ChC,1.5,9.03,,rp3_dd·vol,0.107,,,24.0,15.0
FA,Ronel Blanco,Hou,0.5,9.78,,rp3_dd·vol,0.097,,,23.0,14.0
FA,Noah Schultz,ChW,2.1,10.35,97.0,Stuff+·vol,0.093,,,23.0,15.0
FA,Griffin Canning,SD,0.3,9.65,,rp3_dd·vol,0.098,,,23.0,14.0
FA,Jonathan Cannon,ChW,0.0,6.35,,talent_prior·flat↓,,,,23.0,14.0
FA,Adrian Houser,SF,1.5,8.9,,rp3_dd·vol,0.108,,,23.0,15.0
FA,Jack Leiter,Tex,10.9,12.02,102.0,Stuff+·vol,0.102,SIXTY_DAY_DL,2026-08-30,23.0,14.0
FA,Javier Assad,ChC,2.0,8.02,,rp3_dd·vol,0.117,,,23.0,14.0
FA,Jameson Taillon,Tor,2.4,9.98,92.0,Stuff+·vol,0.13,FIFTEEN_DAY_DL,2026-08-31,23.0,15.0
FA,Ryne Nelson,Ari,3.4,11.37,106.0,Stuff+·vol,0.114,SIXTY_DAY_DL,2026-09-01,22.0,14.0
FA,Joe Boyle,TB,0.4,9.55,,rp3_dd·vol,0.093,,,22.0,14.0
FA,Kenta Maeda,FA,0.0,6.13,,talent_prior·flat↓,,,,22.0,14.0
FA,Jackson Kent,Wsh,0.4,8.35,,rp3_dd·vol,0.11,,,22.0,14.0
FA,Rich Hill,FA,0.0,5.62,,talent_prior·flat↓,,,,21.0,13.0
FA,Erick Fedde,ChW,1.1,7.65,,rp3_dd·vol,0.112,,,21.0,13.0
FA,Kodai Senga,NYM,10.3,10.46,,rp3_dd·vol,0.084,,,21.0,13.0
FA,Quinn Mathews,StL,1.3,8.93,,rp3_dd·vol,0.096,,,21.0,13.0
FA,Luis Gil,NYY,0.9,8.17,,rp3_dd·vol,0.104,,,21.0,13.0
FA,Austin Gomber,Tex,0.0,5.57,,talent_prior·flat↓,,,,21.0,13.0
