pitcher,player_name,pitches,plv,plv_std,plv_raw,swing_pct,whiff_pct,cs_pct,xwoba_model,contact_pct,plv_pctile,primary_position,pitcher_role,avg_pitches_per_game,rolling_plv_30d,plv_blended,est_k_per_ip,est_bb_per_ip,est_h_per_ip,est_er_per_ip,est_hb_per_ip,fp_per_ip,fp_per_start,fp_per_app,sv_upside,hd_upside,est_sv_per_162,est_hd_per_162,sv_hd_fp_per_162,pl_plv,pl_pla,signal,profile_flag,sample_tier
518886,Craig Kimbrel,496,5.475,1.33,-0.038,0.468,0.389,0.452,0.339,0.611,97.7,P,RP,17.714285714285715,5.42,5.458499999999999,1.1170983876685303,0.368459999489464,0.6932609178045008,0.3754926770613259,0.033,2.5714,,2.57,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,,,Top Target,"Bat-Miss Elite, Closer Value",Strong
547973,Aroldis Chapman,505,5.422,1.321,-0.04,0.51,0.35,0.494,0.335,0.65,96.3,P,RP,15.303030303030305,5.443,5.428299999999999,1.0820325693896935,0.2874053785724323,0.736339169238472,0.378268771922176,0.033,2.5688,,2.57,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,,,Top Target,"Bat-Miss Elite, Closer Value",Strong
642207,Devin Williams,624,5.443,1.314,-0.04,0.495,0.387,0.444,0.329,0.613,97.1,P,RP,17.333333333333332,5.435,5.440599999999999,1.106530848315045,0.385816633012746,0.6914873662716916,0.3698556254124625,0.033,2.5565,,2.56,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,5.258165262537725,2.4818729574698777,Top Target,"Bat-Miss Elite, Closer Value",Strong
674444,Steven Cruz,528,5.429,1.363,-0.04,0.503,0.33,0.528,0.34,0.67,96.4,P,RP,17.032258064516128,5.328,5.3987,1.0564813067867846,0.2222074713559829,0.7679119553362095,0.3895049103035191,0.033,2.5544,,2.55,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,,,Top Target,"Bat-Miss Elite, Closer Value",Strong
681870,Erik Sabrowski,513,5.485,1.293,-0.038,0.472,0.369,0.479,0.349,0.631,98.0,P,RP,14.25,5.343,5.4424,1.0987872573787498,0.3160847459664563,0.7255499503117573,0.388553822794106,0.033,2.547,,2.55,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,5.1879106157343,2.6677400348561964,Top Target,"Bat-Miss Elite, Closer Value",Strong
682243,Bryce Miller,910,5.372,1.345,-0.042,0.539,0.352,0.513,0.336,0.648,94.0,P,SP,82.72727272727273,5.393,5.378299999999999,1.0561849247386326,0.2536839865274729,0.7479647652998458,0.3901411192225346,0.033,2.5413,13.98,,,,0,0,0.0,,,Top Target,Bat-Miss Elite,Strong
691587,Eury Pérez,1489,5.421,1.353,-0.04,0.471,0.368,0.47,0.327,0.632,96.1,P,SP,87.58823529411765,5.372,5.4063,1.078942777161161,0.336905146256896,0.7174366718164766,0.375436102443217,0.033,2.5407,13.97,,,,0,0,0.0,5.058736867751489,3.16214460113125,Top Target,Bat-Miss Elite,Strong
664854,Ryan Helsley,303,5.434,1.572,-0.04,0.457,0.447,0.446,0.323,0.553,96.9,P,RP,16.833333333333332,5.13,5.3428,1.083109918373428,0.3897695989490362,0.6519503995214847,0.3854834423921385,0.033,2.5374,,2.54,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,5.065070632085838,3.1442583539618463,Top Target,"Bat-Miss Elite, Closer Value",Okay
669093,Jeremiah Estrada,338,5.516,1.408,-0.037,0.484,0.446,0.418,0.322,0.554,98.5,P,RP,15.363636363636363,5.058,5.3786,1.1018258465494608,0.4425358105213482,0.642961237170987,0.3767117461503571,0.033,2.5299,,2.53,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,,,Top Target,"Bat-Miss Elite, Closer Value",Okay
676508,Ben Casparius,131,5.378,1.396,-0.042,0.473,0.388,0.433,0.318,0.612,94.6,P,RP,18.714285714285715,5.487,5.410699999999999,1.090979126112898,0.4101106974079354,0.6889705800623638,0.3658842803809712,0.033,2.5271,,2.53,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,,,Too Small,"Bat-Miss Elite, Closer Value",Small
676604,Tyler Zuber,261,5.322,1.306,-0.044,0.504,0.334,0.548,0.343,0.666,92.2,P,RP,16.3125,5.397,5.3445,1.029348836739571,0.1868384316805391,0.7802928757401351,0.4042034753446172,0.033,2.5208,,2.52,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,,,Top Target,"Bat-Miss Elite, Closer Value",Okay
681911,Alex Vesia,609,5.411,1.292,-0.041,0.498,0.367,0.447,0.315,0.633,95.6,P,RP,13.840909090909092,5.374,5.3999,1.0750265880324534,0.3831519467168514,0.7100659439893768,0.3653788363826553,0.033,2.5181,,2.52,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,,,Top Target,"Bat-Miss Elite, Closer Value",Strong
