batter,year,sos_opp_sp_fp_per_start,n_pa_with_sos
460026,2018,11.526518523466146,156
460060,2018,10.828808133463925,13
460075,2018,11.668252963978626,220
460077,2018,11.929225022795553,99
460086,2018,10.904249701815228,269
460269,2018,10.228483558173425,29
460576,2018,11.742379154752843,199
461314,2018,10.462879558600632,223
461829,2018,10.504610653861695,30
461858,2018,11.003490566037737,4
461865,2018,11.273422626919581,60
462101,2018,11.20344597346653,178
462136,2018,11.611320754716981,1
463610,2018,11.164391619765434,15
465041,2018,11.112903766238892,183
465753,2018,11.853645585626662,21
466320,2018,9.302691300374786,129
467055,2018,11.314347933565399,116
467092,2018,11.93347197693182,226
467100,2018,11.805797675931759,42
467793,2018,11.510707273744181,319
467827,2018,11.786206623632951,171
468504,2018,11.954639621895856,39
471083,2018,11.315232843137254,6
471865,2018,11.787534645458386,203
471911,2018,10.802941176470586,2
472528,2018,11.383048165386018,119
474319,2018,10.679976076555024,5
474463,2018,10.049687500000001,4
474568,2018,11.333671519666495,184
474832,2018,11.128665249973785,250
475115,2018,11.397903326736289,34
475174,2018,9.831860512150215,257
475247,2018,11.96629706901669,71
475253,2018,11.347003364875434,277
475582,2018,10.750770998292257,160
476451,2018,11.190742439119926,26
476704,2018,11.633048818003145,323
476883,2018,11.300374693181341,63
477132,2018,11.487300854169368,37
488671,2018,11.738752982632626,96
488681,2018,10.832012288786483,5
488721,2018,10.428150252525251,10
488726,2018,10.020576508348672,296
488768,2018,11.996842105263156,1
488771,2018,12.705501774207919,30
488810,2018,10.020047961396394,18
488818,2018,11.308710118730184,49
488846,2018,7.38076923076923,1
489119,2018,12.094332205957109,16
489149,2018,11.89736599947599,157
489267,2018,8.166909882232462,6
491676,2018,11.000303808113369,230
491696,2018,11.590459913455438,84
492802,2018,2.7749999999999986,2
493316,2018,11.39523100946981,81
493329,2018,11.434797423288481,259
493596,2018,9.299763350875747,19
500135,2018,12.278983261901248,79
500208,2018,11.331491136095048,238
500743,2018,11.982656097963746,250
500779,2018,11.188871248884805,42
500871,2018,11.550470003599424,285
500874,2018,10.841227308773277,307
501213,2018,11.698109539331327,28
501303,2018,11.628313244141946,140
501571,2018,10.76009962013101,27
501593,2018,8.031249999999998,1
501659,2018,10.980218540023202,75
501896,2018,10.748882770433916,134
501981,2018,11.519746069165919,305
502042,2018,10.65871690645962,11
502043,2018,10.628571428571428,2
502054,2018,11.348294776773784,266
502082,2018,10.528910528549847,39
502110,2018,11.24525912732178,294
502117,2018,10.611701808113935,13
502143,2018,11.521597556914353,132
502171,2018,8.521296850079745,6
