batter,year,age,age_residual_27,career_year
451594,2019,33,6,5
451594,2021,35,8,6
451596,2015,29,2,1
451596,2016,30,3,2
451596,2017,31,4,3
451596,2018,32,5,4
451661,2016,31,4,1
451705,2016,29,2,1
451705,2017,30,3,2
451713,2015,28,1,1
452027,2017,32,5,1
452035,2015,29,2,1
452095,2015,29,2,1
452095,2016,30,3,2
452095,2017,31,4,3
452095,2018,32,5,4
452095,2019,33,6,5
452104,2015,31,4,1
452104,2016,32,5,2
452104,2017,33,6,3
452104,2018,34,7,4
452220,2015,32,5,1
452220,2016,33,6,2
452220,2017,34,7,3
452234,2015,33,6,1
452234,2016,34,7,2
452234,2017,35,8,3
452239,2015,32,5,1
452252,2015,32,5,1
452252,2016,33,6,2
452252,2017,34,7,3
452254,2015,32,5,1
452254,2016,33,6,2
452254,2017,34,7,3
452254,2018,35,8,4
452254,2019,36,9,5
452655,2015,31,4,1
452655,2016,32,5,2
452655,2017,33,6,3
452655,2018,34,7,4
452657,2015,31,4,1
452657,2016,32,5,2
452657,2017,33,6,3
452657,2018,34,7,4
452657,2019,35,8,5
452657,2021,37,10,6
452666,2017,34,7,1
452672,2015,35,8,1
452672,2016,36,9,2
452672,2017,37,10,3
452678,2015,30,3,1
452678,2016,31,4,2
452678,2017,32,5,3
452678,2018,33,6,4
452678,2019,34,7,5
452678,2021,36,9,6
452718,2015,31,4,1
452718,2017,33,6,2
453056,2015,32,5,1
453056,2016,33,6,2
453056,2017,34,7,3
453064,2015,31,4,1
453064,2016,32,5,2
453064,2017,33,6,3
453064,2019,35,8,4
453172,2015,30,3,1
453172,2016,31,4,2
453172,2019,34,7,3
453178,2015,31,4,1
453178,2016,32,5,2
453178,2017,33,6,3
453178,2018,34,7,4
453192,2017,32,5,1
453192,2018,33,6,2
453203,2015,31,4,1
453203,2016,32,5,2
453203,2017,33,6,3
453203,2018,34,7,4
453211,2015,31,4,1
453211,2016,32,5,2
453211,2017,33,6,3
453214,2015,31,4,1
453214,2016,32,5,2
453265,2016,31,4,1
453265,2017,32,5,2
453265,2021,36,9,3
453268,2021,36,9,1
453269,2015,30,3,1
453281,2016,32,5,1
453281,2017,33,6,2
453281,2018,34,7,3
453281,2019,35,8,4
453281,2021,37,10,5
453284,2019,34,7,1
453286,2015,31,4,1
453286,2016,32,5,2
453286,2017,33,6,3
453286,2018,34,7,4
453286,2019,35,8,5
453286,2021,37,10,6
453307,2015,31,4,1
453311,2015,31,4,1
453329,2015,31,4,1
453329,2016,32,5,2
453329,2017,33,6,3
453329,2018,34,7,4
453343,2021,36,9,1
453344,2015,31,4,1
453344,2018,34,7,2
453385,2015,32,5,1
453385,2016,33,6,2
453385,2017,34,7,3
453385,2018,35,8,4
453400,2015,31,4,1
453400,2016,32,5,2
453527,2021,37,10,1
453539,2015,34,7,1
453562,2015,29,2,1
453562,2016,30,3,2
453562,2017,31,4,3
453562,2018,32,5,4
453562,2019,33,6,5
453562,2021,35,8,6
453568,2015,29,2,1
453568,2016,30,3,2
453568,2017,31,4,3
453568,2018,32,5,4
453568,2019,33,6,5
453568,2021,35,8,6
453568,2022,36,9,7
453568,2023,37,10,8
453568,2024,38,11,9
453646,2015,32,5,1
453646,2016,33,6,2
453895,2015,33,6,1
453895,2016,34,7,2
453923,2015,32,5,1
453923,2016,33,6,2
453923,2017,34,7,3
453923,2018,35,8,4
453943,2015,29,2,1
453943,2016,30,3,2
453943,2017,31,4,3
453943,2018,32,5,4
453943,2019,33,6,5
453943,2021,35,8,6
454560,2015,34,7,1
454560,2016,35,8,2
454560,2017,36,9,3
454560,2018,37,10,4
454975,2016,32,5,1
455104,2015,32,5,1
455104,2016,33,6,2
455104,2017,34,7,3
455104,2018,35,8,4
455104,2019,36,9,5
455117,2015,29,2,1
455117,2016,30,3,2
455117,2017,31,4,3
455117,2018,32,5,4
455117,2019,33,6,5
455117,2021,35,8,6
455117,2022,36,9,7
455117,2023,37,10,8
455117,2024,38,11,9
455117,2025,39,12,10
455139,2015,31,4,1
455139,2016,32,5,2
455139,2017,33,6,3
455139,2018,34,7,4
455139,2019,35,8,5
455139,2021,37,10,6
455139,2022,38,11,7
455369,2016,31,4,1
455374,2015,30,3,1
455374,2017,32,5,2
455755,2015,33,6,1
455755,2016,34,7,2
455755,2017,35,8,3
455755,2018,36,9,4
455759,2015,32,5,1
455759,2016,33,6,2
455759,2017,34,7,3
455759,2018,35,8,4
455976,2015,32,5,1
455976,2016,33,6,2
455976,2017,34,7,3
455976,2018,35,8,4
455976,2019,36,9,5
456030,2015,32,5,1
456030,2016,33,6,2
456030,2017,34,7,3
456030,2018,35,8,4
456030,2019,36,9,5
456034,2015,30,3,1
456034,2016,31,4,2
456034,2017,32,5,3
456034,2019,34,7,4
456034,2021,36,9,5
456051,2019,32,5,1
456068,2015,31,4,1
456068,2016,32,5,2
456068,2017,33,6,3
456071,2015,29,2,1
456071,2016,30,3,2
456078,2015,28,1,1
456078,2016,29,2,2
456078,2017,30,3,3
456078,2018,31,4,4
456078,2019,32,5,5
456121,2015,35,8,1
456124,2015,35,8,1
456124,2016,36,9,2
456124,2017,37,10,3
456124,2018,38,11,4
456124,2019,39,12,5
456167,2016,28,1,1
456167,2017,29,2,2
456422,2015,33,6,1
456422,2016,34,7,2
456488,2015,28,1,1
456488,2016,29,2,2
456488,2017,30,3,3
456488,2018,31,4,4
456488,2019,32,5,5
456501,2015,29,2,1
456501,2016,30,3,2
456501,2017,31,4,3
456501,2018,32,5,4
456501,2019,33,6,5
456501,2021,35,8,6
456665,2015,32,5,1
456665,2016,33,6,2
456665,2017,34,7,3
456665,2018,35,8,4
456665,2019,36,9,5
456696,2018,33,6,1
456701,2015,29,2,1
456701,2016,30,3,2
456701,2017,31,4,3
456701,2018,32,5,4
456701,2019,33,6,5
456714,2015,29,2,1
456714,2016,30,3,2
456715,2015,29,2,1
456715,2016,30,3,2
456715,2017,31,4,3
456715,2018,32,5,4
456715,2019,33,6,5
456715,2021,35,8,6
456715,2022,36,9,7
456776,2015,28,1,1
456781,2015,28,1,1
456781,2016,29,2,2
456781,2019,32,5,3
456781,2021,34,7,4
456781,2022,35,8,5
456781,2023,36,9,6
456781,2024,37,10,7
456781,2025,38,11,8
457448,2015,30,3,1
457449,2015,30,3,1
457454,2015,30,3,1
457454,2016,31,4,2
457454,2017,32,5,3
457454,2018,33,6,4
457477,2015,31,4,1
457477,2016,32,5,2
457477,2017,33,6,3
457574,2015,29,2,1
457574,2016,30,3,2
457705,2015,29,2,1
457705,2016,30,3,2
457705,2017,31,4,3
457705,2018,32,5,4
457705,2019,33,6,5
457705,2021,35,8,6
457705,2022,36,9,7
457705,2023,37,10,8
457705,2024,38,11,9
457705,2025,39,12,10
457705,2026,40,13,11
457706,2015,28,1,1
457706,2016,29,2,2
457706,2017,30,3,3
457706,2018,31,4,4
457708,2015,28,1,1
457708,2016,29,2,2
457708,2017,30,3,3
457708,2018,31,4,4
457708,2019,32,5,5
457708,2021,34,7,6
457708,2022,35,8,7
457711,2015,28,1,1
457727,2015,28,1,1
457727,2016,29,2,2
457727,2017,30,3,3
457727,2018,31,4,4
457727,2019,32,5,5
457727,2021,34,7,6
457759,2015,31,4,1
457759,2016,32,5,2
457759,2017,33,6,3
457759,2018,34,7,4
457759,2019,35,8,5
457759,2021,37,10,6
457759,2022,38,11,7
457759,2023,39,12,8
457759,2024,40,13,9
457759,2025,41,14,10
457760,2015,31,4,1
457762,2015,29,2,1
457763,2015,28,1,1
457763,2016,29,2,2
457763,2017,30,3,3
457763,2018,31,4,4
457763,2019,32,5,5
457763,2021,34,7,6
457768,2016,29,2,1
457775,2015,29,2,1
457775,2016,30,3,2
457787,2015,28,1,1
457787,2016,29,2,2
457787,2017,30,3,3
457788,2015,29,2,1
457789,2015,28,1,1
457789,2016,29,2,2
457803,2015,28,1,1
457803,2016,29,2,2
457803,2017,30,3,3
457803,2018,31,4,4
457803,2019,32,5,5
457803,2021,34,7,6
457915,2017,32,5,1
457915,2019,34,7,2
457915,2021,36,9,3
457918,2015,33,6,1
457918,2016,34,7,2
457918,2017,35,8,3
457918,2018,36,9,4
457918,2019,37,10,5
457918,2021,39,12,6
457926,2015,33,6,1
457926,2016,34,7,2
457926,2017,35,8,3
458006,2016,33,6,1
458015,2015,32,5,1
458015,2016,33,6,2
458015,2017,34,7,3
458015,2018,35,8,4
458015,2019,36,9,5
458015,2021,38,11,6
458015,2022,39,12,7
458015,2023,40,13,8
458085,2015,30,3,1
458085,2016,31,4,2
458085,2017,32,5,3
458582,2015,29,2,1
458582,2016,30,3,2
458668,2015,29,2,1
458675,2015,29,2,1
458675,2016,30,3,2
458675,2017,31,4,3
458675,2018,32,5,4
458676,2017,30,3,1
458676,2021,34,7,2
458677,2018,31,4,1
458678,2016,29,2,1
458681,2015,28,1,1
458681,2017,30,3,2
458681,2018,31,4,3
458681,2019,32,5,4
458681,2021,34,7,5
458689,2015,29,2,1
458708,2016,32,5,1
458708,2017,33,6,2
458708,2019,35,8,3
458708,2021,37,10,4
458731,2015,32,5,1
458731,2016,33,6,2
458731,2017,34,7,3
458731,2018,35,8,4
458731,2019,36,9,5
458731,2021,38,11,6
458913,2015,30,3,1
458913,2016,31,4,2
458913,2017,32,5,3
458913,2018,33,6,4
459431,2015,29,2,1
459431,2016,30,3,2
459431,2017,31,4,3
