pitcher,player_name,cur_n,cur_rate,pct_rank,n_comparable,n_bounce_eval,bounce_pct,median_next_rate,median_delta,unprecedented
664192,Joey Lucchesi,5,-1.3000000000000003,0.0,0,,,,,True
664199,Taylor Clarke,16,0.5375,38.6,76,70.0,98.6,0.5837,0.3101,False
664208,Phil Maton,8,-0.1381,5.3,25,25.0,100.0,0.7213,1.1493,False
664353,José Urquidy,5,-0.5111111111111112,0.0,0,,,,,True
664854,Ryan Helsley,12,1.0062,68.5,196,155.0,71.6,0.9278,0.1346,False
664875,Justin Lawrence,15,0.5889,70.3,130,100.0,83.0,0.4163,0.2985,False
664991,Grant Wolfram,14,0.6714285714285714,87.5,7,,,,,False
665622,Luis Medina,9,0.7756756756756755,,0,,,,,True
665660,Elvis Alvarado,10,-0.07857142857142867,0.0,0,,,,,True
666171,Ryan Zeferjahn,12,0.8636,61.3,38,12.0,91.7,0.6371,0.143,False
666277,George Soriano,15,0.6682,84.2,48,24.0,16.7,0.3173,-0.0939,False
666374,Matt Brash,14,1.1,92.1,140,99.0,59.6,0.8649,0.045,False
666661,Juan Morillo,16,1.0148936170212763,100.0,27,,,,,False
666808,Camilo Doval,13,0.5848,33.7,96,70.0,100.0,0.6738,0.2588,False
666974,Yennier Cano,16,1.0697,95.6,196,151.0,40.4,0.5686,-0.0615,False
667297,Tommy Nance,15,0.8174,76.0,73,58.0,96.6,0.7732,0.3183,False
667463,John King,16,1.0556,100.0,199,162.0,51.9,0.4627,0.0057,False
668390,Cole Winn,15,0.7098,40.6,13,2.0,100.0,0.7984,0.5102,False
668674,Lucas Erceg,15,0.625,33.5,53,27.0,100.0,0.8841,0.5519,False
668873,Caleb Kilian,13,0.9333333333333332,,0,,,,,True
668933,Graham Ashcraft,16,0.9125,100.0,47,10.0,40.0,0.6374,-0.0673,False
668941,JoJo Romero,16,0.725,58.2,106,97.0,94.8,0.7258,0.2875,False
668964,Tobias Myers,9,0.8499999999999999,60.0,6,,,,,False
668984,Casey Legumina,10,0.475,61.8,34,16.0,100.0,0.4893,0.6127,False
669062,Erik Miller,12,0.7765,61.4,54,22.0,81.8,0.7148,0.0864,False
669084,DL Hall,12,0.5857,5.0,2,2.0,100.0,0.7544,0.2778,False
669093,Jeremiah Estrada,8,0.8917,50.7,75,51.0,86.3,0.8781,0.295,False
669165,Kyle Hurt,7,1.1476190476190478,,0,,,,,True
669199,Lake Bachar,9,0.9723,85.2,46,21.0,76.2,0.6924,0.3424,False
669212,Eli Morgan,7,0.6806,44.4,63,56.0,85.7,0.6327,0.2419,False
669270,Joel Kuhnel,12,0.6526,63.4,45,26.0,46.2,0.4661,-0.0154,False
669276,Dylan Lee,17,1.2633,98.3,177,138.0,56.5,0.9398,0.036,False
669330,Tyler Wells,14,0.7111,8.3,3,1.0,100.0,0.8802,0.2186,False
669371,Cole Henry,7,0.05238095238095228,23.52941176470588,12,,,,,False
669438,Mason Englert,8,0.0615,11.1,7,7.0,100.0,0.5461,0.5809,False
669622,Anthony Bender,15,0.5103,16.9,30,30.0,100.0,0.7473,0.3574,False
669684,Chris Murphy,6,0.21111111111111103,7.894736842105263,3,,,,,False
669711,Greg Weissert,15,0.3564,20.8,31,16.0,100.0,0.6368,0.6147,False
670036,Matt Festa,14,0.4182,17.2,27,15.0,100.0,0.6967,0.35,False
670059,Colin Holderman,6,0.8333,66.0,103,64.0,50.0,0.502,-0.0092,False
670167,John Schreiber,14,0.2622,10.5,27,24.0,100.0,0.5966,0.5047,False
670245,Ryan Watson,14,0.39032258064516123,,0,,,,,True
670280,David Bednar,14,0.4415,15.2,46,46.0,100.0,0.9028,0.6101,False
670329,Rico Garcia,16,1.3045,100.0,42,12.0,100.0,0.7928,0.5923,False
670970,Adrian Morejon,15,0.4962,5.0,8,8.0,100.0,0.8467,0.4064,False
670990,Yohan Ramírez,15,0.85,86.0,129,107.0,57.9,0.5267,0.1175,False
671382,Cameron Foster,5,0.27391304347826084,,0,,,,,True
671922,Cade Smith,15,0.6652,7.4,10,2.0,100.0,0.9202,0.2714,False
672335,Cionel Pérez,16,0.4191,35.5,86,65.0,95.4,0.4867,0.2644,False
672582,Angel Zerpa,12,0.1857,20.9,27,25.0,100.0,0.5224,0.4791,False
672782,Yoendrys Gómez,9,0.1576923076923076,20.0,2,,,,,False
673929,Jordan Leasure,14,0.481,40.2,35,27.0,100.0,0.7284,0.7642,False
674370,Osvaldo Bido,10,0.3653061224489795,9.523809523809524,2,,,,,False
