pitcher,seasons_used,h1_gs,h2_gs,h1_rate,h2_rate,h2_lift_abs,h2_lift_pct,player_name,rank,xfp_rp3_per_start_sched,gs_to,category
684007,2,25,28,13.568,14.736,1.168,8.6,"Imanaga, Shota",15.0,13.11,7.0,BACK-LOADED
656876,4,39,37,12.154,13.178,1.025,8.4,"Rasmussen, Drew",30.0,12.08,6.0,BACK-LOADED
518633,3,41,20,9.744,10.535,0.791,8.1,,,,,BACK-LOADED
502624,5,46,43,8.128,8.788,0.66,8.1,,,,,BACK-LOADED
596001,5,47,41,9.811,10.576,0.765,7.8,,,,,mild back
571666,2,35,28,10.92,11.757,0.837,7.7,,,,,mild back
650911,3,39,42,13.9,14.931,1.031,7.4,"Sánchez, Cristopher",10.0,13.85,7.0,mild back
594798,6,73,52,18.844,20.179,1.335,7.1,"deGrom, Jacob",5.0,14.64,6.0,mild back
548389,6,61,40,9.784,10.452,0.669,6.8,,,,,mild back
501381,3,35,19,10.5,11.195,0.695,6.6,,,,,mild back
543294,7,101,89,9.437,10.047,0.611,6.5,,,,,mild back
605182,4,41,58,13.098,13.943,0.846,6.5,,,,,mild back
666157,4,37,34,11.443,12.174,0.73,6.4,,,,,mild back
656756,5,68,53,10.478,11.109,0.631,6.0,,,,,mild back
608331,6,89,74,13.542,14.338,0.796,5.9,"Fried, Max",23.0,12.67,7.0,mild back
518516,4,54,57,10.304,10.891,0.588,5.7,,,,,mild back
543101,5,62,43,10.702,11.223,0.522,4.9,,,,,mild back
543037,6,88,86,17.586,18.409,0.823,4.7,,,,,mild back
502042,3,43,32,9.06,9.466,0.405,4.5,,,,,mild back
425794,4,60,56,9.928,10.368,0.44,4.4,,,,,mild back
468504,2,35,24,8.883,9.258,0.375,4.2,,,,,mild back
621076,3,34,24,9.535,9.921,0.386,4.0,,,,,mild back
506433,7,82,71,13.065,13.575,0.51,3.9,,,,,EVEN
678394,4,42,54,9.676,9.933,0.257,2.7,"Bello, Brayan",132.0,8.46,6.0,EVEN
434378,6,88,81,15.639,16.042,0.403,2.6,,,,,EVEN
544931,3,36,24,14.85,15.237,0.387,2.6,,,,,EVEN
434671,3,25,43,11.276,11.558,0.282,2.5,,,,,EVEN
660271,5,53,40,15.611,15.975,0.364,2.3,"Ohtani, Shohei",13.0,13.29,5.0,EVEN
593958,7,86,84,10.752,10.958,0.206,1.9,"Rodriguez, Eduardo",141.0,8.21,6.0,EVEN
608337,6,95,86,11.293,11.509,0.217,1.9,,,,,EVEN
592332,7,117,85,13.203,13.398,0.194,1.5,"Gausman, Kevin",17.0,13.06,7.0,EVEN
601713,7,101,78,11.536,11.697,0.162,1.4,"Pivetta, Nick",22.0,12.73,4.0,EVEN
518876,6,87,76,12.01,12.172,0.162,1.3,"Kelly, Merrill",140.0,8.26,4.0,EVEN
676272,2,14,21,9.036,9.148,0.112,1.2,,,,,EVEN
543243,7,106,90,12.614,12.737,0.123,1.0,"Gray, Sonny",119.0,8.97,5.0,EVEN
622694,4,19,18,8.1,8.156,0.056,0.7,,,,,EVEN
656302,6,87,88,12.87,12.931,0.061,0.5,"Cease, Dylan",8.0,14.47,7.0,EVEN
663776,5,53,41,9.855,9.905,0.05,0.5,,,,,EVEN
457918,3,49,42,9.892,9.933,0.041,0.4,,,,,EVEN
554430,7,119,87,16.03,16.087,0.057,0.4,Zack Wheeler,9.0,13.85,2.0,EVEN
669373,5,66,60,15.511,15.503,-0.007,-0.0,"Skubal, Tarik",1.0,15.28,7.0,EVEN
642547,7,91,70,13.449,13.456,0.006,0.0,"Peralta, Freddy",20.0,12.8,7.0,EVEN
605400,7,116,97,14.294,14.264,-0.03,-0.2,"Nola, Aaron",64.0,10.52,6.0,EVEN
593423,5,72,39,11.356,11.313,-0.043,-0.4,,,,,EVEN
693821,4,37,33,9.989,9.952,-0.038,-0.4,"Elder, Bryce",85.0,9.19,7.0,EVEN
677651,3,35,27,12.56,12.444,-0.116,-0.9,,,,,EVEN
605397,6,76,66,12.741,12.6,-0.141,-1.1,,,,,EVEN
664299,5,45,35,12.22,12.077,-0.143,-1.2,"Javier, Cristian",174.0,6.59,3.0,EVEN
605540,5,46,49,16.189,15.996,-0.193,-1.2,"Woodruff, Brandon",35.0,11.69,6.0,EVEN
608379,7,99,70,11.079,10.936,-0.143,-1.3,"Wacha, Michael",54.0,9.79,6.0,EVEN
605135,7,106,76,12.038,11.87,-0.168,-1.4,"Bassitt, Chris",151.0,7.97,6.0,EVEN
665795,5,34,50,10.35,10.18,-0.17,-1.6,"Cabrera, Edward",59.0,10.73,6.0,EVEN
453281,3,18,21,9.15,8.943,-0.207,-2.3,,,,,EVEN
676710,3,27,39,10.911,10.641,-0.27,-2.5,,,,,EVEN
641793,3,35,38,11.566,11.263,-0.303,-2.6,"Littell, Zack",175.0,6.58,5.0,EVEN
592866,7,92,45,8.34,8.038,-0.302,-3.6,,,,,EVEN
547888,2,31,27,12.277,11.822,-0.455,-3.7,,,,,EVEN
571510,6,81,49,11.793,11.361,-0.431,-3.7,"Boyd, Matthew",41.0,11.41,5.0,EVEN
592767,4,49,40,8.414,8.085,-0.329,-3.9,,,,,EVEN
669203,5,77,59,16.278,15.622,-0.656,-4.0,,,,,mild front
694973,2,29,26,18.069,17.312,-0.757,-4.2,"Skenes, Paul",3.0,14.8,6.0,mild front
666142,4,29,34,14.1,13.515,-0.585,-4.2,"Ragans, Cole",27.0,12.17,6.0,mild front
543475,5,71,58,9.201,8.757,-0.445,-4.8,,,,,mild front
669302,5,71,75,14.465,13.756,-0.709,-4.9,"Gilbert, Logan",16.0,12.87,7.0,mild front
471911,7,77,53,9.834,9.342,-0.492,-5.0,,,,,mild front
657006,4,45,42,12.436,11.774,-0.662,-5.3,,,,,mild front
682990,3,18,20,9.483,8.97,-0.513,-5.4,,,,,mild front
650633,4,34,26,12.438,11.746,-0.692,-5.6,"King, Michael",50.0,11.04,7.0,mild front
571578,7,120,102,9.979,9.409,-0.57,-5.7,"Corbin, Patrick",144.0,8.13,5.0,mild front
456034,3,32,28,11.862,11.161,-0.702,-5.9,,,,,mild front
668676,4,38,37,9.445,8.892,-0.553,-5.9,,,,,mild front
664285,6,73,75,14.882,13.944,-0.938,-6.3,"Valdez, Framber",39.0,11.52,7.0,mild front
675911,3,34,41,15.168,14.207,-0.96,-6.3,,,,,mild front
571945,7,105,97,10.78,10.058,-0.722,-6.7,"Mikolas, Miles",162.0,7.56,5.0,mild front
664192,4,42,27,11.131,10.37,-0.761,-6.8,,,,,mild front
608344,4,52,36,10.027,9.344,-0.682,-6.8,,,,,mild front
425844,5,86,62,12.188,11.306,-0.882,-7.2,,,,,mild front
448179,5,68,49,10.247,9.498,-0.749,-7.3,,,,,mild front
543606,4,52,55,10.387,9.607,-0.779,-7.5,,,,,mild front
656288,5,72,27,9.619,8.885,-0.734,-7.6,,,,,mild front
477132,7,79,68,14.892,13.756,-1.137,-7.6,,,,,mild front
623167,4,47,49,8.987,8.286,-0.702,-7.8,,,,,mild front
691587,2,16,23,12.6,11.6,-1.0,-7.9,"Pérez, Eury",40.0,11.5,7.0,mild front
656557,4,40,31,10.627,9.777,-0.85,-8.0,,,,,FRONT-LOADED
593334,5,54,25,11.052,10.156,-0.896,-8.1,,,,,FRONT-LOADED
547179,4,61,32,10.725,9.847,-0.878,-8.2,"Lorenzen, Michael",137.0,8.38,7.0,FRONT-LOADED
640455,7,72,70,12.092,11.096,-0.996,-8.2,,,,,FRONT-LOADED
450203,7,113,101,12.62,11.549,-1.072,-8.5,,,,,FRONT-LOADED
607067,3,43,33,10.177,9.288,-0.889,-8.7,"Rea, Colin",79.0,10.05,4.0,FRONT-LOADED
669923,4,55,57,13.56,12.377,-1.183,-8.7,"Kirby, George",31.0,12.06,7.0,FRONT-LOADED
446372,5,60,36,11.955,10.897,-1.058,-8.8,,,,,FRONT-LOADED
666129,4,29,30,11.476,10.443,-1.033,-9.0,,,,,FRONT-LOADED
607074,7,81,80,14.215,12.899,-1.316,-9.3,,,,,FRONT-LOADED
592662,6,78,82,13.99,12.651,-1.339,-9.6,"Ray, Robbie",55.0,11.01,7.0,FRONT-LOADED
671737,3,41,32,10.934,9.884,-1.05,-9.6,"Bradley, Taj",46.0,11.51,7.0,FRONT-LOADED
579328,6,104,70,10.282,9.28,-1.002,-9.7,"Kikuchi, Yusei",69.0,10.39,7.0,FRONT-LOADED
657277,6,81,85,14.291,12.88,-1.411,-9.9,"Webb, Logan",51.0,11.17,6.0,FRONT-LOADED
641482,5,45,43,13.829,12.442,-1.387,-10.0,,,,,FRONT-LOADED
573186,7,97,71,10.446,9.377,-1.069,-10.2,,,,,FRONT-LOADED
519242,6,79,51,16.862,15.124,-1.738,-10.3,"Sale, Chris",7.0,13.16,7.0,FRONT-LOADED
663460,3,36,28,9.492,8.507,-0.985,-10.4,"Bubic, Kris",34.0,10.51,7.0,FRONT-LOADED
542881,7,103,75,10.548,9.425,-1.122,-10.6,,,,,FRONT-LOADED
621107,7,101,51,11.399,10.147,-1.252,-11.0,,,,,FRONT-LOADED
693433,3,31,39,15.513,13.81,-1.703,-11.0,"Woo, Bryan",28.0,12.16,7.0,FRONT-LOADED
571760,7,87,77,10.99,9.734,-1.256,-11.4,,,,,FRONT-LOADED
607231,2,20,20,9.205,8.11,-1.095,-11.9,,,,,FRONT-LOADED
592351,6,95,58,11.142,9.812,-1.33,-11.9,,,,,FRONT-LOADED
680573,2,26,24,10.442,9.187,-1.255,-12.0,"Woods Richardson, Simeon",172.0,6.65,7.0,FRONT-LOADED
527048,7,83,64,8.787,7.716,-1.071,-12.2,"Pérez, Martín",148.0,8.07,4.0,FRONT-LOADED
592644,2,12,20,10.217,8.925,-1.292,-12.6,,,,,FRONT-LOADED
607192,6,51,38,17.324,15.111,-2.213,-12.8,"Glasnow, Tyler",6.0,14.6,6.0,FRONT-LOADED
666120,2,33,13,10.973,9.554,-1.419,-12.9,,,,,FRONT-LOADED
519144,2,36,29,10.494,9.103,-1.391,-13.3,,,,,FRONT-LOADED
686613,3,50,40,13.66,11.708,-1.952,-14.3,,14.0,13.22,2.0,FRONT-LOADED
621244,7,124,98,12.845,10.991,-1.854,-14.4,,,,,FRONT-LOADED
669358,3,22,27,12.75,10.863,-1.887,-14.8,"Baz, Shane",73.0,10.22,6.0,FRONT-LOADED
676664,4,53,47,9.668,8.234,-1.434,-14.8,,,,,FRONT-LOADED
453562,3,51,28,7.359,6.257,-1.102,-15.0,,,,,FRONT-LOADED
596295,6,62,50,8.34,7.072,-1.268,-15.2,,,,,FRONT-LOADED
641154,7,95,59,13.729,11.52,-2.209,-16.1,,,,,FRONT-LOADED
664062,5,39,30,12.277,10.28,-1.997,-16.3,,,,,FRONT-LOADED
663978,5,68,28,10.437,8.693,-1.744,-16.7,"Paddack, Chris",153.0,7.93,6.0,FRONT-LOADED
663738,3,20,26,8.66,7.162,-1.498,-17.3,,,,,FRONT-LOADED
663556,3,45,25,15.807,13.052,-2.755,-17.4,"McClanahan, Shane",44.0,11.32,6.0,FRONT-LOADED
501985,4,58,49,11.745,9.573,-2.171,-18.5,,,,,FRONT-LOADED
686752,2,33,24,12.682,10.292,-2.39,-18.8,,,,,FRONT-LOADED
642545,4,18,35,9.511,7.72,-1.791,-18.8,,,,,FRONT-LOADED
