rank,name,proj,tag,gs,l4_st,n,sd,lo,hi,l4_all,l8_st,last,d_l4_l8
221,"Avila, Luinder",8.486241533610446,marcel_il,12,4.125,4,10.25552696517021,-8.2,16.9,4.125,7.675,2026-08-01,-3.55
222,"Houser, Adrian",8.479699312205643,data_driven_full,14,2.75,4,6.460908088909277,-2.9,9.3,5.9,7.3375,2026-08-04,-4.5875
223,"Whisenhunt, Carson",8.468964718324887,data_driven_thin,5,2.55,4,9.400886483022049,-9.0,11.7,2.55,3.34,2026-08-05,-0.79
225,"Pérez, Martín",8.451041423972,data_driven_full,18,13.674999999999999,4,8.765224849749531,5.5,26.1,13.674999999999999,9.1875,2026-08-06,4.487499999999999
227,"Teng, Kai-Wei",8.438931622688285,data_driven_full,10,2.025,4,10.071204826964182,-4.9,16.8,4.300000000000001,7.05,2026-07-24,-5.025
228,"Festa, David",8.43,marcel_il,0,,0,,,,,,,
229,"Gusto, Ryan",8.428718897821657,data_driven_full,9,5.800000000000001,4,9.92874614440313,-3.5,17.8,8.225000000000001,6.8875,2026-08-04,-1.0874999999999995
231,"Junk, Janson",8.41424786715373,data_driven_full,16,6.25,4,9.183499696012772,-3.8,15.5,6.25,4.775,2026-08-06,1.4749999999999996
232,"Rodriguez, Grayson",8.4089221136908,data_driven_full,11,6.0,4,11.960211815292682,-5.8,20.1,6.0,3.625,2026-08-04,2.375
233,"Burrows, Mike",8.39354846570855,marcel_il,17,4.275,4,10.48057727417722,-7.7,17.8,3.9750000000000005,4.75,2026-07-06,-0.47499999999999964
234,"Wesneski, Hayden",8.35337446130633,data_driven_thin,2,10.25,2,5.020458146424488,6.7,13.8,10.25,10.25,2026-08-04,0.0
236,"Kelly, Merrill",8.336311717452562,data_driven_full,20,9.8,4,7.922120928135343,-0.5,18.7,9.8,9.675,2026-08-02,0.125
238,"Feltner, Ryan",8.328699038944457,data_driven_full,16,-2.675,4,9.512228971171794,-16.3,5.8,-2.675,5.012500000000001,2026-08-01,-7.687500000000001
240,"Lively, Ben",8.31,marcel_il,0,,0,,,,,,,
241,"Assad, Javier",8.309398202001665,data_driven_full,10,11.725000000000001,4,2.1360009363293826,9.5,13.7,9.3,12.95,2026-08-04,-1.2249999999999979
242,"Birdsong, Hayden",8.3,marcel_il,0,,0,,,,,,,
243,"Englert, Mason",8.253478141233403,data_driven_thin,3,6.433333333333334,3,9.782296935450963,0.1,17.7,10.475,6.433333333333334,2026-07-17,0.0
245,"Lowder, Rhett",8.247173513277975,data_driven_full,17,5.95,4,15.571448230656005,-17.3,15.8,5.95,6.525,2026-08-05,-0.5750000000000002
246,"Gordon, Tanner",8.218415485431647,data_driven_thin,6,2.1,4,4.896257073860943,-4.1,6.5,8.399999999999999,3.78,2026-08-03,-1.6799999999999997
247,"Francis, Bowden",8.19,marcel_il,0,,0,,,,,,,
249,"Scherzer, Max",8.143446495413423,data_driven_full,8,0.8250000000000002,4,13.803954747342035,-15.3,17.8,0.8250000000000002,2.4000000000000004,2026-08-02,-1.5750000000000002
252,"Arrighetti, Spencer",8.071431854418394,marcel_il,17,2.7,4,16.33666632660001,-13.8,18.8,2.7,4.012500000000001,2026-07-24,-1.3125000000000009
253,"Ritchie, JR",8.040452840226953,data_driven_full,9,3.3499999999999996,4,3.2295510523910287,-0.8,6.5,5.9750000000000005,6.7375,2026-08-02,-3.3875
254,"Gray, Josiah",8.03,marcel_il,0,,0,,,,,,,
255,"Matz, Steven",8.025113555448467,data_driven_full,10,1.6,4,12.02913130695646,-9.1,12.8,4.425000000000001,5.6875,2026-08-04,-4.0875
256,"Gibson, Trey",8.009912072414027,data_driven_thin,7,0.4500000000000002,4,11.123698425733531,-15.2,9.2,0.4500000000000002,2.6142857142857143,2026-06-30,-2.164285714285714
258,"Weiss, Ryan",7.990466610472756,data_driven_thin,3,3.05,2,1.4849242404917495,2.0,4.1,1.6249999999999998,3.05,2026-05-04,0.0
260,"Lynn, Lance",7.98,marcel_il,0,,0,,,,,,,
261,"Cabrera, Jose",7.952858542064012,data_driven_thin,4,4.825,4,7.35,-1.0,15.5,4.825,4.825,2026-07-08,0.0
262,"Springs, Jeffrey",7.940528736896407,data_driven_full,22,-0.6499999999999999,4,7.001190374976719,-8.6,7.5,-0.6499999999999999,0.11249999999999993,2026-07-31,-0.7624999999999998
264,"Gray, Jon",7.93,marcel_il,0,,0,,,,,,,
267,"Lorenzen, Michael",7.851305627424552,data_driven_full,23,-2.325,4,8.979374514222394,-14.1,7.5,-2.325,1.7625000000000002,2026-08-03,-4.0875
268,"Waldrep, Hurston",7.832978633237965,marcel_il,2,-2.2,2,15.273506473629428,-13.0,8.6,-0.2666666666666669,-2.2,2026-07-07,0.0
269,"Gil, Luis",7.821500641255524,marcel_il,4,4.449999999999999,4,10.236047414244752,-7.8,16.9,4.449999999999999,4.449999999999999,2026-04-26,0.0
270,"Rodríguez, Elmer",7.813760387729848,data_driven_thin,4,3.7750000000000004,4,2.5902059120206387,0.4,6.3,3.7750000000000004,3.7750000000000004,2026-06-21,0.0
