mlbam,player_name,role,own,our_total,our_vol,our_rate,cons_mean,cons_std,n_sys,systems,cons_vol,cons_rate,diff,z,vol_ratio,rate_ratio,vol_share,decomp,flag,fg_team,team_games_remaining
663362,"Waldron, Matt",SP,FA,24.081,3.221,7.477,30.477,20.616,4,ATC+FG-DC+ZiPS+Steamer,2.422,19.555,-6.395,0.653,1.329,0.382,0.23,n/a,MARCEL,SDP,64.8
641793,"Littell, Zack",SP,FA,51.369,6.888,7.457,100.236,4.313,4,ATC+FG-DC+ZiPS+Steamer,11.39,8.837,-48.867,-1.569,0.605,0.844,0.75,VOLUME,,WSN,64.8
682052,"Lopez, Jacob",SP,FA,35.693,4.808,7.423,64.411,12.767,4,ATC+FG-DC+ZiPS+Steamer,4.362,16.484,-28.718,-0.515,1.102,0.45,0.11,RATE,,ATH,64.8
691946,George Klassen,SP,FA,15.697,2.119,7.408,34.149,11.687,4,ATC+FG-DC+ZiPS+Steamer,3.26,12.394,-18.452,0.022,0.65,0.598,0.46,MIXED,,LAA,64.8
669456,"Bieber, Shane",SP,opp:U Just Lost To,41.187,5.56,7.408,114.14,32.844,4,ATC+FG-DC+ZiPS+Steamer,9.76,11.62,-72.953,-2.829,0.57,0.638,0.56,MIXED,,TOR,64.8
683155,"Estes, Joey",SP,FA,,,7.38,41.478,3.667,4,ATC+FG-DC+ZiPS+Steamer,3.018,16.695,,,,,,n/a,MARCEL,ATH,64.8
668984,Casey Legumina,SP,FA,32.125,4.38,7.334,43.8,,1,ZiPS,1.0,43.8,-11.675,0.377,4.38,0.167,0.45,MIXED,,TBR,64.8
663978,"Paddack, Chris",SP,FA,37.42,5.126,7.301,47.967,35.959,4,ATC+FG-DC+ZiPS+Steamer,4.612,10.006,-10.547,0.436,1.111,0.73,0.25,RATE,,TEX,64.8
687765,"Spence, Mitch",SP,FA,,,7.29,31.259,18.298,4,ATC+FG-DC+ZiPS+Steamer,2.34,17.66,,,,,,n/a,MARCEL,KCR,64.8
669920,"Alexander, Jason",SP,FA,30.362,4.18,7.264,26.878,18.045,4,ATC+FG-DC+ZiPS+Steamer,2.168,17.986,3.485,1.17,1.928,0.404,0.42,n/a,MARCEL,HOU,64.8
571927,"Matz, Steven",SP,FA,32.761,4.523,7.243,53.785,4.022,4,ATC+FG-DC+ZiPS+Steamer,2.105,37.935,-21.024,-0.112,2.149,0.191,0.32,n/a,MARCEL,TBR,64.8
664299,"Javier, Cristian",SP,FA,23.525,3.292,7.146,64.099,8.577,4,ATC+FG-DC+ZiPS+Steamer,5.34,12.155,-40.574,-1.135,0.616,0.588,0.48,MIXED,,HOU,64.8
453286,"Scherzer, Max",SP,FA,24.907,3.512,7.092,89.651,21.307,4,ATC+FG-DC+ZiPS+Steamer,9.165,9.677,-64.744,-2.4,0.383,0.733,0.76,VOLUME,MARCEL,TOR,64.8
527048,"Pérez, Martín",SP,FA,64.897,9.156,7.088,68.481,12.652,4,ATC+FG-DC+ZiPS+Steamer,7.5,9.09,-3.583,0.8,1.221,0.78,0.45,MIXED,MARCEL,ATL,64.8
687473,"Gusto, Ryan",SP,FA,50.049,7.083,7.066,58.389,2.224,4,ATC+FG-DC+ZiPS+Steamer,4.1,16.154,-8.339,0.551,1.727,0.437,0.4,MIXED,,MIA,64.8
702474,"Paredes, Mike",SP,FA,47.865,6.804,7.035,67.106,15.774,4,ATC+FG-DC+ZiPS+Steamer,5.03,14.758,-19.242,-0.019,1.353,0.477,0.29,RATE,,MIN,64.8
695534,Chase Petty,SP,FA,27.815,3.959,7.025,40.452,6.411,4,ATC+FG-DC+ZiPS+Steamer,3.1,26.747,-12.638,0.326,1.277,0.263,0.15,n/a,,CIN,64.8
605135,"Bassitt, Chris",SP,FA,35.979,5.132,7.01,67.289,21.647,4,ATC+FG-DC+ZiPS+Steamer,7.03,9.508,-31.31,-0.651,0.73,0.737,0.51,MIXED,MARCEL,BAL,64.8
571578,"Corbin, Patrick",SP,FA,56.933,8.223,6.923,54.655,11.709,4,ATC+FG-DC+ZiPS+Steamer,4.862,13.473,2.278,1.107,1.691,0.514,0.44,MIXED,,TOR,64.8
671106,"Allen, Logan",SP,FA,,,6.92,70.738,4.443,4,ATC+FG-DC+ZiPS+Steamer,5.69,12.907,,,,,,n/a,MARCEL,CLE,64.8
663776,"Sandoval, Patrick",SP,FA,,,6.91,65.934,2.677,3,ATC+FG-DC+Steamer,4.087,16.134,,,,,,n/a,MARCEL,BOS,64.8
696136,"Wicks, Jordan",SP,FA,19.615,2.851,6.88,35.512,14.796,4,ATC+FG-DC+ZiPS+Steamer,2.172,26.597,-15.897,0.156,1.312,0.259,0.17,n/a,,CHC,64.8
571945,"Mikolas, Miles",SP,FA,49.625,7.251,6.844,73.26,1.326,4,ATC+FG-DC+ZiPS+Steamer,9.63,7.617,-23.636,-0.249,0.753,0.898,0.73,VOLUME,,WSN,64.8
681190,"Vásquez, Randy",SP,FA,51.72,7.582,6.822,81.279,3.088,4,ATC+FG-DC+ZiPS+Steamer,10.165,8.006,-29.559,-0.559,0.746,0.852,0.65,MIXED,MARCEL,SDP,64.8
663855,"Hicks, Jordan",SP,FA,,,6.77,45.4,,1,ZiPS,3.0,15.133,,,,,,n/a,MARCEL,CHW,64.8
500779,"Quintana, Jose",SP,FA,36.449,5.424,6.72,32.541,14.477,4,ATC+FG-DC+ZiPS+Steamer,5.255,6.246,3.909,1.192,1.032,1.076,0.3,RATE,MARCEL,COL,64.8
689441,"Crow, Coleman",SP,FA,23.264,3.467,6.71,33.47,13.724,4,ATC+FG-DC+ZiPS+Steamer,2.345,20.328,-10.207,0.453,1.478,0.33,0.26,n/a,MARCEL,MIL,64.8
686799,"Kochanowicz, Jack",SP,FA,37.717,5.625,6.706,64.6,,1,ZiPS,10.0,6.46,-26.883,-0.419,0.562,1.038,0.94,VOLUME,MARCEL,LAA,64.8
608337,"Giolito, Lucas",SP,FA,33.356,4.99,6.685,59.265,21.238,4,ATC+FG-DC+ZiPS+Steamer,6.63,8.781,-25.909,-0.368,0.753,0.761,0.51,MIXED,,SDP,64.8
592866,"Williams, Trevor",SP,FA,,,6.61,37.377,0.663,3,ATC+FG-DC+Steamer,2.907,12.878,,,,,,n/a,MARCEL,WSN,64.8
691951,"Aldegheri, Sam",SP,FA,42.625,6.454,6.604,37.055,10.8,4,ATC+FG-DC+ZiPS+Steamer,3.51,13.459,5.57,1.279,1.839,0.491,0.46,n/a,,LAA,64.8
676467,"Gordon, Colton",SP,FA,,,6.59,65.4,,1,ZiPS,7.0,9.343,,,,,,n/a,MARCEL,HOU,64.8
695418,"Lord, Brad",SP,FA,,,6.56,50.276,16.254,4,ATC+FG-DC+ZiPS+Steamer,1.92,40.647,,,,,,n/a,MARCEL,WSN,64.8
680730,"Parker, Mitchell",SP,FA,,,6.5,75.0,,1,ZiPS,8.0,9.375,,,,,,n/a,MARCEL,WSN,64.8
663559,"Falter, Bailey",SP,FA,21.404,3.324,6.439,59.4,,1,ZiPS,8.0,7.425,-37.996,-1.0,0.416,0.867,0.86,VOLUME,,KCR,64.8
608566,"Márquez, Germán",SP,FA,42.67,6.648,6.418,51.541,6.053,4,ATC+FG-DC+ZiPS+Steamer,5.285,10.687,-8.871,0.523,1.258,0.601,0.31,RATE,,SDP,64.8
686563,"Cannon, Jonathan",SP,FA,,,6.36,41.756,10.83,4,ATC+FG-DC+ZiPS+Steamer,3.95,11.373,,,,,,n/a,MARCEL,CHW,64.8
807743,"Sullivan, Sean",SP,FA,35.851,5.709,6.28,32.013,8.21,4,ATC+FG-DC+ZiPS+Steamer,4.755,6.811,3.839,1.188,1.201,0.922,0.69,VOLUME,,COL,64.8
676571,"Poulin, PJ",SP,FA,36.148,5.877,6.15,40.2,,1,ZiPS,3.0,13.4,-4.052,0.775,1.959,0.459,0.46,MIXED,,WSN,64.8
686610,"Waldichuk, Ken",SP,FA,,,5.92,34.2,,1,ZiPS,5.0,6.84,,,,,,n/a,MARCEL,WSN,64.8
680573,"Woods Richardson, Simeon",SP,FA,27.79,4.75,5.851,101.9,,1,ZiPS,10.0,10.19,-74.11,-2.89,0.475,0.574,0.57,MIXED,,TOR,64.8
806960,Luis Morales,SP,FA,12.778,2.197,5.817,65.7,,1,ZiPS,7.0,9.386,-52.922,-1.781,0.314,0.62,0.71,VOLUME,,ATH,64.8
592836,"Walker, Taijuan",SP,FA,21.985,3.862,5.692,46.7,,1,ZiPS,7.0,6.671,-24.715,-0.306,0.552,0.853,0.79,VOLUME,,,64.8
608372,"Sugano, Tomoyuki",SP,FA,40.364,7.219,5.592,69.886,3.292,4,ATC+FG-DC+ZiPS+Steamer,10.93,6.393,-29.522,-0.557,0.66,0.875,0.76,VOLUME,MARCEL,COL,64.8
596133,"Weaver, Luke",SP,FA,,,4.83,66.7,,1,ZiPS,2.0,33.35,,,,,,n/a,MARCEL,NYM,64.8
471911,"Carrasco, Carlos",SP,FA,,,4.79,47.4,,1,ZiPS,7.0,6.771,,,,,,n/a,MARCEL,ATL,64.8
682610,"Muñoz, Roddery",SP,FA,,,3.68,47.8,,1,ZiPS,3.0,15.933,,,,,,n/a,MARCEL,HOU,64.8
621389,"Blach, Ty",SP,FA,,,3.29,34.2,,1,ZiPS,4.0,8.55,,,,,,n/a,MARCEL,CHC,64.8
622608,"Senzatela, Antonio",SP,FA,,,2.32,41.581,3.862,4,ATC+FG-DC+ZiPS+Steamer,2.168,36.878,,,,,,n/a,MARCEL,COL,64.8
695243,Mason Miller,RP,opp:U Just Lost To,155.1,,,153.651,36.424,4,ATC+FG-DC+ZiPS+Steamer,,,1.449,-0.282,,,,n/a,,SDP,64.8
671922,Cade Smith,RP,opp:Late Night Bet,133.7,,,139.551,33.722,4,ATC+FG-DC+ZiPS+Steamer,,,-5.851,-0.656,,,,n/a,,CLE,64.8
661395,Jhoan Duran,RP,MINE,141.0,,,132.851,33.922,4,ATC+FG-DC+ZiPS+Steamer,,,8.149,0.061,,,,n/a,,PHI,64.8
686973,Louis Varland,RP,opp:Team Solomon,88.0,,,124.647,11.309,4,ATC+FG-DC+ZiPS+Steamer,,,-36.647,-2.233,,,,n/a,,TOR,64.8
641329,Bryan Baker,RP,opp:2015 Draft Fir,102.1,,,119.209,38.292,4,ATC+FG-DC+ZiPS+Steamer,,,-17.109,-1.233,,,,n/a,,TBR,64.8
656641,Jacob Latz,RP,MINE,98.5,,,111.13,28.827,4,ATC+FG-DC+ZiPS+Steamer,,,-12.63,-1.003,,,,n/a,,TEX,64.8
656945,Tanner Scott,RP,MINE,109.8,,,101.823,22.1,4,ATC+FG-DC+ZiPS+Steamer,,,7.977,0.052,,,,n/a,,LAD,64.8
656730,Trevor Megill,RP,opp:2015 Draft Fir,116.7,,,106.262,28.56,4,ATC+FG-DC+ZiPS+Steamer,,,10.438,0.178,,,,n/a,,MIL,64.8
670280,David Bednar,RP,opp:Boone's Bad Bu,120.2,,,125.691,35.099,4,ATC+FG-DC+ZiPS+Steamer,,,-5.491,-0.638,,,,n/a,,NYY,64.8
547973,Aroldis Chapman,RP,opp:Late Night Bet,127.7,,,122.14,39.702,4,ATC+FG-DC+ZiPS+Steamer,,,5.56,-0.072,,,,n/a,,BOS,64.8
623352,Josh Hader,RP,opp:Team Solomon,186.1,,,120.232,41.722,4,ATC+FG-DC+ZiPS+Steamer,,,65.868,3.016,,,,n/a,,HOU,64.8
628452,Raisel Iglesias,RP,opp:Boone's Bad Bu,119.6,,,118.366,36.645,4,ATC+FG-DC+ZiPS+Steamer,,,1.234,-0.293,,,,n/a,,ATL,64.8
676617,Riley O'Brien,RP,opp:Team Solomon,97.9,,,105.358,33.716,4,ATC+FG-DC+ZiPS+Steamer,,,-7.458,-0.739,,,,n/a,,STL,64.8
623149,Paul Sewald,RP,opp:Late Night Bet,101.8,,,102.485,41.396,4,ATC+FG-DC+ZiPS+Steamer,,,-0.685,-0.392,,,,n/a,,ARI,64.8
669276,Dylan Lee,RP,opp:U Just Lost To,98.2,,,85.382,4.68,4,ATC+FG-DC+ZiPS+Steamer,,,12.818,0.3,,,,n/a,,ATL,64.8
