batter,bb_pct_AVG,bb_pct_STRONG,bb_pct_WEAK,iso_AVG,iso_STRONG,iso_WEAK,k_pct_AVG,k_pct_STRONG,k_pct_WEAK,pa_AVG,pa_STRONG,pa_WEAK,bb_protect_lift,iso_protect_lift,player_name
670541,11.16,11.8,12.83,0.24,0.28,0.268,19.23,19.97,21.11,1326.0,3009.0,1099.0,-1.03,0.012,Yordan Alvarez
670623,9.87,10.74,12.42,0.188,0.189,0.229,18.3,16.95,15.29,1246.0,950.0,1256.0,-1.68,-0.04,Isaac Paredes
670712,4.73,9.2,5.64,0.165,0.104,0.21,25.68,31.61,27.3,296.0,174.0,337.0,3.56,-0.106,
670764,11.38,10.28,11.68,0.134,0.07,0.093,25.7,24.8,25.36,782.0,496.0,1096.0,-1.4,-0.023,Taylor Walls
670768,11.11,12.41,8.39,0.11,0.136,0.094,18.89,24.09,23.23,180.0,137.0,155.0,4.02,0.042,
670770,8.71,9.72,10.79,0.17,0.167,0.14,15.47,16.87,16.61,1390.0,1049.0,927.0,-1.07,0.027,TJ Friedl
671056,9.09,10.32,9.71,0.152,0.167,0.167,21.02,19.12,21.04,352.0,659.0,309.0,0.61,0.0,Iván Herrera
671083,,,6.92,,,0.128,,,22.31,,,130.0,,,
671213,13.5,13.74,14.01,0.216,0.177,0.22,28.9,24.43,26.39,526.0,262.0,735.0,-0.27,-0.043,
671218,6.67,6.83,7.86,0.194,0.147,0.164,25.0,23.83,24.95,720.0,1112.0,509.0,-1.03,-0.017,Heliot Ramos
671221,6.91,,8.6,0.112,,0.143,32.73,,29.85,275.0,,593.0,,,
671277,4.34,4.95,4.77,0.121,0.135,0.165,15.15,16.12,17.19,944.0,1253.0,1216.0,0.18,-0.03,Luis García Jr.
671289,7.46,7.89,6.66,0.109,0.076,0.09,11.57,15.21,12.69,389.0,710.0,646.0,1.23,-0.014,Tyler Freeman
671732,7.89,9.3,6.63,0.2,0.203,0.198,28.5,24.3,29.24,393.0,1107.0,407.0,2.67,0.005,Lawrence Butler
671739,3.5,3.68,4.18,0.207,0.171,0.165,20.64,20.6,21.8,1342.0,1141.0,1124.0,-0.5,0.006,Michael Harris II
672016,,4.8,2.65,,0.104,0.14,,40.8,35.1,,125.0,151.0,2.15,-0.036,Denzel Clarke
672275,8.18,8.04,6.85,0.118,0.125,0.128,24.09,25.2,26.9,660.0,373.0,788.0,1.19,-0.003,Patrick Bailey
672279,7.22,6.59,,0.044,0.047,,28.89,27.8,,180.0,410.0,,,,
672284,7.68,9.05,9.33,0.143,0.179,0.166,32.96,28.19,29.44,716.0,486.0,1104.0,-0.28,0.013,
672356,7.45,5.17,6.35,0.142,0.112,0.149,34.31,31.03,34.35,376.0,232.0,882.0,-1.18,-0.037,
672386,11.39,9.07,9.77,0.123,0.156,0.121,10.11,11.37,11.56,1405.0,915.0,1116.0,-0.7,0.035,
672478,2.8,,6.99,0.097,,0.145,25.23,,24.63,107.0,,272.0,,,
672515,10.11,9.77,7.13,0.11,0.125,0.128,14.44,18.3,18.48,554.0,399.0,855.0,2.64,-0.003,Gabriel Moreno
672580,8.32,7.64,8.17,0.125,0.109,0.117,15.37,16.72,17.24,937.0,1609.0,783.0,-0.53,-0.008,Maikel Garcia
672640,6.78,6.19,7.3,0.108,0.139,0.095,13.86,18.1,14.43,678.0,420.0,603.0,-1.11,0.044,Otto Lopez
672695,11.23,11.18,12.72,0.109,0.124,0.132,16.51,15.04,16.16,1042.0,1888.0,755.0,-1.54,-0.008,Geraldo Perdomo
672724,7.72,6.8,6.31,0.107,0.079,0.081,24.71,34.47,24.25,259.0,206.0,301.0,0.49,-0.002,Oswald Peraza
672744,7.63,,4.85,0.108,,0.134,32.06,,42.42,131.0,,165.0,,,
672761,8.91,6.67,6.81,0.148,0.12,0.178,23.75,18.89,19.11,640.0,360.0,382.0,-0.14,-0.058,Wenceel Pérez
672779,7.83,4.12,5.51,0.12,0.065,0.111,16.27,20.59,20.08,166.0,170.0,254.0,-1.39,-0.046,
672820,3.17,4.89,1.88,0.129,0.203,0.133,26.0,20.69,21.18,600.0,348.0,746.0,3.01,0.07,Lenyn Sosa
673237,3.19,3.83,3.8,0.181,0.191,0.143,17.14,17.6,18.07,846.0,574.0,1212.0,0.03,0.048,Yainer Diaz
673357,5.99,5.39,5.64,0.168,0.204,0.233,25.67,25.36,28.22,1519.0,1597.0,886.0,-0.25,-0.029,Luis Robert Jr.
673490,11.66,10.32,9.23,0.158,0.142,0.12,18.13,17.89,20.05,1329.0,872.0,1127.0,1.09,0.022,
673548,10.97,9.19,10.16,0.2,0.186,0.221,25.88,25.13,21.96,1677.0,1751.0,856.0,-0.97,-0.035,Seiya Suzuki
673962,4.43,6.45,5.28,0.166,0.186,0.174,29.0,29.88,25.26,700.0,589.0,871.0,1.17,0.012,Josh Jung
675656,,0.97,5.88,,0.11,0.18,,31.07,27.94,,103.0,272.0,-4.91,-0.07,
675961,4.66,,,0.056,,,26.94,,,193.0,,,,,
676059,4.87,4.82,4.58,0.149,0.154,0.265,26.28,22.66,21.06,411.0,706.0,698.0,0.24,-0.111,
676116,13.65,12.6,16.89,0.1,0.17,0.159,36.18,33.74,33.96,293.0,246.0,586.0,-4.29,0.011,
676356,5.78,5.47,5.28,0.081,0.119,0.123,21.39,25.78,20.41,173.0,128.0,436.0,0.19,-0.004,Jonny DeLuca
676369,7.63,11.86,8.35,0.22,0.228,0.206,25.0,38.98,26.84,236.0,118.0,503.0,3.51,0.022,
676391,5.56,3.04,3.69,0.157,0.12,0.098,10.94,12.78,9.36,594.0,493.0,1004.0,-0.65,0.022,Ernie Clement
676475,7.32,5.49,6.13,0.165,0.139,0.166,13.38,12.77,13.13,942.0,893.0,914.0,-0.64,-0.027,Alec Burleson
676480,5.19,,7.41,0.16,,0.081,28.15,,39.51,135.0,,162.0,,,
676572,5.41,7.11,5.85,0.128,0.145,0.109,17.37,20.38,21.28,259.0,211.0,376.0,1.26,0.036,
676609,9.41,9.81,8.09,0.092,0.151,0.097,26.34,25.59,26.71,372.0,469.0,865.0,1.72,0.054,José Caballero
676632,7.89,,6.99,0.057,,0.068,27.63,,27.27,152.0,,143.0,,,
676694,7.63,6.68,6.56,0.129,0.143,0.126,23.21,21.58,24.65,616.0,584.0,1205.0,0.12,0.017,
676701,4.9,3.42,6.53,0.146,0.145,0.085,22.55,19.86,21.88,204.0,146.0,352.0,-3.11,0.06,
676801,8.96,7.52,10.61,0.134,0.164,0.179,25.57,28.02,27.99,614.0,771.0,886.0,-3.09,-0.015,
676914,9.89,13.81,12.13,0.219,0.225,0.185,30.49,26.9,29.75,364.0,420.0,511.0,1.68,0.04,Davis Schneider
676946,,,12.93,,,0.08,,,19.05,,,147.0,,,
677008,6.73,7.41,4.82,0.124,0.208,0.128,32.69,30.56,26.32,104.0,108.0,228.0,2.59,0.08,
677347,9.2,,,0.197,,,31.61,,,174.0,,,,,
677551,7.05,8.66,10.42,0.166,0.191,0.157,12.19,11.48,13.13,993.0,958.0,259.0,-1.76,0.034,
677587,6.99,8.23,7.26,0.072,0.119,0.128,19.89,20.5,22.0,372.0,644.0,441.0,0.97,-0.009,Brayan Rocchio
677588,6.58,7.84,8.63,0.064,0.099,0.108,26.97,28.76,19.22,152.0,153.0,255.0,-0.79,-0.009,José Tena
677592,,,9.59,,,0.092,,,41.78,,,146.0,,,Everson Pereira
677594,7.5,5.84,5.77,0.199,0.193,0.205,24.5,23.54,24.76,1800.0,2039.0,1143.0,0.07,-0.012,Julio Rodríguez
677595,5.3,5.75,9.8,0.105,0.166,0.138,32.58,29.89,31.37,132.0,174.0,153.0,-4.05,0.028,
677649,4.32,6.55,4.67,0.122,0.089,0.118,29.6,29.69,22.38,625.0,229.0,706.0,1.88,-0.029,Ezequiel Duran
677800,6.31,10.17,9.82,0.197,0.196,0.253,26.39,27.54,22.22,523.0,403.0,621.0,0.35,-0.057,Wilyer Abreu
677870,5.19,,7.45,0.098,,0.144,30.37,,29.19,135.0,,161.0,,,
677942,8.84,9.56,6.79,0.183,0.086,0.155,25.17,29.88,31.7,147.0,251.0,265.0,2.77,-0.069,Blaze Alexander
677950,5.22,5.1,4.67,0.155,0.114,0.139,23.91,21.64,19.85,460.0,647.0,942.0,0.43,-0.025,Alek Thomas
677951,5.99,6.93,6.09,0.197,0.213,0.238,17.49,18.27,16.91,1269.0,2945.0,1035.0,0.84,-0.025,Bobby Witt Jr.
678009,12.28,9.63,7.83,0.245,0.136,0.128,22.81,20.74,29.55,228.0,405.0,511.0,1.8,0.008,
678225,8.49,9.66,7.95,0.047,0.11,0.055,26.64,24.37,27.65,259.0,238.0,264.0,1.71,0.055,
678246,9.88,9.74,10.58,0.137,0.189,0.151,18.41,21.47,19.28,668.0,503.0,690.0,-0.84,0.038,Miguel Vargas
678554,3.93,7.5,7.44,0.081,0.131,0.054,23.57,17.5,22.65,280.0,160.0,309.0,0.06,0.077,Curtis Mead
678662,3.4,4.77,3.91,0.169,0.163,0.189,27.24,27.17,26.62,793.0,1049.0,1330.0,0.86,-0.026,Ezequiel Tovar
678877,8.5,,3.46,0.288,,0.18,29.0,,35.06,200.0,,231.0,,,
