rank,name,proj,tag,gs,l8_st,nst,l8_all,last
300,"Gonsolin, Tony",7.33,marcel_il,0,,0,,
302,"Paddack, Chris",7.275355857350716,data_driven_full,9,3.6375000000000006,8,0.9625000000000001,2026-06-29
304,"Bassitt, Chris",7.198827236055436,marcel_il,10,6.237500000000001,8,7.0125,2026-06-03
306,"Crow, Coleman",7.192102304915112,data_driven_thin,4,4.25,4,4.32,2026-06-09
307,"Miller, Bobby",7.18,marcel_il,0,,0,,
310,"Evans, Logan",7.09,marcel_il,0,,0,,
309,"Irvin, Cole",7.09,marcel_il,0,,0,0.8,2026-07-31
311,"Wicks, Jordan",7.067169333392888,data_driven_thin,2,-5.05,2,-0.7249999999999999,2026-07-01
312,"Palmquist, Carson",7.052372992119851,data_driven_thin,5,-0.4666666666666668,6,0.5374999999999999,2026-08-04
313,Luis Morales,6.96592818106426,data_driven_thin,2,-6.4,2,-5.24,2026-07-31
314,"Giolito, Lucas",6.936774737117135,data_driven_thin,5,5.04,5,3.6999999999999997,2026-06-21
315,"Drake, Kohl",6.936033033008052,data_driven_thin,4,4.75,4,4.75,2026-08-06
316,"Allen, Logan",6.92,marcel_il,0,1.0,1,7.6,2026-07-18
317,"Aldegheri, Sam",6.909236831370784,data_driven_thin,6,3.9499999999999997,6,5.45,2026-07-04
318,"Quintana, Jose",6.908582198581264,marcel_il,9,5.0,8,5.0,2026-05-24
319,"Hendricks, Kyle",6.9,marcel_il,0,,0,,
320,"Kochanowicz, Jack",6.893725306193739,marcel_il,12,0.8125000000000004,8,0.8125000000000004,2026-06-06
321,"Paredes, Mike",6.84619391670515,marcel_il,5,5.92,5,4.525,2026-07-21
322,"Corbin, Patrick",6.835679304616042,marcel_il,15,4.425,8,1.3375,2026-07-21
326,"Falter, Bailey",6.693845736793117,data_driven_thin,2,-8.85,2,-4.42,2026-05-26
327,"Scholtens, Jesse",6.63685247875188,data_driven_thin,2,7.050000000000001,2,7.1125,2026-05-25
329,"Williams, Trevor",6.61,marcel_il,0,,0,5.2,2026-08-06
328,"Kopech, Michael",6.61,marcel_il,0,,0,,
330,"Gordon, Colton",6.59,marcel_il,0,0.1,1,-1.8000000000000003,2026-04-24
335,"McKenzie, Triston",6.49,marcel_il,0,,0,,
336,"Williamson, Brandon",6.424992254677656,marcel_il,6,4.0666666666666655,6,4.0666666666666655,2026-04-29
337,"Cannon, Jonathan",6.36,marcel_il,0,,0,-5.0,2026-04-12
338,"Mikolas, Miles",6.273035885857086,data_driven_full,12,3.525,8,2.3375,2026-08-06
340,"Woods Richardson, Simeon",6.233561204306972,data_driven_full,10,-3.0125,8,2.1125000000000003,2026-06-25
341,"Sullivan, Sean",6.164905871239967,marcel_il,5,-0.4600000000000001,5,-0.4600000000000001,2026-07-04
342,"Maeda, Kenta",6.13,marcel_il,0,,0,,
343,"Márquez, Germán",6.053694808616001,data_driven_full,10,6.475,8,3.5625,2026-08-04
345,"Sugano, Tomoyuki",5.895849168847596,data_driven_full,20,7.9125,8,7.9125,2026-08-05
346,"Walker, Taijuan",5.880667033499054,data_driven_thin,4,0.15000000000000013,4,-0.43999999999999984,2026-04-22
347,"Hill, Rich",5.63,marcel_il,0,,0,,
348,"Gomber, Austin",5.57,marcel_il,0,,0,,
350,"Flexen, Chris",5.01,marcel_il,0,,0,,
353,"Wentz, Joey",4.64,marcel_il,0,,0,,
355,"Hudson, Dakota",4.07,marcel_il,0,,0,,
360,"Blalock, Bradley",0.5,marcel_il,0,,0,,
