pitcher,xfp_v12,zone_pct,xwoba_per_pa,ip_resid_lag1,k_pct_lag1,pitch_entropy,bb_pfxz,pitching_plus,fp_strike_pct,il_60_stints_lag1,player_name,xfp_v11,xfp_v8_5,gs_2026,fp_per_start_actual_2026,k_pct_2026,stuff_xfp,ip_premium,rolling_ip_last5,ip_trend,ip_trend_score,v11_has_pitching_plus,delta_v12_v11,rank_v12,rank_v11,rank_change
694738,11.493,0.44735376044568237,0.20514731732869326,-0.5277373484039272,0.2112970711297071,1.296019698597727,-0.7158421052631578,106.37926605504587,0.56875,0.0,"Roupp, Landen",11.07322017337931,10.798323951632648,7.0,14.399999999999997,0.26875,10.688859269154982,0.1104495342479019,5.866666666666665,NORMAL,0.0989944262969138,True,0.42,65,64,-1
592332,11.426,0.4857142857142857,0.2121940274694844,0.5465078572745181,0.2435567010309278,0.8689532907035477,0.3418918918918919,104.2628846153846,0.6049382716049383,0.0,"Gausman, Kevin",12.418733473962046,12.957095028985773,7.0,15.028571428571428,0.2484472049689441,11.357279433833634,1.6005445138565548,5.8,HIGH,0.6878344051553839,True,-0.992,66,42,-24
605400,11.362,0.4640562863260936,0.216798108440126,-0.00032953609593455724,0.2389162561576354,1.5190884076799045,-0.8450609756097561,96.74857142857144,0.6428571428571429,0.0,"Nola, Aaron",11.038467932920986,11.24723044141024,6.0,7.716666666666665,0.25,10.575626912161056,0.679202298920309,5.266666666666667,NORMAL,0.2503480698644522,True,0.323,67,66,-1
676962,11.306,0.5166790214974055,0.21058851789558627,-0.17437705370470002,0.2538293216630197,1.231162224977751,-0.3133587786259542,106.08382978723408,0.5520833333333334,0.0,,,,,,,,,,,,,,68,0,-68
805673,11.183,0.5113636363636364,0.233762659746016,-0.21327820133280007,0.2485875706214689,1.5175757830137355,-0.0250480769230769,106.47928624535318,0.6581920903954802,0.0,,,,,,,,,,,,,,69,0,-69
671737,11.157,0.4837654165617921,0.2076435967790306,0.11990952379424158,0.2099173553719008,1.2603703904393162,-1.2545333333333333,98.79201133144475,0.5574712643678161,0.0,"Bradley, Taj",10.183882391479408,10.229734826496406,7.0,14.757142857142854,0.2528735632183908,10.48417139176045,-0.2534508250474463,5.933333333333334,NORMAL,0.1210303938852064,True,0.973,70,89,19
665795,11.087,0.46672453703703703,0.2145308723194617,-0.09381755027663008,0.2572898799313893,1.5451102507105274,-0.3292696629213483,99.73647706422022,0.5972222222222222,0.0,"Cabrera, Edward",11.528650440700808,11.718322756998967,6.0,11.533333333333331,0.1944444444444444,11.15298679198827,0.5702643375080392,5.666666666666667,NORMAL,-0.1752221969579806,True,-0.442,71,54,-17
682243,11.083,0.5173141891891891,0.21920145452259426,0.03494597256741461,0.1887755102040816,1.5485452220277034,-0.5113142857142857,98.84007672634272,0.6173469387755102,0.0,"Miller, Bryce",8.175164081171811,7.899880605701664,,,,8.38216436953151,-0.4767622334500263,,NORMAL,,True,2.907,72,151,79
663554,11.079,0.512514220705347,0.20691687813831858,-0.16367802660436315,0.2209856915739268,1.4205242638684743,0.3165625,93.63462365591398,0.6307692307692307,0.0,"Mize, Casey",11.526749071890803,11.97810084148514,6.0,13.0,0.2713178294573643,11.644644539093914,0.3315081160679813,5.533333333333333,HIGH,0.4885448187908152,True,-0.447,73,55,-18
592662,11.027,0.47203441917639827,0.20782400595222436,0.30301654955648516,0.2463576158940397,1.1651177382935611,0.2279166666666666,96.86969162995592,0.6012658227848101,0.0,"Ray, Robbie",11.466896890494128,11.954102676618964,7.0,14.385714285714284,0.2531645569620253,11.615113251726992,0.3394185605206914,5.533333333333333,NORMAL,0.2203266786346552,True,-0.44,74,58,-16
676440,11.015,0.5124841303427846,0.22450972985198367,0.4980494606295629,0.2110091743119266,1.554851102764401,-0.6836904761904762,99.677037037037,0.6013071895424836,0.0,"Bibee, Tanner",11.4772706397789,11.624185764232198,7.0,9.94285714285714,0.2091503267973856,10.461956490685218,1.1583836624199575,5.0666666666666655,NORMAL,-0.1894045792548785,True,-0.463,75,57,-18
676106,10.964,0.5110657133129043,0.24269548647703926,0.22358133915040668,0.165374677002584,1.448267471943266,0.1631125827814569,105.925900621118,0.7,0.0,"Hancock, Emerson",9.26398876766041,8.71871487098886,7.0,16.014285714285712,0.28125,8.320527843494027,0.4017231557570095,5.466666666666667,NORMAL,0.2478465183101813,True,1.7,76,122,46
645261,10.865,0.5244784135509193,0.2337804504044654,0.21575564494627386,0.1906040268456376,1.707999465305847,0.1174666666666666,101.62065868263474,0.6528497409326425,0.0,"Alcantara, Sandy",10.722103077812818,10.73894494526366,7.0,13.7,0.160621761658031,9.15395433898961,1.5882172915164006,6.8,HIGH,0.4584092928869574,True,0.143,77,76,-1
