batter_name,batter,pa,pitches,decision_raw,contact_raw,power_raw,process_raw,decision_plus,contact_plus,power_plus,process_plus,swing_pct,chase_pct,contact_pct,in_play_pct,whiff_pct,xwoba_actual,pa_pitches,xwoba_vs_expected,pp_rank,dec_rank,con_rank,pow_rank,xwoba_rank,rank_gap,batscore,batscore_rank
Aaron Judge,592450,761,3207,0.0726715022671335,-0.0239457006144762,0.2354626324819059,0.2841884341345632,106.7,91.4,147.9,148.1,0.427,0.22,0.71,0.133,0.127,0.612,761,0.235,1.0,0.689,0.156,1.0,1.0,0.0,,
Shohei Ohtani,660271,803,3170,0.0649244262850054,-0.0012413297467421,0.1943909500560647,0.258074046594328,99.1,101.3,139.8,142.7,0.472,0.28,0.714,0.164,0.127,0.551,803,0.194,0.998,0.421,0.493,0.998,0.998,0.0,,
Juan Soto,665742,798,3318,0.06982229301521,0.0081221435144058,0.1541953048935435,0.2321397414231594,103.9,105.3,131.9,137.2,0.375,0.16,0.816,0.156,0.075,0.524,798,0.154,0.995,0.6,0.64,0.995,0.995,0.0,,
Yordan Álvarez,670541,644,2356,0.053679318272343,0.0418176973536214,0.1081208730275824,0.203617888653547,88.1,119.9,122.8,131.3,0.479,0.273,0.788,0.201,0.09,0.46,644,0.108,0.993,0.131,0.949,0.969,0.958,0.035,,
Fernando Tatís,665487,472,1665,0.0814041640934739,0.0052793818343397,0.113200352889444,0.1998838988172577,115.2,104.1,123.8,130.5,0.512,0.302,0.705,0.198,0.132,0.485,472,0.113,0.99,0.908,0.605,0.973,0.976,0.014,,
Marcell Ozuna,542303,697,2913,0.0792149178294222,-0.0181506138674357,0.1368747115739795,0.197939015535966,113.1,93.9,128.4,130.1,0.468,0.298,0.733,0.153,0.137,0.51,697,0.137,0.988,0.867,0.226,0.993,0.988,0.0,,
Bobby Witt,677951,734,2700,0.073070713131665,0.0262321595371279,0.0963606731014287,0.1956635457702218,107.1,113.2,120.5,129.6,0.511,0.325,0.783,0.207,0.099,0.456,734,0.096,0.985,0.7,0.849,0.96,0.948,0.037,,
Brent Rooker,667670,618,2409,0.0695742212158381,-0.0126803745087513,0.1333202689440638,0.1902141156511505,103.7,96.3,127.7,128.5,0.501,0.286,0.664,0.156,0.16,0.513,618,0.133,0.983,0.591,0.291,0.988,0.99,-0.007,,
Vladimir Guerrero,665489,708,2662,0.0739723965478406,0.026618803373342,0.0884499652027994,0.189041165123982,108.0,113.3,118.9,128.2,0.48,0.279,0.772,0.202,0.095,0.453,708,0.088,0.981,0.723,0.852,0.949,0.942,0.039,,
Kerry Carpenter,681481,340,1313,0.0669333587449314,-0.0078799969466359,0.1293365600137263,0.1883899218120218,101.1,98.4,127.0,128.1,0.511,0.33,0.751,0.17,0.145,0.494,340,0.129,0.978,0.494,0.375,0.983,0.981,-0.003,,
Corey Seager,608369,529,1885,0.0865863433212372,0.0097809656690845,0.0915238599600374,0.1878911689503591,120.3,106.0,119.5,128.0,0.532,0.286,0.757,0.205,0.115,0.454,529,0.092,0.976,0.956,0.66,0.952,0.944,0.032,,
Giancarlo Stanton,519317,536,2132,0.0547734926588769,-0.004012699515905,0.1300585947567679,0.1808193878997397,89.2,100.1,127.1,126.5,0.469,0.277,0.687,0.157,0.145,0.5,536,0.13,0.973,0.143,0.444,0.985,0.985,-0.012,,
Rafael Devers,646240,593,2402,0.0746273523034655,-0.013668626409005,0.109515109341083,0.1704738352355435,108.6,95.9,123.1,124.3,0.509,0.332,0.747,0.162,0.144,0.459,593,0.11,0.971,0.741,0.283,0.971,0.954,0.017,,
Jackson Merrill,701538,625,2331,0.0736139375244502,0.0131361015360616,0.0791890605766511,0.165939099637163,107.6,107.5,117.1,123.4,0.571,0.353,0.819,0.208,0.111,0.437,625,0.079,0.969,0.713,0.709,0.927,0.895,0.074,,
Pavin Smith,656976,158,633,0.0557100230790991,0.0229463861093946,0.0868990840899783,0.1655554932784721,90.1,111.8,118.6,123.3,0.381,0.233,0.822,0.171,0.079,0.465,158,0.087,0.966,0.15,0.817,0.947,0.969,-0.003,,
Salvador Pérez,521692,673,2373,0.0726635629366645,0.0095650418513436,0.0813937975156667,0.1636224023036749,106.7,106.0,117.5,122.9,0.581,0.447,0.709,0.204,0.152,0.427,673,0.081,0.964,0.689,0.66,0.932,0.86,0.104,,
Matt Wallner,670242,267,1061,0.0776688625183066,-0.0514050193374926,0.135475810641631,0.1617396538224451,111.6,79.5,128.2,122.5,0.479,0.265,0.642,0.121,0.175,0.518,267,0.135,0.961,0.838,0.012,0.99,0.993,-0.032,,
Kyle Schwarber,656941,718,2969,0.0597574521622007,-0.0215389055877391,0.1194203089644534,0.1576388555389149,94.1,92.5,125.0,121.6,0.402,0.213,0.718,0.133,0.121,0.493,718,0.119,0.959,0.247,0.188,0.978,0.978,-0.019,,
Ketel Marte,606466,596,2215,0.0712319385248528,0.0118934592199205,0.0704952201014259,0.1536206178461993,105.3,107.0,115.4,120.8,0.483,0.265,0.816,0.19,0.093,0.45,596,0.07,0.955,0.65,0.696,0.904,0.933,0.022,,
Oneil Cruz,665833,617,2478,0.0470647369978672,-0.0085676302364545,0.1151386369897482,0.1536357437511609,81.6,98.1,124.2,120.8,0.464,0.322,0.676,0.152,0.151,0.469,617,0.115,0.955,0.05,0.367,0.976,0.971,-0.016,,
Michael Toglia,669911,470,1973,0.062302294316404,-0.0314176671972399,0.1214269912210656,0.1523116183402297,96.6,88.2,125.4,120.5,0.451,0.288,0.677,0.134,0.151,0.499,470,0.121,0.952,0.328,0.084,0.981,0.983,-0.031,,
Austin Riley,663586,472,1829,0.0821849962154055,-0.0152156570270747,0.0832626569721617,0.1502319961604924,116.0,95.2,117.9,120.1,0.501,0.294,0.737,0.169,0.128,0.463,472,0.083,0.949,0.915,0.259,0.938,0.964,-0.015,,
Julio Rodríguez,677594,620,2407,0.0738338072484128,-0.0099757802240615,0.083407151111598,0.1472651781359493,107.8,97.5,117.9,119.5,0.541,0.358,0.718,0.173,0.155,0.444,620,0.083,0.947,0.719,0.34,0.938,0.924,0.023,,
Jordan Westburg,676059,466,1708,0.0772578172433776,0.0075358791626477,0.0612914145342038,0.1460851109402292,111.2,105.1,113.5,119.2,0.508,0.292,0.753,0.196,0.132,0.431,466,0.061,0.944,0.818,0.632,0.877,0.873,0.071,,
Jesús Sánchez,660821,552,2048,0.0624385108800139,0.0035932747268387,0.0796713682609193,0.1457031538677721,96.7,103.4,117.2,119.1,0.536,0.327,0.732,0.178,0.151,0.445,552,0.08,0.942,0.334,0.586,0.93,0.927,0.015,,
Byron Buxton,621439,394,1475,0.0795140190435002,-0.0098107372042033,0.0750190156339347,0.1447222974732316,113.4,97.6,116.3,118.9,0.541,0.29,0.704,0.178,0.165,0.451,394,0.075,0.939,0.873,0.347,0.913,0.938,0.001,,
Yainer Diaz,673237,641,2204,0.0754964503801117,0.0199832648162953,0.0460749364171172,0.1415546516135244,109.5,110.5,110.6,118.3,0.586,0.423,0.763,0.226,0.131,0.4,641,0.046,0.937,0.763,0.776,0.818,0.746,0.191,,
Gunnar Henderson,683002,729,2942,0.0613574430760305,0.0017390254348809,0.0769913972688359,0.1400878657797474,95.6,102.6,116.6,118.0,0.444,0.239,0.761,0.163,0.099,0.443,729,0.077,0.935,0.291,0.541,0.918,0.918,0.017,,
Bryce Harper,547180,647,2574,0.0821104199399631,-0.0173265332099872,0.0739690529931726,0.1387529397231485,115.9,94.3,116.0,117.7,0.526,0.311,0.705,0.166,0.134,0.432,647,0.074,0.932,0.912,0.237,0.91,0.88,0.052,,
Michael Harris,671739,482,1727,0.0586989938917454,0.0160095754213114,0.0635030481638322,0.1382116174768892,93.0,108.7,114.0,117.6,0.552,0.391,0.759,0.208,0.131,0.42,482,0.064,0.93,0.201,0.746,0.885,0.831,0.099,,
Mark Vientos,668901,531,2052,0.0676311424642739,-0.0166431297874981,0.0866043868396892,0.137592399516465,101.8,94.6,118.5,117.4,0.501,0.33,0.683,0.161,0.161,0.456,531,0.087,0.927,0.529,0.243,0.943,0.948,-0.021,,
James Wood,695578,338,1404,0.0445361957366926,-0.0042459760764397,0.0966709864357028,0.1369612060959557,79.2,100.0,120.5,117.3,0.382,0.241,0.733,0.141,0.105,0.461,338,0.097,0.924,0.025,0.436,0.96,0.961,-0.037,,
Teoscar Hernández,606192,728,2903,0.0812375512177608,-0.0306386695926705,0.0864767236416215,0.1370756052667117,115.1,88.5,118.5,117.3,0.507,0.317,0.684,0.154,0.16,0.46,728,0.086,0.924,0.906,0.09,0.943,0.958,-0.034,,
Brandon Lowe,664040,435,1680,0.0853655736873785,-0.0217830348055392,0.0716491539891849,0.1352316928710243,119.1,92.4,115.6,117.0,0.552,0.301,0.695,0.167,0.167,0.439,435,0.072,0.92,0.947,0.183,0.908,0.901,0.019,,
Francisco Lindor,596019,774,3028,0.0727395553245103,0.0040140116186473,0.0584098757587019,0.1351634427018596,106.8,103.5,113.0,116.9,0.488,0.276,0.787,0.182,0.105,0.437,774,0.058,0.918,0.694,0.588,0.866,0.895,0.023,,
Jake Burger,669394,593,2124,0.0615115474969436,0.006364854619665,0.066838229622473,0.1347146317390818,95.8,104.6,114.6,116.8,0.526,0.38,0.69,0.187,0.151,0.435,593,0.067,0.915,0.303,0.619,0.891,0.89,0.025,,
Kyle Tucker,663656,355,1417,0.0723954896660758,0.0144515663740309,0.0461192604790737,0.1329663165191804,106.4,108.1,110.6,116.5,0.416,0.242,0.816,0.166,0.073,0.422,355,0.046,0.913,0.673,0.736,0.818,0.844,0.069,,
J. D. Martinez,502110,519,2157,0.0767655594912204,-0.0266714479226332,0.0825813113746896,0.1326754229432769,110.7,90.2,117.7,116.4,0.482,0.323,0.711,0.142,0.145,0.457,519,0.083,0.91,0.804,0.12,0.935,0.952,-0.042,,
Joc Pederson,592626,467,1887,0.0507705854911384,-0.0108333819517878,0.0919454710659595,0.1318826746053101,85.3,97.1,119.6,116.3,0.443,0.301,0.766,0.148,0.102,0.443,467,0.092,0.908,0.094,0.324,0.954,0.918,-0.01,,
Logan O'Hoppe,681351,532,2015,0.0735833511507248,-0.0207274261994424,0.0783260803817065,0.131182005332989,107.6,92.8,116.9,116.1,0.519,0.329,0.706,0.165,0.163,0.446,532,0.078,0.906,0.713,0.195,0.921,0.93,-0.024,,
Christian Yelich,592885,314,1268,0.0762687854563464,0.006931882049912,0.0457006870686484,0.1289013545749069,110.2,104.8,110.5,115.6,0.457,0.226,0.769,0.169,0.094,0.416,314,0.046,0.903,0.785,0.623,0.814,0.812,0.091,,
Tyler O'Neill,641933,477,2015,0.066463474774425,-0.0432597580828768,0.104060448551217,0.1272641652427651,100.6,83.1,122.0,115.3,0.446,0.263,0.706,0.128,0.142,0.476,477,0.104,0.901,0.482,0.039,0.966,0.973,-0.072,,
Cal Raleigh,663728,629,2523,0.0732817566933421,-0.0252579279201466,0.0788021388147472,0.1268259675879427,107.3,90.9,117.0,115.2,0.523,0.324,0.714,0.15,0.147,0.443,629,0.079,0.898,0.702,0.146,0.925,0.918,-0.02,,
Riley Greene,682985,637,2625,0.0645040485417978,-0.0150998623283476,0.0758345806655125,0.1252387668789626,98.7,95.3,116.4,114.9,0.442,0.257,0.756,0.15,0.112,0.442,637,0.076,0.896,0.403,0.263,0.915,0.912,-0.016,,
Nick Castellanos,592206,703,2479,0.0785535204537961,0.002301633031346,0.0441560139516172,0.1250111674367594,112.4,102.8,110.2,114.8,0.581,0.388,0.691,0.202,0.164,0.406,703,0.044,0.893,0.849,0.55,0.805,0.766,0.127,,
Manny Machado,592518,674,2518,0.0705823016617733,0.0119092991133473,0.0420108748382465,0.1245024756133673,104.7,107.0,109.7,114.7,0.52,0.298,0.774,0.197,0.118,0.407,674,0.042,0.89,0.632,0.696,0.798,0.772,0.118,,
Pete Alonso,624413,770,3097,0.0581244727344906,0.0031657858797092,0.0633892504679849,0.1246795090821848,92.5,103.2,114.0,114.7,0.427,0.3,0.774,0.158,0.098,0.425,770,0.063,0.89,0.188,0.573,0.885,0.85,0.04,,
Iván Herrera,671056,269,1069,0.0533279390061907,0.0108624062080466,0.0598583220255551,0.1240486672397924,87.8,106.5,113.3,114.6,0.435,0.259,0.779,0.173,0.093,0.432,269,0.06,0.886,0.122,0.669,0.873,0.88,0.006,,
Willson Contreras,575929,364,1408,0.0797704512329166,-0.0255982706127835,0.0691463587649484,0.1233185393850814,113.6,90.7,115.1,114.5,0.499,0.3,0.705,0.15,0.165,0.45,364,0.069,0.883,0.877,0.14,0.898,0.933,-0.05,,
José Siri,642350,458,1824,0.0646174888610927,-0.037012805747338,0.0958849200896691,0.1234896032034238,98.8,85.8,120.4,114.5,0.508,0.368,0.637,0.134,0.201,0.451,458,0.096,0.883,0.413,0.065,0.956,0.938,-0.055,,
Freddie Freeman,518692,697,2744,0.0801706747167457,0.0032322047516814,0.0383422428482396,0.1217451223166668,114.0,103.2,109.0,114.1,0.497,0.265,0.814,0.182,0.091,0.399,697,0.038,0.879,0.886,0.573,0.788,0.734,0.145,,
Tyler Soderstrom,691016,214,770,0.0592383622568457,0.0046408017738843,0.0570532336930641,0.1209323977237943,93.6,103.8,112.7,114.0,0.487,0.3,0.696,0.178,0.138,0.432,214,0.057,0.875,0.234,0.597,0.862,0.88,-0.005,,
Carlos Correa,621043,378,1426,0.0671536009982279,0.0287585890350643,0.0251182593530902,0.1210304493863825,101.3,114.3,106.4,114.0,0.449,0.261,0.792,0.19,0.085,0.392,378,0.025,0.875,0.508,0.872,0.725,0.7,0.175,,
Randal Grichuk,545341,279,1088,0.0698653600480388,0.021182608793362,0.0290918906383757,0.1201398594797766,104.0,111.0,107.2,113.8,0.473,0.327,0.775,0.193,0.086,0.41,279,0.029,0.872,0.603,0.798,0.753,0.787,0.085,,
Ryan Mountcastle,663624,517,1940,0.0746951338660615,-0.0027993674909082,0.0478698574840922,0.1197656238592455,108.7,100.6,110.9,113.7,0.563,0.38,0.732,0.19,0.131,0.41,517,0.048,0.869,0.745,0.461,0.828,0.787,0.082,,
Luis García,671277,532,1893,0.0618800640138092,0.0309006051418135,0.025572343242045,0.1183530123976677,96.1,115.2,106.5,113.4,0.518,0.35,0.798,0.221,0.098,0.383,532,0.026,0.867,0.311,0.889,0.731,0.673,0.194,,
Michael Conforto,624424,492,1984,0.0656479407334825,-0.0107048631248028,0.0627227613141024,0.1176658389227821,99.8,97.2,113.8,113.3,0.448,0.243,0.774,0.164,0.103,0.434,492,0.063,0.863,0.456,0.328,0.881,0.886,-0.023,,
Starling Marte,516782,448,1726,0.0723979961000782,0.0010745349640238,0.0442711911477043,0.1177437222118063,106.4,102.3,110.2,113.3,0.502,0.329,0.768,0.181,0.125,0.416,448,0.044,0.863,0.673,0.534,0.805,0.812,0.051,,
Nolan Gorman,669357,419,1672,0.0676769542586218,-0.0481206557536682,0.0978070511188109,0.1173633496237646,101.8,80.9,120.7,113.2,0.505,0.294,0.671,0.132,0.184,0.464,419,0.098,0.86,0.529,0.022,0.964,0.966,-0.106,,
Triston Casas,671213,252,1031,0.0571520356968841,-0.0201899898214585,0.0785087740135113,0.1154708198889369,91.5,93.1,116.9,112.8,0.442,0.22,0.74,0.137,0.136,0.441,252,0.079,0.856,0.171,0.211,0.921,0.906,-0.05,,
Heliot Ramos,671218,512,1999,0.082641083064604,-0.0211159255904994,0.0537031097420303,0.1152282672161348,116.4,92.7,112.1,112.8,0.502,0.293,0.712,0.171,0.136,0.435,512,0.054,0.856,0.923,0.191,0.849,0.89,-0.034,,
Lawrence Butler,671732,460,1859,0.0635276434278391,0.001337472122161,0.0501518010067743,0.1150169165567745,97.8,102.4,111.4,112.7,0.476,0.27,0.74,0.169,0.116,0.421,460,0.05,0.852,0.368,0.538,0.84,0.839,0.013,,
Bryan Reynolds,668804,706,2671,0.0800531230331823,-0.010436256462534,0.0440324965554145,0.1136493631260627,113.9,97.3,110.1,112.4,0.502,0.276,0.746,0.18,0.136,0.425,706,0.044,0.85,0.883,0.334,0.801,0.85,0.0,,
Christian Walker,572233,569,2387,0.0869796833606843,-0.0263767834200346,0.0526038917589936,0.1132067916996433,120.7,90.4,111.8,112.3,0.484,0.252,0.758,0.155,0.114,0.428,569,0.053,0.847,0.964,0.127,0.843,0.866,-0.019,,
J. T. Realmuto,592663,448,1731,0.065464519788573,-0.0088478335165822,0.054297666703212,0.1109143529752028,99.6,98.0,112.2,111.9,0.5,0.305,0.756,0.172,0.116,0.42,448,0.054,0.845,0.444,0.363,0.852,0.831,0.014,,
Matt Olson,621566,693,2992,0.0740504091674235,-0.0229881030600182,0.0594447456824105,0.1105070517898158,108.0,91.8,113.2,111.8,0.498,0.266,0.758,0.148,0.117,0.415,693,0.059,0.841,0.723,0.162,0.869,0.805,0.036,,
Shea Langeliers,669127,539,2011,0.0658510084408678,-0.0042961600957334,0.0490515895562344,0.1106064379013688,100.0,99.9,111.1,111.8,0.495,0.322,0.688,0.173,0.131,0.42,539,0.049,0.841,0.464,0.43,0.834,0.831,0.01,,
Eugenio Suárez,553993,660,2612,0.0687173260274395,-0.0138170901564834,0.0554343320172779,0.110334567888234,102.8,95.8,112.4,111.7,0.473,0.234,0.707,0.16,0.13,0.431,660,0.055,0.837,0.57,0.28,0.856,0.873,-0.036,,
Connor Norby,681393,204,793,0.0939763473394458,-0.0495385962725344,0.0656698408315024,0.1101075918984137,127.5,80.3,114.4,111.7,0.575,0.361,0.714,0.149,0.182,0.441,204,0.066,0.837,0.993,0.019,0.889,0.906,-0.069,,
Seiya Suzuki,673548,584,2509,0.0654866373826625,-0.0190197991070593,0.0621509718440324,0.1086178101196357,99.7,93.6,113.7,111.4,0.396,0.208,0.794,0.142,0.088,0.442,584,0.062,0.832,0.449,0.219,0.879,0.912,-0.08,,
Jarren Duran,680776,748,2867,0.0632275791600511,0.011925010201998,0.0336763184377877,0.1088289077998369,97.5,107.0,108.1,111.4,0.485,0.305,0.767,0.182,0.106,0.405,748,0.034,0.832,0.354,0.696,0.776,0.76,0.072,,
Mookie Betts,605141,594,2348,0.0652892783667235,0.0492529689960745,-0.0062941074126298,0.1082481399501682,99.5,123.2,100.2,111.3,0.405,0.194,0.851,0.194,0.056,0.37,594,-0.006,0.826,0.438,0.971,0.523,0.561,0.265,,
Paul Goldschmidt,502671,673,2794,0.0664075295756396,-0.0182951860263815,0.0599587819216511,0.1080711254709093,100.6,93.9,113.3,111.3,0.477,0.26,0.758,0.157,0.121,0.428,673,0.06,0.826,0.482,0.226,0.873,0.866,-0.04,,
Lenyn Sosa,672820,368,1377,0.0605421722551957,0.0145858518096274,0.0331886914291994,0.1083167154940225,94.8,108.1,108.0,111.3,0.527,0.392,0.788,0.201,0.094,0.392,368,0.033,0.826,0.264,0.736,0.772,0.7,0.126,,
Alec Bohm,664761,640,2214,0.0711428065139607,0.0359396703948262,0.0005911901250442,0.1076736670338312,105.2,117.4,101.6,111.2,0.503,0.294,0.813,0.227,0.078,0.371,640,0.001,0.821,0.646,0.923,0.58,0.567,0.254,,
Elly De La Cruz,682829,695,2751,0.0474162868152872,-0.0071437584531476,0.0670677112121736,0.1073402395743132,82.0,98.7,114.7,111.1,0.434,0.302,0.714,0.146,0.138,0.444,695,0.067,0.818,0.056,0.396,0.893,0.924,-0.106,,
Jhonkensy Noel,678877,222,824,0.0495254867747289,-0.0142475800908762,0.0705976975509664,0.105875604234819,84.1,95.6,115.4,110.8,0.542,0.43,0.721,0.158,0.176,0.427,222,0.071,0.814,0.077,0.27,0.904,0.86,-0.046,,
William Contreras,661388,687,2722,0.079814361092119,-0.0020256928073037,0.0278818314488698,0.1056704997336851,113.7,100.9,107.0,110.8,0.472,0.268,0.715,0.172,0.122,0.408,687,0.028,0.814,0.879,0.472,0.743,0.776,0.038,,
Brenton Doyle,686668,614,2196,0.0808607743535177,-0.0093088425784657,0.0340448532006403,0.1055967849756923,114.7,97.8,108.2,110.8,0.514,0.31,0.691,0.186,0.14,0.414,614,0.034,0.814,0.902,0.36,0.78,0.8,0.014,,
Ronald Acuña,660670,224,913,0.0867853624815989,-0.026184405836972,0.0447223897367017,0.1053233463813285,120.5,90.5,110.3,110.7,0.471,0.231,0.787,0.154,0.116,0.41,224,0.045,0.809,0.961,0.133,0.809,0.787,0.022,,
Colton Cowser,681297,579,2370,0.0581888542280284,-0.0221701191107567,0.0683774107398807,0.1043961458571524,92.5,92.2,114.9,110.5,0.448,0.241,0.716,0.143,0.13,0.441,579,0.068,0.806,0.188,0.173,0.896,0.906,-0.1,,
Joey Bart,663698,286,1140,0.0506964943573604,-0.0002311997465132,0.0529977314247391,0.1034630260355864,85.2,101.7,111.9,110.3,0.436,0.29,0.686,0.161,0.106,0.417,286,0.053,0.804,0.091,0.504,0.845,0.818,-0.014,,
Junior Caminero,691406,176,629,0.0509844510525149,0.0330874904042782,0.0186438671169323,0.1027158085737255,85.5,116.1,105.1,110.2,0.477,0.329,0.719,0.202,0.141,0.364,176,0.019,0.801,0.097,0.902,0.695,0.512,0.289,,
Ryan O'Hearn,656811,498,1943,0.0610146701918597,0.034583056560796,0.006836999951902,0.1024347267045579,95.3,116.8,102.8,110.1,0.465,0.294,0.785,0.196,0.076,0.378,498,0.007,0.799,0.281,0.918,0.623,0.628,0.171,,
Trevor Larnach,663616,404,1599,0.0614477649735982,0.0116352596652356,0.0286939173461462,0.1017769419849801,95.7,106.8,107.1,110.0,0.441,0.25,0.662,0.169,0.114,0.408,404,0.029,0.795,0.297,0.684,0.749,0.776,0.019,,
Kyle Stowers,669065,217,854,0.0733759779741242,-0.0301535284691099,0.058569865414834,0.1017923149198483,107.4,88.7,113.0,110.0,0.543,0.336,0.68,0.146,0.181,0.419,217,0.059,0.795,0.705,0.093,0.866,0.822,-0.027,,
Matt Chapman,656305,651,2724,0.0675477478856134,-0.0125317034565616,0.0464865525249868,0.1015025969540386,101.7,96.4,110.6,109.9,0.445,0.212,0.735,0.155,0.093,0.416,651,0.046,0.788,0.524,0.294,0.818,0.812,-0.024,,
Andy Pages,681624,464,1796,0.0766222395010417,-0.0076615030322219,0.0323974295275582,0.101358165996378,110.6,98.5,107.9,109.9,0.508,0.327,0.781,0.173,0.113,0.406,464,0.032,0.788,0.8,0.383,0.769,0.766,0.022,,
Jorge Soler,624585,587,2410,0.0655885254102594,-0.0140438755275011,0.0501001085621323,0.1016447584448906,99.8,95.7,111.3,109.9,0.446,0.253,0.728,0.15,0.122,0.426,587,0.05,0.788,0.456,0.275,0.838,0.855,-0.067,,
Jackson Chourio,694192,581,2138,0.0612297562384378,0.0120369002225906,0.0280427974190781,0.1013094538801066,95.5,107.0,107.0,109.9,0.489,0.334,0.75,0.196,0.118,0.396,581,0.028,0.788,0.286,0.696,0.743,0.712,0.076,,
Alec Burleson,676475,607,2152,0.0747443703685988,0.0259910159847779,-0.0006906695569847,0.100044716796392,108.7,113.1,101.3,109.6,0.556,0.341,0.822,0.226,0.094,0.357,607,-0.001,0.782,0.745,0.845,0.562,0.465,0.317,,
Taylor Ward,621493,678,2648,0.0705747192717954,-0.0037882549581715,0.0321273086539755,0.0989137729675993,104.6,100.2,107.8,109.4,0.434,0.221,0.793,0.165,0.103,0.42,678,0.032,0.778,0.628,0.452,0.764,0.831,-0.053,,
Lars Nootbaar,663457,403,1655,0.0496923712152627,0.0255327310124145,0.0240651427953444,0.0992902450230216,84.2,112.9,106.2,109.4,0.372,0.187,0.804,0.164,0.059,0.399,403,0.024,0.778,0.08,0.84,0.719,0.734,0.044,,
Yandy Díaz,650490,634,2511,0.0684860333055693,0.0297520560416871,-0.0001813648810817,0.0980567244661747,102.6,114.7,101.4,109.2,0.441,0.204,0.844,0.192,0.054,0.367,634,-0.0,0.775,0.563,0.874,0.57,0.533,0.242,,
Romy Gonzalez,663853,217,830,0.0762619216166553,-0.0112038536647335,0.0325058274597285,0.0975638954116503,110.2,96.9,107.9,109.1,0.552,0.349,0.699,0.176,0.149,0.411,217,0.033,0.772,0.785,0.318,0.769,0.792,-0.02,,
Willy Adames,642715,700,2785,0.0795476282898211,-0.0219656344020145,0.0397565750313168,0.0973385689191234,113.4,92.3,109.3,109.0,0.498,0.294,0.719,0.161,0.129,0.414,700,0.04,0.77,0.873,0.178,0.792,0.8,-0.03,,
Ben Rice,700250,184,756,0.077484002852978,-0.0296156146459103,0.0467611252920278,0.0946295134990955,111.4,89.0,110.7,108.5,0.459,0.229,0.763,0.147,0.11,0.422,184,0.047,0.768,0.829,0.1,0.823,0.844,-0.076,,
Mj Melendez,669004,468,1909,0.084116058485228,-0.0248542663224513,0.0351133092653463,0.0943751014281231,117.9,91.0,108.4,108.4,0.528,0.261,0.717,0.164,0.14,0.399,468,0.035,0.765,0.939,0.15,0.782,0.734,0.031,,
Nick Gonzales,693304,395,1402,0.0862823608234843,-0.0003168974797087,0.0077225363396273,0.0936879996834029,120.0,101.7,103.0,108.3,0.561,0.314,0.738,0.21,0.13,0.374,395,0.008,0.76,0.954,0.504,0.638,0.593,0.167,,
Luke Raley,670042,463,1739,0.0773171098287624,-0.0289193534565231,0.0454954744044386,0.0938932307766779,111.2,89.3,110.4,108.3,0.52,0.302,0.651,0.159,0.17,0.416,463,0.045,0.76,0.818,0.104,0.811,0.812,-0.052,,
Derek Hill,656537,172,609,0.0647488687607553,-0.0188430947047978,0.047831331122639,0.0937371051785964,98.9,93.6,110.9,108.3,0.542,0.33,0.732,0.179,0.181,0.427,172,0.048,0.76,0.419,0.219,0.828,0.86,-0.1,,
Lourdes Gurriel,666971,568,2127,0.0686704271779671,0.0211022224248862,0.0026792712507399,0.0924519208535933,102.8,111.0,102.0,108.0,0.511,0.318,0.805,0.201,0.096,0.373,568,0.003,0.755,0.57,0.798,0.596,0.582,0.173,,
Wyatt Langford,694671,567,2287,0.064376202369222,0.0134599452199332,0.0139604549071281,0.0917966024962835,98.6,107.6,104.2,107.9,0.426,0.238,0.806,0.171,0.087,0.383,567,0.014,0.753,0.396,0.714,0.668,0.673,0.08,,
Travis D'Arnaud,518595,346,1368,0.082048061158367,-0.0203566574386894,0.0295737720970854,0.091265175816763,115.9,93.0,107.3,107.8,0.506,0.303,0.742,0.165,0.15,0.406,346,0.03,0.749,0.912,0.206,0.755,0.766,-0.017,,
