batter_name,batter,pa,pitches,decision_raw,contact_raw,power_raw,process_raw,decision_plus,contact_plus,power_plus,process_plus,swing_pct,chase_pct,contact_pct,in_play_pct,whiff_pct,xwoba_actual,pa_pitches,xwoba_vs_expected,pp_rank,dec_rank,con_rank,pow_rank,xwoba_rank,rank_gap,batscore,batscore_rank
Kyle Mccann,668832,162,656,0.0756407973455145,-0.049791216946179,0.0171749985600691,0.0430245789594046,109.6,80.2,104.9,97.7,0.463,0.267,0.638,0.13,0.2,0.4,162,0.017,0.349,0.769,0.017,0.688,0.746,-0.397,,
Keibert Ruiz,660688,486,1659,0.0445241013625295,0.0644597011166903,-0.0662756322424015,0.0427081702368183,79.2,129.8,88.4,97.6,0.523,0.349,0.869,0.247,0.059,0.299,486,-0.066,0.345,0.025,0.994,0.099,0.063,0.282,,
Ke'Bryan Hayes,663647,418,1542,0.0570802698236767,0.031249043217361,-0.0456538258532353,0.0426754871878023,91.4,115.4,92.5,97.6,0.449,0.277,0.812,0.2,0.073,0.322,418,-0.046,0.345,0.167,0.893,0.213,0.188,0.157,,
Willie Calhoun,641432,255,960,0.0607759730288687,0.0427457915583158,-0.0613551659917562,0.0421665985954283,95.1,120.3,89.4,97.5,0.436,0.235,0.855,0.208,0.054,0.316,255,-0.061,0.339,0.275,0.954,0.122,0.153,0.186,,
Josh Smith,669701,594,2334,0.0672401813431246,-0.0016558341575915,-0.0231668312647698,0.0424175159207632,101.4,101.1,96.9,97.5,0.47,0.227,0.806,0.175,0.093,0.341,594,-0.023,0.339,0.513,0.484,0.387,0.328,0.011,,
Leody Taveras,665750,534,2030,0.0618379682144812,0.0169931521261135,-0.0365339059815102,0.0422972143590845,96.1,109.2,94.3,97.5,0.486,0.287,0.763,0.185,0.117,0.346,534,-0.037,0.339,0.311,0.76,0.274,0.364,-0.025,,
Tyler Nevin,663527,286,1128,0.0741714333447214,-0.0095862299696692,-0.0229942259952887,0.0415909773797633,108.2,97.6,96.9,97.4,0.473,0.24,0.777,0.168,0.106,0.349,286,-0.023,0.332,0.73,0.347,0.387,0.39,-0.058,,
Brett Baty,683146,191,759,0.0653209755327369,-0.0030497846544356,-0.0207263083862225,0.0415448824920787,99.5,100.5,97.4,97.4,0.511,0.285,0.73,0.166,0.123,0.332,191,-0.021,0.332,0.438,0.456,0.41,0.277,0.055,,
Dj Lemahieu,518934,231,860,0.0506591506972421,0.0387469419941783,-0.0476246379656461,0.0417814547257742,85.2,118.6,92.1,97.4,0.447,0.23,0.856,0.205,0.066,0.322,231,-0.048,0.332,0.091,0.939,0.189,0.188,0.144,,
Mitch Haniger,571745,430,1775,0.0697015706765405,-0.0251321497101194,-0.003416002819852,0.0411534181465689,103.8,90.9,100.8,97.3,0.441,0.272,0.721,0.145,0.133,0.381,430,-0.003,0.327,0.597,0.146,0.535,0.654,-0.327,,
Jordan Walker,691023,198,727,0.0589818570558771,-0.0023265449135212,-0.0160165080664431,0.0406388040759127,93.3,100.8,98.3,97.2,0.486,0.328,0.724,0.173,0.144,0.355,198,-0.016,0.323,0.217,0.466,0.453,0.446,-0.123,,
Luis Matos,682641,157,548,0.0599025796778452,0.0430614827065507,-0.062129406034077,0.0408346563503188,94.2,120.5,89.2,97.2,0.542,0.284,0.85,0.234,0.073,0.304,157,-0.062,0.323,0.249,0.959,0.117,0.088,0.235,,
Christian Vázquez,543877,320,1163,0.0655981712516359,0.0145101163575987,-0.040359892060644,0.0397483955485906,99.8,108.1,93.5,97.0,0.52,0.324,0.818,0.208,0.095,0.327,320,-0.04,0.316,0.456,0.736,0.252,0.228,0.088,,
James Outman,681546,163,662,0.067131245418747,-0.0434642778422142,0.0162624071666683,0.0399293747432011,101.3,83.0,104.7,97.0,0.477,0.256,0.67,0.127,0.159,0.386,163,0.016,0.316,0.508,0.036,0.684,0.684,-0.368,,
Stuart Fairchild,656413,233,853,0.0872604706322927,-0.0180858992156862,-0.0292799844559929,0.0398945869606135,121.0,94.0,95.7,97.0,0.502,0.238,0.692,0.178,0.162,0.363,233,-0.029,0.316,0.967,0.231,0.334,0.502,-0.186,,
Enrique Hernández,571771,457,1743,0.0764975630078789,0.0024787804539857,-0.0392292775197685,0.0397470659420961,110.4,102.9,93.7,97.0,0.49,0.265,0.777,0.192,0.107,0.338,457,-0.039,0.316,0.794,0.553,0.255,0.31,0.006,,
Rhys Hoskins,656555,528,2276,0.0588723211797803,-0.0230981700106709,0.0036424901409328,0.0394166413100422,93.2,91.8,102.2,96.9,0.428,0.239,0.762,0.137,0.098,0.377,528,0.004,0.31,0.211,0.162,0.603,0.619,-0.309,,
Jake Fraley,641584,382,1330,0.101230652469582,-0.0077218769861974,-0.054384891101227,0.0391238843821575,134.6,98.5,90.8,96.8,0.58,0.259,0.77,0.213,0.117,0.321,382,-0.054,0.303,1.0,0.383,0.153,0.179,0.124,,
Gabriel Moreno,672515,366,1588,0.0602991225322046,0.0088593631957734,-0.0300721640597417,0.0390863216682363,94.6,105.6,95.5,96.8,0.42,0.262,0.811,0.167,0.073,0.335,366,-0.03,0.303,0.257,0.646,0.32,0.3,0.003,,
David Hamilton,666152,321,1191,0.0588314265062085,0.0117968394335601,-0.0317350554100453,0.0388932105297232,93.2,106.9,95.2,96.8,0.458,0.229,0.783,0.18,0.104,0.347,321,-0.032,0.303,0.211,0.689,0.308,0.378,-0.075,,
Nolan Arenado,571448,648,2521,0.0610695963958976,0.0307765195724835,-0.0527221403117737,0.0391239756566074,95.3,115.1,91.1,96.8,0.467,0.317,0.821,0.199,0.074,0.317,648,-0.053,0.303,0.281,0.886,0.163,0.166,0.137,,
Kyle Manzardo,700932,176,709,0.0591152919571251,-0.0076283391810718,-0.0126271516011909,0.0388598011748624,93.4,98.5,99.0,96.8,0.464,0.293,0.738,0.169,0.121,0.362,176,-0.013,0.303,0.223,0.383,0.478,0.496,-0.193,,
J. D. Davis,605204,168,627,0.0889453508286185,-0.0132737939806615,-0.0376343554491327,0.0380372013988242,122.6,96.1,94.1,96.6,0.518,0.26,0.657,0.179,0.158,0.341,168,-0.038,0.293,0.977,0.288,0.266,0.328,-0.035,,
Richie Palacios,680700,335,1347,0.0763212953743128,-0.0099367462399811,-0.0282051742471805,0.0381793748871511,110.3,97.5,95.9,96.6,0.465,0.247,0.815,0.155,0.103,0.346,335,-0.028,0.293,0.791,0.34,0.341,0.364,-0.071,,
Anthony Volpe,683011,765,3129,0.0635182333207125,-0.004135075573718,-0.021454116265103,0.0379290414818914,97.7,100.0,97.2,96.6,0.467,0.281,0.76,0.171,0.095,0.342,765,-0.021,0.293,0.362,0.436,0.403,0.337,-0.044,,
Jonny Deluca,676356,363,1345,0.0635958783698941,0.0080960635932318,-0.0340281052005882,0.0376638367625377,97.8,105.3,94.8,96.5,0.538,0.377,0.779,0.191,0.115,0.316,363,-0.034,0.288,0.368,0.64,0.282,0.153,0.135,,
Wenceel Pérez,672761,447,1834,0.059482022532657,0.0046224962204704,-0.0272864849693878,0.0368180337837397,93.8,103.8,96.1,96.4,0.465,0.28,0.817,0.171,0.089,0.343,447,-0.027,0.283,0.237,0.597,0.344,0.343,-0.06,,
Will Benson,666181,389,1656,0.0772611441193967,-0.0663350337899004,0.0260829387979189,0.0370090491274152,111.2,73.0,106.6,96.4,0.476,0.212,0.695,0.116,0.171,0.399,389,0.026,0.283,0.818,0.002,0.736,0.734,-0.451,,
Mike Tauchman,643565,352,1532,0.0775540704870635,-0.0162400616210263,-0.0245021005279053,0.0368119083381318,111.5,94.8,96.6,96.4,0.459,0.195,0.761,0.148,0.09,0.352,352,-0.025,0.283,0.834,0.251,0.357,0.407,-0.124,,
Abraham Toro,647351,372,1431,0.0485195715091115,0.0380800540881959,-0.0502487662995056,0.0363508592978018,83.1,118.3,91.6,96.3,0.478,0.303,0.819,0.196,0.074,0.329,372,-0.05,0.276,0.065,0.935,0.178,0.253,0.023,,
Joey Loperfido,694388,265,1019,0.0673456740146655,-0.0314169019873997,0.0006894408166604,0.0366182128439262,101.5,88.2,101.6,96.3,0.524,0.321,0.73,0.149,0.168,0.372,265,0.001,0.276,0.517,0.084,0.58,0.573,-0.297,,
Jeimer Candelario,600869,464,1778,0.0677801435330057,-0.0092359860410902,-0.0221993766093778,0.0363447808825375,101.9,97.8,97.1,96.3,0.517,0.304,0.772,0.178,0.137,0.347,464,-0.022,0.276,0.534,0.36,0.397,0.378,-0.102,,
Brice Turang,668930,629,2514,0.0621120726186734,0.0110767760837503,-0.0370934800169899,0.0360953686854338,96.4,106.6,94.2,96.2,0.477,0.27,0.842,0.187,0.056,0.327,629,-0.037,0.27,0.322,0.676,0.27,0.228,0.042,,
Ha-Seong Kim,673490,473,2003,0.0541453503570876,0.0286112143642457,-0.0465186331429591,0.0362379315783743,88.6,114.2,92.3,96.2,0.38,0.224,0.829,0.168,0.054,0.33,473,-0.047,0.27,0.136,0.868,0.197,0.258,0.012,,
Matt Carpenter,572761,161,689,0.0635261127410153,-0.0271430362306328,-0.0008378985755616,0.0355451779348208,97.8,90.0,101.3,96.1,0.421,0.187,0.749,0.129,0.107,0.382,161,-0.001,0.262,0.368,0.114,0.562,0.663,-0.401,,
Kevin Newman,621028,316,1099,0.0623485670304829,0.0470998581115674,-0.0740151797092263,0.035433245432824,96.6,122.2,86.9,96.1,0.492,0.278,0.868,0.229,0.076,0.306,316,-0.074,0.262,0.328,0.969,0.058,0.104,0.158,,
Masyn Winn,691026,645,2584,0.0560422430268252,0.0212131053524364,-0.0415479285774103,0.0357074198018512,90.4,111.0,93.3,96.1,0.47,0.285,0.827,0.189,0.08,0.33,645,-0.042,0.262,0.159,0.798,0.247,0.258,0.004,,
