rank,pitcher,player_name,gs_to,fp_per_start_to,xfp_rp1_per_start,k_pct_to,bb_pct_to,swstr_pct_to,c_plus_swstr_to,zone_pct_to,z_swing_pct_to,o_swing_pct_to,avg_velo_to,xwoba_per_pa_to,xwoba_x_swstr_to,fp_per_start_to,gs_to,split_day
50,681293,"Arrighetti, Spencer",2,12.15,10.89639256859384,0.25,0.1538461538461538,0.1479591836734693,0.3316326530612244,0.4183673469387755,0.5487804878048781,0.3157894736842105,83.51683673469387,0.3490769230769231,0.051649136577708,12.15,2,30
51,607625,"Lugo, Seth",5,18.44,10.859348994377866,0.2413793103448276,0.0862068965517241,0.1072210065645514,0.2844638949671772,0.5273522975929978,0.6597510373443983,0.2731481481481481,85.99562363238512,0.3150603448275861,0.0337810873009884,18.44,5,30
52,681347,"Burrows, Mike",6,6.733333333333332,10.855365772454746,0.2307692307692307,0.0839160839160839,0.1328413284132841,0.3007380073800738,0.4686346863468634,0.6496062992125984,0.3298611111111111,89.89354243542437,0.3098671328671328,0.0411631615616855,6.733333333333332,6,30
53,694738,"Roupp, Landen",5,15.659999999999997,10.838622740782146,0.2818181818181818,0.109090909090909,0.1066098081023454,0.279317697228145,0.4221748400852878,0.6262626262626263,0.2693726937269373,86.89168443496801,0.2564770642201834,0.0273429705991666,15.659999999999997,5,30
54,656550,"Holmes, Grant",6,11.116666666666664,10.834127550215971,0.1851851851851851,0.1037037037037037,0.1428571428571428,0.2897959183673469,0.4408163265306122,0.6620370370370371,0.3175182481751825,89.58650306748467,0.3216,0.0459428571428571,11.116666666666664,6,30
55,607536,"Freeland, Kyle",3,11.9,10.82698791098372,0.1940298507462686,0.0597014925373134,0.132,0.308,0.48,0.6416666666666667,0.3615384615384615,87.41839999999999,0.3109402985074627,0.041044119402985,11.9,3,30
56,543135,"Eovaldi, Nathan",6,7.799999999999998,10.796178219689246,0.2176870748299319,0.0612244897959183,0.1539923954372623,0.2756653992395437,0.4790874524714829,0.75,0.3467153284671533,87.94999999999999,0.3401360544217687,0.0523783657949872,7.799999999999998,6,30
57,663623,"Irvin, Jake",6,10.483333333333333,10.769306042726477,0.2635658914728682,0.0852713178294573,0.1233140655105973,0.302504816955684,0.5105973025048169,0.6528301886792452,0.2519685039370078,87.46396917148363,0.3404651162790698,0.0419841376529103,10.483333333333333,6,30
58,650633,"King, Michael",5,14.419999999999998,10.767457537153305,0.2300884955752212,0.1238938053097345,0.1205357142857142,0.28125,0.4754464285714285,0.6244131455399061,0.2893617021276595,88.69241071428571,0.3259464285714286,0.0392881855867347,14.419999999999998,5,30
59,663556,"McClanahan, Shane",5,9.579999999999998,10.653594106258588,0.2475247524752475,0.1287128712871287,0.1203931203931203,0.2899262899262899,0.4963144963144963,0.6435643564356436,0.2926829268292683,89.57960687960689,0.3317920792079208,0.0399454837375629,9.579999999999998,5,30
60,690986,"Harrison, Kyle",4,9.25,10.619051272895074,0.2337662337662337,0.0909090909090909,0.1261538461538461,0.2769230769230769,0.4892307692307692,0.6729559748427673,0.3192771084337349,90.47169230769232,0.328974025974026,0.0415013386613386,9.25,4,30
61,605488,"Springs, Jeffrey",6,13.766666666666666,10.612509669527537,0.2183098591549295,0.0774647887323943,0.1119266055045871,0.3137614678899083,0.5266055045871559,0.5958188153310104,0.2480620155038759,85.42256880733946,0.2728521126760563,0.0305394107765861,13.766666666666666,6,30
62,605540,"Woodruff, Brandon",5,11.86,10.603516135559406,0.1982758620689655,0.043103448275862,0.1155778894472361,0.278894472361809,0.5301507537688442,0.6966824644549763,0.3262032085561497,89.08477157360406,0.2824298245614035,0.0326426430397602,11.86,5,30
63,669372,"Ginn, J.T.",3,12.133333333333333,10.548595814782598,0.1976744186046511,0.0930232558139534,0.1137026239067055,0.2857142857142857,0.4548104956268221,0.6410256410256411,0.2994652406417112,91.56461988304092,0.2793139534883721,0.0317587294053834,12.133333333333333,3,30
64,669194,"Nelson, Ryne",4,10.775,10.52282163362769,0.2083333333333333,0.09375,0.1320754716981132,0.261455525606469,0.4959568733153638,0.7336956521739131,0.2887700534759358,91.87304582210244,0.3575729166666666,0.0472266116352201,10.775,4,30
65,676282,"Cantillo, Joey",6,11.316666666666665,10.416751305968884,0.264,0.104,0.1170825335892514,0.2955854126679462,0.4760076775431862,0.6129032258064516,0.2600732600732601,85.62725527831094,0.31092,0.03640330134357,11.316666666666665,6,30
66,579328,"Kikuchi, Yusei",6,6.933333333333333,10.410350821788665,0.2406015037593984,0.0977443609022556,0.131578947368421,0.2781954887218045,0.5,0.6992481203007519,0.2894736842105263,89.43402255639099,0.3471954887218045,0.0456836169370795,6.933333333333333,6,30
67,672456,"Montero, Keider",4,13.874999999999996,10.341655538497761,0.2117647058823529,0.0352941176470588,0.0859872611464968,0.286624203821656,0.5573248407643312,0.6342857142857142,0.2230215827338129,89.88312101910827,0.2279764705882353,0.0196030723117272,13.874999999999996,4,30
68,605400,"Nola, Aaron",5,9.38,10.338574826672861,0.2521739130434782,0.0869565217391304,0.1213483146067415,0.3056179775280899,0.4539325842696629,0.6188118811881188,0.2962962962962963,86.32696629213483,0.3407304347826086,0.0413470639960918,9.38,5,30
69,605280,"Holmes, Clay",5,14.4,10.282781554715404,0.1583333333333333,0.0833333333333333,0.1098398169336384,0.2860411899313501,0.4782608695652174,0.631578947368421,0.3333333333333333,89.4741418764302,0.3238083333333333,0.0355670480549199,14.4,5,30
70,693821,"Elder, Bryce",6,15.333333333333334,10.266143126992064,0.2123287671232876,0.0684931506849315,0.0986460348162475,0.2707930367504835,0.4680851063829787,0.6487603305785123,0.28,87.96208897485494,0.2696780821917808,0.0266026734850692,15.333333333333334,6,30
71,665795,"Cabrera, Edward",5,11.499999999999998,10.228543663546397,0.1764705882352941,0.0924369747899159,0.1158129175946547,0.2694877505567928,0.4209354120267261,0.6507936507936508,0.3307692307692307,91.76726057906458,0.3079152542372881,0.0356605639651202,11.499999999999998,5,30
72,571927,"Matz, Steven",5,9.84,10.032330709637838,0.2450980392156862,0.0980392156862745,0.1223021582733813,0.2805755395683453,0.4964028776978417,0.6811594202898551,0.2523809523809524,86.93093525179856,0.3507647058823529,0.0428992805755395,9.84,5,30
73,673540,"Senga, Kodai",4,2.7749999999999986,10.02333965035761,0.2682926829268293,0.1219512195121951,0.1383647798742138,0.279874213836478,0.4591194968553459,0.678082191780822,0.2616279069767442,89.06750788643534,0.3151585365853658,0.0436068415401135,2.7749999999999986,4,30
74,676440,"Bibee, Tanner",6,9.35,10.011340391653405,0.1984732824427481,0.0839694656488549,0.130019120458891,0.2887189292543021,0.4875717017208413,0.6941176470588235,0.2611940298507462,87.32026768642447,0.3432595419847328,0.0446303037379767,9.35,6,30
75,680694,"Bradish, Kyle",5,6.859999999999999,10.00259222575824,0.2434782608695652,0.1130434782608695,0.1149674620390455,0.2733188720173535,0.4186550976138828,0.6321243523316062,0.3246268656716418,89.67527114967463,0.305219298245614,0.0350902880846367,6.859999999999999,5,30
76,696149,"Chandler, Bubba",5,7.439999999999998,9.98678815277824,0.1944444444444444,0.1481481481481481,0.1108490566037735,0.2617924528301887,0.4693396226415094,0.6582914572864321,0.3022222222222222,95.08959810874704,0.3573611111111111,0.0396131420335429,7.439999999999998,5,30
