pitcher,pitches_std,tbf_std,bip_std,avg_velo_std,swstr_pct_std,c_plus_swstr_std,o_swing_pct_std,k_pct_std,bb_pct_std,hard_hit_pct_std,barrel_pct_std,xwoba_contact_std,pitches_last30,tbf_last30,bip_last30,avg_velo_last30,swstr_pct_last30,c_plus_swstr_last30,o_swing_pct_last30,k_pct_last30,bb_pct_last30,hard_hit_pct_last30,barrel_pct_last30,xwoba_contact_last30,pitches_prioryr,tbf_prioryr,bip_prioryr,avg_velo_prioryr,swstr_pct_prioryr,c_plus_swstr_prioryr,o_swing_pct_prioryr,k_pct_prioryr,bb_pct_prioryr,hard_hit_pct_prioryr,barrel_pct_prioryr,xwoba_contact_prioryr,z_trend_avg_velo,z_base_avg_velo,z_trend_swstr_pct,z_base_swstr_pct,z_trend_c_plus_swstr,z_base_c_plus_swstr,z_trend_o_swing_pct,z_base_o_swing_pct,z_trend_k_pct,z_base_k_pct,z_trend_bb_pct,z_base_bb_pct,z_trend_hard_hit_pct,z_base_hard_hit_pct,z_trend_barrel_pct,z_base_barrel_pct,z_trend_xwoba_contact,z_base_xwoba_contact,TREND_z,BASE_z,composite,pct_last30_avg_velo,pct_last30_swstr_pct,pct_last30_c_plus_swstr,pct_last30_o_swing_pct,pct_last30_k_pct,pct_last30_bb_pct,pct_last30_hard_hit_pct,pct_last30_barrel_pct,pct_last30_xwoba_contact,level_pct,player_name,name,xfp_rp3_per_start,xfp_rp3_per_start_sched,data_quality_tag,rp3_rank,as_of
643410,421.0,113.0,78.0,86.01071428571427,0.13064133016627077,0.3159144893111639,0.35714285714285715,0.23893805309734514,0.061946902654867256,0.3076923076923077,0.038461538461538464,0.39838961038961035,153.0,42.0,29.0,85.60849673202613,0.11764705882352941,0.35294117647058826,0.35064935064935066,0.2619047619047619,0.047619047619047616,0.20689655172413793,0.0,0.30527586206896556,832.0,220.0,145.0,86.02608173076925,0.13221153846153846,0.30408653846153844,0.27293577981651373,0.24545454545454545,0.07727272727272727,0.3310344827586207,0.05517241379310345,0.35641230991032924,-0.05471405251914887,-0.0020904487835333827,-0.31332806978840644,-0.037862094868197145,0.7613684114949759,0.24321452553520825,-0.08846229548705671,1.1471693089078412,0.26024000271586856,-0.07383957374807197,0.19533766655421186,0.20894340509361617,0.8646849735693486,0.2002428359844805,0.5508020179376495,0.2393139802073925,0.984714290994695,-0.44392636345154846,3.160642945472137,1.4811655748771877,2.4888519972341574,0.10477941176470588,0.5625,0.9476102941176471,0.7821691176470589,0.7417279411764706,0.7867647058823529,0.9136029411764706,0.8988970588235294,0.7463235294117647,0.7204861111111112,"Leiter Jr., Mark",Mark Leiter Jr.,,,,,2026-06-06
643511,401.0,112.0,90.0,80.96503856041133,0.06733167082294264,0.256857855361596,0.27011494252873564,0.14285714285714285,0.05357142857142857,0.2,0.0,0.25120000000000003,169.0,45.0,34.0,81.4568047337278,0.0650887573964497,0.2781065088757396,0.2564102564102564,0.13333333333333333,0.1111111111111111,0.2647058823529412,0.0,0.26702941176470596,978.0,299.0,243.0,81.08609406952945,0.0869120654396728,0.2852760736196319,0.2961038961038961,0.1605351170568562,0.023411371237458192,0.3292181069958848,0.0205761316872428,0.2924304144037281,0.06689544001065514,-0.016467300899444638,-0.05408288899693485,-0.472137843603092,0.4369295449742358,-0.5843551058045752,-0.1867015909174224,-0.35405254354704735,-0.107916037823461,-0.20031237789973555,-0.7844626633555787,-0.41118473128256317,-0.5550849203393324,1.1085085315268823,-0.0,0.29466774622178776,-0.16740221786656928,0.4360277512099985,-1.3518253343144078,-0.19930587407778944,-0.8908175502197604,0.03860294117647059,0.12867647058823528,0.5238970588235294,0.2536764705882353,0.19852941176470587,0.2876838235294118,0.8382352941176471,0.8988970588235294,0.875,0.4492442810457516,"Rogers, Tyler",Tyler Rogers,,,,,2026-06-06
645261,1250.0,350.0,268.0,92.11816000000002,0.1048,0.2688,0.3232830820770519,0.16,0.06,0.3582089552238806,0.06716417910447761,0.34043018867924524,474.0,132.0,105.0,92.15485232067503,0.07805907172995781,0.23839662447257384,0.34347826086956523,0.15151515151515152,0.022727272727272728,0.34285714285714286,0.08571428571428572,0.3838627450980392,2893.0,745.0,537.0,92.33562781044631,0.10335292084341514,0.26754234358797097,0.2894736842105263,0.1906040268456376,0.07651006711409396,0.44878957169459965,0.0856610800744879,0.3750550104712627,0.004991292752028472,-0.02958236181608379,-0.6447982513373407,0.03489310843251289,-0.6251752858616136,0.025860803061050593,0.275122828558617,0.46059196942343983,-0.09614337915181076,-0.34677985845552467,0.5081547484507736,0.22508868052181918,0.13169682932648613,0.7770535297499312,-0.2656533399946617,0.2648913898767379,-0.4593162639392672,0.3661710269071472,-1.1711208211967887,1.7781882877010302,0.008602822362338891,0.8088235294117647,0.18198529411764705,0.19669117647058823,0.7371323529411765,0.2601102941176471,0.8952205882352942,0.6213235294117647,0.3722426470588235,0.36764705882352944,0.4934640522875817,"Alcantara, Sandy",Sandy Alcantara,9.67230350120992,9.76,data_driven_full,106.0,2026-06-06
646241,427.0,112.0,76.0,89.92786885245896,0.10772833723653395,0.28805620608899296,0.29523809523809524,0.22321428571428573,0.09821428571428571,0.4473684210526316,0.07894736842105263,0.37431081081081086,186.0,50.0,36.0,90.58548387096779,0.13978494623655913,0.3064516129032258,0.35106382978723405,0.22,0.06,0.5,0.1111111111111111,0.34997142857142866,,,,,,,,,,,,,0.08945602281687252,,0.7729741173636706,,0.37825910821166914,,0.7605247843220576,,-0.03642166276541823,,0.520991410214774,,-0.4515044806587872,,-0.46061221383089984,,0.257398482580345,,1.8310655682542838,,,0.6305147058823529,0.7426470588235294,0.7573529411764706,0.7867647058823529,0.5459558823529411,0.6994485294117647,0.13786764705882348,0.234375,0.5367647058823529,0.5635212418300655,"De Jesus, Enmanuel",Enmanuel De Jesus,,,,,2026-06-06
647315,130.0,31.0,21.0,93.56538461538464,0.06153846153846154,0.2692307692307692,0.25,0.1935483870967742,0.0967741935483871,0.47619047619047616,0.047619047619047616,0.3341428571428572,,,,,,,,,,,,,127.0,39.0,33.0,93.06929133858267,0.07086614173228346,0.2677165354330709,0.26785714285714285,0.07692307692307693,0.05128205128205128,0.6666666666666666,0.15151515151515152,0.4864949570631391,,0.06748406018695269,,-0.2249163461071141,,0.031136725146962998,,-0.2432713125894058,,1.3215028453071471,,-0.6202134858736671,,1.6340162157175153,,1.4878807757276766,,1.6111830181933597,,5.0648024957094275,,,,,,,,,,,,"Pop, Zach",Zach Pop,,,,,2026-06-06
647336,1088.0,281.0,197.0,87.85810936051908,0.11488970588235294,0.2821691176470588,0.3498233215547703,0.2313167259786477,0.05338078291814947,0.3299492385786802,0.08121827411167512,0.3889114583333335,448.0,117.0,89.0,87.14123006833717,0.11383928571428571,0.26785714285714285,0.3944223107569721,0.19658119658119658,0.03418803418803419,0.23595505617977527,0.033707865168539325,0.3224302325581395,1528.0,382.0,243.0,88.06812827225109,0.10798429319371727,0.28664921465968585,0.2569832402234637,0.2486910994764398,0.07591623036649214,0.3991769547325103,0.06584362139917696,0.3341150393145556,-0.09751780070927198,-0.028569080740391797,-0.02532855556469253,0.16650873079014222,-0.2942927479371036,-0.09212286076690031,0.6075806600293007,1.2647783929969527,-0.39359467394869424,-0.19687222249240066,0.2616628059349682,0.3072352217627322,0.8063370956703327,0.5938758565553509,0.6803895570919758,-0.22017813321749813,0.7030649531822549,-0.5794935535976118,2.24830129374907,1.2151623512903755,1.8350457167655922,0.20588235294117646,0.5165441176470589,0.4099264705882353,0.9375,0.44485294117647056,0.8419117647058824,0.8897058823529411,0.7371323529411764,0.6819852941176471,0.6294934640522875,"Soroka, Michael",Michael Soroka,9.49337433821501,9.11,data_driven_full,120.0,2026-06-06
650556,422.0,102.0,47.0,90.54123222748821,0.12085308056872038,0.2843601895734597,0.22310756972111553,0.27450980392156865,0.23529411764705882,0.5531914893617021,0.10638297872340426,0.3815434782608696,158.0,37.0,19.0,89.78417721518986,0.08860759493670886,0.27848101265822783,0.20652173913043478,0.21621621621621623,0.21621621621621623,0.5789473684210527,0.05263157894736842,0.25094736842105264,1191.0,297.0,157.0,92.02270815811613,0.1897565071368598,0.3492863140218304,0.2986003110419907,0.35353535353535354,0.10437710437710437,0.45222929936305734,0.08280254777070063,0.3924355753910972,-0.10298294374017433,-0.2015266393298139,-0.777528458962938,-1.6614535035442528,-0.12089171168824643,-1.335055983349001,-0.22595197957810392,-1.0284522232376996,-0.660535366645986,-0.895453041119806,0.2600970444588858,-1.7848466375788372,-0.22094900117344907,-0.8661127420687266,0.7697658660539604,-0.3376918727673027,1.3811049176619608,0.11518818538056194,0.30212836638590934,-7.995404457614878,-3.016884763214406,0.4944852941176471,0.23897058823529413,0.5266544117647058,0.11213235294117647,0.53125,0.06617647058823528,0.047794117647058876,0.6112132352941176,0.9117647058823529,0.39338235294117646,"Abreu, Bryan",Bryan Abreu,,,,,2026-06-06
650633,1089.0,275.0,177.0,88.66767676767668,0.12672176308539945,0.2975206611570248,0.28097731239092494,0.23272727272727273,0.10545454545454545,0.327683615819209,0.096045197740113,0.3540344827586205,443.0,115.0,78.0,88.82144469525961,0.13318284424379231,0.3182844243792325,0.28888888888888886,0.21739130434782608,0.09565217391304348,0.32051282051282054,0.07692307692307693,0.35411688311688316,1219.0,308.0,202.0,89.16784249384746,0.1140278917145201,0.2912223133716161,0.2737341772151899,0.24675324675324675,0.08441558441558442,0.3811881188118812,0.11386138613861387,0.38401841195476627,0.020917203608812166,-0.0680380395113339,0.15579466017818175,0.3060845898836564,0.4269588946232867,0.12951099372656075,0.10778093756142601,0.0986746320819595,-0.17377467908805555,-0.158930892067279,0.13363984900932324,-0.28683299389904293,0.06151527800370657,0.45899293389564655,0.2738450710650461,0.25514300556814207,-0.0008714160027682332,0.317091773364595,1.0058057989589586,1.0516960030429043,1.024161880592537,0.34191176470588236,0.6911764705882353,0.8455882352941176,0.4227941176470588,0.5358455882352942,0.40441176470588236,0.7058823529411764,0.4375,0.5128676470588236,0.54421977124183,"King, Michael",Michael King,11.186879405324513,11.19,data_driven_full,52.0,2026-06-06
650644,929.0,247.0,192.0,85.61600000000001,0.08396124865446716,0.28202368137782563,0.289760348583878,0.15384615384615385,0.06477732793522267,0.46875,0.08333333333333333,0.3884148936170213,307.0,88.0,69.0,85.01009771986973,0.08469055374592833,0.2996742671009772,0.3129251700680272,0.13636363636363635,0.07954545454545454,0.4492753623188406,0.11594202898550725,0.4342647058823528,1748.0,436.0,309.0,87.31871780194625,0.09897025171624714,0.2740274599542334,0.2634032634032634,0.2018348623853211,0.07339449541284404,0.3883495145631068,0.0970873786407767,0.35579585796486485,-0.08242148775591145,-0.23162239038728866,0.017585576795118515,-0.3619088623559309,0.36294358056203563,0.16442384858870449,0.31557884558750204,0.3590676716434577,-0.1980976218787312,-0.5437688850102413,-0.20134007387762703,0.11748146412545758,0.16706483727274873,-0.6897224090160782,-0.46698431955583336,0.19696965366378733,-0.4848796895343704,-0.34495905432283325,-0.5705503523850683,-1.3340389630709653,-0.8759457966594271,0.08455882352941177,0.21691176470588236,0.7058823529411765,0.5790441176470589,0.20772058823529413,0.5404411764705883,0.25,0.20404411764705888,0.18382352941176472,0.3302696078431373,"Civale, Aaron",Aaron Civale,7.5406918779332095,7.54,data_driven_full,225.0,2026-06-06
650911,1237.0,349.0,228.0,90.12021018593379,0.16814874696847212,0.34357316087308004,0.37402190923317685,0.29512893982808025,0.04871060171919771,0.44298245614035087,0.08333333333333333,0.3543584070796462,491.0,140.0,94.0,90.19246435845223,0.17718940936863545,0.3645621181262729,0.3775933609958506,0.30714285714285716,0.02142857142857143,0.44680851063829785,0.06382978723404255,0.34769892473118286,2897.0,809.0,547.0,90.36435233160634,0.1505005177770107,0.3255091473938557,0.31639226914817464,0.2620519159456119,0.054388133498145856,0.396709323583181,0.056672760511883,0.3399612524374457,0.009828806708338723,-0.033210898077369364,0.21799554778684424,0.4255479543170315,0.4315894904125108,0.37144476870651444,0.04865457845670201,0.7850997385018776,0.1361319073116869,0.374801842840738,0.37194737959794005,0.0774041757621448,-0.03282213423228763,-0.3969580069899237,0.27930740625916267,-0.3818021300451409,0.0704266293370218,-0.1522555388600139,1.5330596116379194,1.0700719061558586,1.347864529445095,0.5808823529411765,0.9319852941176471,0.96875,0.8988970588235294,0.8823529411764706,0.9007352941176471,0.2647058823529411,0.5193014705882353,0.5477941176470589,0.7217116013071896,"Sánchez, Cristopher",Cristopher Sánchez,15.72481091011552,15.72,data_driven_full,2.0,2026-06-06
650960,28.0,8.0,7.0,90.02499999999999,0.10714285714285714,0.21428571428571427,0.4166666666666667,0.125,0.0,0.14285714285714285,0.14285714285714285,0.30050000000000004,28.0,8.0,7.0,90.02499999999999,0.10714285714285714,0.21428571428571427,0.4166666666666667,0.125,0.0,0.14285714285714285,0.14285714285714285,0.30050000000000004,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,0.0,,,0.5422794117647058,0.43014705882352944,0.09191176470588236,0.9641544117647058,0.17463235294117646,0.953125,0.9705882352941176,0.1185661764705882,0.7610294117647058,0.5562704248366013,"Duarte, Daniel",Daniel Duarte,,,,,2026-06-06
656212,87.0,25.0,18.0,86.95402298850576,0.04597701149425287,0.22988505747126436,0.17391304347826086,0.08,0.16,0.3333333333333333,0.05555555555555555,0.3113888888888888,25.0,8.0,6.0,85.44800000000001,0.08,0.16,0.23076923076923078,0.125,0.125,0.16666666666666666,0.16666666666666666,0.29850000000000004,,,,,,,,,,,,,-0.2048657999447662,,0.8203890034121682,,-1.437025002129811,,0.7745628414217876,,0.5099032787158535,,0.4771697028135314,,1.429764188752826,,-1.5912058295976539,,0.1363050388673649,,0.9149974223113005,,,0.09926470588235294,0.18566176470588236,0.02022058823529412,0.16636029411764705,0.17463235294117646,0.22702205882352944,0.953125,0.07628676470588236,0.7702205882352942,0.29697712418300654,"Barnes, Charlie",Charlie Barnes,,,,,2026-06-06
656222,390.0,107.0,80.0,90.08719999999995,0.10512820512820513,0.28717948717948716,0.2810810810810811,0.18691588785046728,0.06542056074766354,0.375,0.075,0.3907397260273972,158.0,46.0,36.0,90.29727891156467,0.10126582278481013,0.2468354430379747,0.34177215189873417,0.13043478260869565,0.08695652173913043,0.3055555555555556,0.05555555555555555,0.4147096774193548,924.0,232.0,165.0,91.27489082969433,0.13528138528138528,0.24783549783549783,0.2542372881355932,0.2025862068965517,0.07758620689655173,0.3878787878787879,0.10303030303030303,0.34696527531852106,0.02857724257710973,-0.16156276084060095,-0.0931327946385232,-0.7270771470118338,-0.8295822056413235,0.8090183855696076,0.8268062017749548,0.36569818570471607,-0.6399977944061008,-0.17756326800270972,-0.2936088030314874,0.16585936449713015,0.5957350786470107,0.11048177822180928,0.27846102017958946,0.4014178342848627,-0.2534916069410941,-0.4629319297192987,-0.38023366147986426,0.32334044270368273,-0.09880401980644543,0.6011029411764706,0.3648897058823529,0.23529411764705882,0.7288602941176471,0.19117647058823528,0.4871323529411765,0.7463235294117647,0.5891544117647058,0.24264705882352944,0.46517565359477125,"Beeks, Jalen",Jalen Beeks,,,,,2026-06-06
