Pitcher,MLBAMID,Num_Pitches,PLV,PLA,FF,SI,SL,CH,CU,FC,FS
Garrett Whitlock,676477,1166,5.119648370497427,2.669849617021277,3.3097488430011195,2.579626441438261,3.082368490577508,2.457893719148936,8.161797571428572,8.161797571428572,8.161797571428572
Cristian Javier,664299,2554,5.232866092404072,2.6741708071748884,2.208453707407158,8.161797571428572,2.6706692988360965,6.374357158675406,4.271690484109964,8.161797571428572,8.161797571428572
Ryan Pressly,519151,711,5.093023909985935,2.6745714000000005,3.9055959835133938,8.161797571428572,2.051544905388751,2.9283627616191903,2.0036861854525863,8.161797571428572,8.161797571428572
Yency Almonte,622075,466,5.007339055793992,2.6763627735849056,2.6659878840970346,3.265146301664817,2.112869529655639,3.515122095556908,8.161797571428572,8.161797571428572,8.161797571428572
Hayden Wesneski,669713,495,5.11969696969697,2.676975,3.9076388372093023,2.886076592920354,1.740858021582734,4.077539999999999,1.2248965384615385,1.4283181730769232,8.161797571428572
Michael King,650633,776,5.1319845360824745,2.6804917058823534,3.218574904665315,2.708305344077357,1.877373348637016,3.976064235294117,1.852455963800905,8.161797571428572,8.161797571428572
José Urquidy,664353,2640,5.185503787878789,2.6829095476673426,2.4647425673052576,8.161797571428572,2.744033567850459,2.6731799925487443,2.9652527545201552,4.179294102895076,8.161797571428572
Jakob Junis,596001,1800,5.189816666666666,2.6923994936607145,3.776644810150376,3.559931697823661,2.0594031164657824,2.748009263297872,8.161797571428572,3.2662653790178564,8.161797571428572
Alex Vesia,681911,948,5.2589135021097055,2.697134685543993,2.25034814321415,8.161797571428572,3.2184851557199567,5.210899685119132,8.161797571428572,8.161797571428572,8.161797571428572
Jason Adam,592094,924,5.099242424242424,2.698436934688996,2.7250516037368424,8.161797571428572,2.527675782718229,2.860684425,8.161797571428572,8.161797571428572,8.161797571428572
Liam Hendriks,521230,939,5.191405750798722,2.7024100503795085,1.9146125487875492,8.161797571428572,3.783562975370697,8.161797571428572,4.296650168552453,8.161797571428572,8.161797571428572
Yimi García,554340,1037,5.229257473481195,2.7029597893671844,1.5565427643307514,4.365389159016393,2.775754702019745,5.536339482435596,2.9380702801017526,8.161797571428572,8.161797571428572
Michael Wacha,608379,1949,5.12807593637763,2.710056015706806,3.026587525338338,4.150961853033693,8.161797571428572,1.6218176717652737,3.283889910200397,2.6976101087171207,8.161797571428572
Wandy Peralta,593974,816,5.082745098039215,2.7146808106508877,2.814895419158803,3.2176989027402763,2.8260754250570748,2.209469011817068,8.161797571428572,8.161797571428572,8.161797571428572
Taylor Clarke,664199,858,5.2561072261072255,2.7148924285714284,2.629629484230056,8.161797571428572,2.293089426209069,3.59604015971606,8.161797571428572,8.161797571428572,8.161797571428572
Edwin Díaz,621242,928,5.099859913793104,2.7219315483870963,2.5744124043453027,8.161797571428572,2.828397127296666,8.161797571428572,8.161797571428572,8.161797571428572,8.161797571428572
Shane Bieber,669456,2874,5.0771537926235215,2.728408005,2.6382839074371853,8.161797571428572,2.810198249784431,2.963155238307692,2.921909329360465,2.5259746770194385,8.161797571428572
Tyler Rogers,643511,1164,5.130876288659794,2.737230026431717,2.6568080331171267,1.4394254748898676,2.899140764895528,8.161797571428572,8.161797571428572,8.161797571428572,8.161797571428572
Dylan Floro,571670,863,5.168435689455388,2.7517720807453414,3.122465002623689,2.302739230291448,3.159416198757764,2.5752547973721933,8.161797571428572,8.161797571428572,8.161797571428572
Bailey Ober,641927,853,5.124771395076202,2.752158721864009,2.7779472236842104,8.161797571428572,2.650838386699508,2.4073588082706765,3.3142478409090903,8.161797571428572,8.161797571428572
Jimmy Herget,623474,996,5.052299196787149,2.753902565217391,8.151797571428572,2.411853758521436,2.600371764342681,4.414609519181585,2.3393290567588934,8.161797571428572,8.161797571428572
Corey Kluber,446372,2431,5.097910324969148,2.758899457317073,4.975302649390245,3.965060382621952,8.161797571428572,3.616264966898955,1.6995140946386422,2.2818968715344794,8.161797571428572
Jason Foley,671345,960,5.164729166666666,2.7609955359116016,5.986582011049723,1.977273839215244,3.5018733603872283,3.296496313410346,8.161797571428572,8.161797571428572,8.161797571428572
Eli Morgan,669212,1002,5.112834331337325,2.7626032658532926,3.107051310294642,8.161797571428572,2.7585604986792456,2.0832813403886923,8.161797571428572,8.161797571428572,8.161797571428572
Andrés Muñoz,662253,1024,5.127529296875,2.7713777538461533,2.798061809094772,8.161797571428572,2.756786170764583,8.161797571428572,8.161797571428572,8.161797571428572,8.161797571428572
Austin Voth,608723,1748,5.22450228832952,2.7801615773267807,2.6088656246735966,8.161797571428572,1.5019034574170331,8.161797571428572,2.9495560603278688,3.132597476664959,8.161797571428572
Paolo Espino,502179,1872,5.172467948717949,2.78045610882353,3.474862421433251,8.161797571428572,1.7830354311867396,2.307987360962567,2.405128423917525,8.161797571428572,8.161797571428572
