Pitcher,MLBAMID,Num_Pitches,PLV,PLA,FF,SI,SL,ST,CH,CU,FC,FS
Bailey Ober,641927,2327,5.174086807047701,2.885249307159353,3.165789533545958,11.202328847402596,3.511656613004785,11.202328847402596,1.9457768486766605,3.0662405556134997,11.202328847402596,11.202328847402596
Louis Varland,686973,1081,5.189444958371878,2.894374659860151,2.4005859195594548,11.202328847402596,3.841356584635952,11.202328847402596,4.151726540530848,11.202328847402596,2.7225490335412106,11.202328847402596
Yusei Kikuchi,579328,2817,5.220457933972312,2.9012122127236584,3.14322172786118,11.202328847402596,1.9415292738909011,11.202328847402596,5.555657366334837,2.285923978900081,11.202328847402596,11.202328847402596
Bailey Falter,663559,1294,5.187851622874807,2.9089095991735534,2.8351857913259453,3.3872229128474824,2.583931894577706,11.202328847402596,4.579210918670172,2.660806269812068,11.202328847402596,11.202328847402596
Jordan Romano,605447,912,5.13641447368421,2.9119430021186443,3.0822735530475884,11.202328847402596,2.7690851206943687,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596
Phil Maton,664208,1040,5.143336538461538,2.913876136363636,3.558078486663037,5.373289725158561,11.202328847402596,1.8128390572390571,11.202328847402596,2.7868133766233765,11.202328847402596,11.202328847402596
Matt Manning,666159,1181,5.095690093141406,2.9150583461538457,3.16657564775527,11.202328847402596,1.735354677871726,11.202328847402596,5.586434983516483,3.8291707285067873,11.202328847402596,11.202328847402596
Logan Gilbert,669302,2914,5.126376115305423,2.9164280016930566,3.220270196575483,11.202328847402596,2.148739474483994,11.202328847402596,11.202328847402596,3.81307265984908,11.202328847402596,2.7823175621501472
Ryan Helsley,664854,607,5.189341021416804,2.9164464818181823,2.848498643161824,11.202328847402596,2.696424110313901,11.202328847402596,11.202328847402596,4.59633489640592,11.202328847402596,11.202328847402596
Kyle Bradish,680694,2638,5.123294162244124,2.92245806916996,3.6839395701031137,4.218150672270984,1.6069992749556958,11.202328847402596,3.214961616421941,2.619534650253847,11.202328847402596,11.202328847402596
Max Scherzer,453286,2465,5.170312373225152,2.9254420414847164,2.6026306307978806,11.202328847402596,2.827127664942092,11.202328847402596,3.8750097798975625,2.9890787554585154,3.1613011945619545,11.202328847402596
Ryan Brasier,518489,884,5.08079185520362,2.9285925586592176,3.1960571784769187,2.66365341452514,2.9227617921787705,11.202328847402596,11.202328847402596,11.202328847402596,2.4965900412251973,11.202328847402596
Chasen Shreve,592741,742,5.182398921832885,2.9296200895522384,3.805291073134329,11.202328847402596,0.1710151791044776,2.513578234585692,11.202328847402596,11.202328847402596,11.202328847402596,2.5434292611940297
Ian Gibaut,664139,1202,5.156139767054909,2.946006428042103,3.2564922509775776,11.202328847402596,11.202328847402596,2.393864751956894,3.762067590623033,11.202328847402596,2.6040700324084023,11.202328847402596
Ryan Yarbrough,642232,1423,5.1269711876317645,2.951649635687732,11.202328847402596,3.793759850819533,11.202328847402596,11.202328847402596,3.37364066851587,2.574159646990451,1.985179813566661,11.202328847402596
Freddy Peralta,642547,2838,5.183291050035236,2.9683369195171028,2.26546618062923,11.202328847402596,3.313884536310546,11.202328847402596,4.834126312419094,3.063151330985915,11.202328847402596,11.202328847402596
Yimi García,554340,1100,5.177636363636363,2.9754620454545453,2.875848360655738,2.406306976744186,3.508299130434783,11.202328847402596,3.702646875,3.01606757493188,11.202328847402596,11.202328847402596
Jhony Brito,666745,1443,5.122494802494802,2.9780339446494466,5.492095599066196,2.2871023711224856,4.773969527033532,11.202328847402596,2.3453078148552606,2.7345418702400432,11.202328847402596,11.202328847402596
Luke Jackson,592426,511,5.117769080234833,2.9826127910958897,4.88252165625,11.202328847402596,2.23714446253406,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596
Braxton Garrett,666129,2479,5.108943122226704,2.985045538622129,4.2452479014613775,3.3283857998932262,2.6626211092510648,11.202328847402596,3.6256418226041705,2.928700985903076,2.020573759688746,11.202328847402596
Robert Stephenson,596112,761,5.037739816031537,2.999653507444947,3.6277683047770695,11.202328847402596,3.0028567568540563,11.202328847402596,11.202328847402596,11.202328847402596,2.5619165583125048,3.304280847133757
Tanner Banks,621383,1007,5.171132075471698,3.0004924426229507,4.080727180327869,4.743472320843091,2.067413363749864,11.202328847402596,3.3207508637171634,1.6795890923320995,11.202328847402596,11.202328847402596
Yu Darvish,506433,2215,5.142848758465012,3.005871287358364,3.0613972416440896,3.618008144479787,2.413610169685952,1.710697014457319,11.202328847402596,3.2054324694848533,3.704382235517684,4.745896836683345
José Berríos,621244,2937,5.095386448757235,3.013816681898067,3.133486731312586,3.670715265949746,11.202328847402596,11.202328847402596,3.1134626563322296,2.1708036773407677,11.202328847402596,11.202328847402596
Sonny Gray,543243,2818,5.081224272533713,3.016098342391304,2.5882600827704625,4.790393695012788,3.6499597782120174,2.3274449387331493,4.797701943281684,2.39130063689715,2.434769509018801,11.202328847402596
Chris Devenski,606965,679,5.124418262150221,3.0169361590110517,4.172770350751611,11.202328847402596,3.910522582677164,2.022693732283465,2.249106384009691,11.202328847402596,11.202328847402596,11.202328847402596
Ryan Pepiot,686752,654,5.098532110091743,3.017499214285714,3.658645639188606,11.202328847402596,3.5248965000000005,11.202328847402596,1.868029584015104,11.202328847402596,11.202328847402596,11.202328847402596
Robert Suarez,663158,444,5.13677927927928,3.0242272917616413,2.514028944975022,3.5099803506134637,3.4984494975903617,11.202328847402596,3.1648961748184794,11.202328847402596,11.202328847402596,11.202328847402596
Kenley Jansen,445276,710,5.119901408450704,3.02629358955224,11.202328847402596,6.33405498643148,4.109942202360291,11.202328847402596,11.202328847402596,11.202328847402596,2.468039050312952,11.202328847402596
Pete Fairbanks,664126,729,5.127366255144032,3.0268616840958606,3.934502448711716,11.202328847402596,2.126660597878496,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596
Kevin Gausman,592332,3066,5.14920091324201,3.037442789189189,2.638045086195053,11.202328847402596,4.187967482432433,3.499790589473685,11.202328847402596,11.202328847402596,11.202328847402596,3.2536817940894167
Will Vest,676684,779,5.139088575096277,3.03911031724138,2.522529443349754,4.8791603948275855,3.4137708283289125,11.202328847402596,3.7114315040948274,11.202328847402596,11.202328847402596,11.202328847402596
Will Smith,519293,862,5.068016241299304,3.039277918604651,3.285024927282193,11.202328847402596,2.747142944040698,11.202328847402596,4.774877602325581,3.0462360473421928,11.202328847402596,11.202328847402596
Ross Stripling,548389,1440,5.151944444444444,3.0405497386938203,3.840203449557733,4.503332453734304,2.304793526870893,11.202328847402596,2.536754334269663,2.9969298419943824,11.202328847402596,11.202328847402596
Bowden Francis,670102,539,5.038033395176252,3.0438700183486245,2.672204455184476,11.202328847402596,4.431674356386733,11.202328847402596,11.202328847402596,3.0169535603850206,11.202328847402596,11.202328847402596
Elvis Peguero,665625,913,5.038433734939759,3.044119695652174,11.202328847402596,3.5970041105881214,2.511448259326788,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596
Eli Morgan,669212,1183,5.199788672865595,3.05200701980198,3.395617108401281,11.202328847402596,3.426875576948958,11.202328847402596,2.2816837247524755,3.464113511622901,11.202328847402596,11.202328847402596
J.P. France,641585,2202,5.133864668483198,3.052574251833741,3.31083406540922,11.202328847402596,3.2260809325451323,4.310199645476772,3.2660142630191946,3.628587586651338,1.6531083032136638,11.202328847402596
Luis Castillo,622491,3202,5.128594628357276,3.0643697512690355,2.9113786781725883,3.5433514699587896,2.919125834939344,11.202328847402596,3.15465877132995,11.202328847402596,11.202328847402596,11.202328847402596
Josh Fleming,676596,760,5.022342105263158,3.065701587096774,4.000017290322581,3.097933940105922,11.202328847402596,11.202328847402596,3.0208944364326373,2.86016097235023,11.202328847402596,11.202328847402596
Jacob Webb,657097,928,5.177413793103447,3.0668894161490683,2.3321343204968947,11.202328847402596,11.202328847402596,2.70360150982962,4.64318386469183,11.202328847402596,11.202328847402596,11.202328847402596
Kutter Crawford,676710,2099,5.111681753215817,3.0682854974226803,2.489426302174241,11.202328847402596,2.6085854108085065,2.842837759263931,11.202328847402596,3.4473554901649472,3.514046850779692,4.331284475475935
Brock Stewart,592779,436,5.096261467889907,3.076195603459711,2.1875633646163606,3.953521836452192,11.202328847402596,2.970666774526679,5.526080698143927,11.202328847402596,3.4059639903614456,11.202328847402596
Matt Waldron,663362,673,5.12037147102526,3.077497016129032,4.188595776224182,3.1448694014393626,2.096126469550799,11.202328847402596,11.202328847402596,11.202328847402596,1.889024654692082,11.202328847402596
Dylan Lee,669276,391,5.129565217391304,3.079280028169014,3.116855991387817,11.202328847402596,2.7533904677419354,11.202328847402596,4.219197361795776,11.202328847402596,11.202328847402596,11.202328847402596
Bobby Miller,676272,1947,5.098217770929635,3.0799397289622723,2.922807515540919,2.7968891183365545,2.246089521140271,11.202328847402596,4.201682731792489,3.403211938448585,11.202328847402596,11.202328847402596
Brandon Walter,687888,364,5.090109890109891,3.0853330542283803,4.2153786521739125,4.416750874190564,11.202328847402596,2.9477470531400964,4.198756076086957,11.202328847402596,1.3505534553775744,11.202328847402596
