rank,batter,player_name,team,primary_position,pa_to,pa_last21,prior_fp_per_pa,recency_form_gap,xfp_rh3_per_pa,xfp_rh3_per_game,xfp_rh3_sigma,xfp_rh3_p25,xfp_rh3_p75,expected_pa_remaining,expected_total_fp_remaining,replacement_xfp_per_pa,replacement_delta,signal,slump_pct_rank,slump_n_comparable,slump_bounce_pct,slump_next_rate,slump_delta
19,677951,Bobby Witt Jr.,KC,SS,154,84.0,0.7343907714388441,-0.0061,0.5959633652389399,2.09,0.10833760502031821,0.5228896506527353,0.6690370798251445,454.0,270.6,0.5251064100749211,0.0709,hold,29.0,172,71.5,0.2716,0.0287
20,689414,Liam Hicks,MIA,C,113,63.0,0.49823232926027233,0.0022,0.5957463363588901,2.09,0.10833760502031821,0.5226726217726855,0.6688200509450947,333.0,198.4,0.5294573433923947,0.0663,hold,98.9,88,64.8,0.34,0.1597
21,545361,Mike Trout,LAA,OF,158,88.0,0.5045127277334035,0.0159,0.5900592897126778,2.07,0.10833760502031821,0.5169855751264733,0.6631330042988824,466.0,275.0,0.48727107056748364,0.1028,add,45.9,514,73.2,0.395,0.0662
22,663538,Nico Hoerner,CHC,2B,152,83.0,0.609573404825212,-0.0106,0.5891222011071855,2.06,0.10833760502031821,0.5160484865209809,0.6621959156933901,449.0,264.5,0.512680046762604,0.0764,add,95.8,635,59.7,0.3317,0.0245
23,800050,Chase DeLauter,CLE,OF,130,72.0,0.5059091560109416,-0.0137,0.5885691756562769,2.06,0.10833760502031821,0.5154954610700723,0.6616428902424815,384.0,226.0,0.48727107056748364,0.1013,add,,0,,,
24,545121,Ildemaro Vargas,AZ,1B,108,73.0,0.49902485508726235,-0.0073,0.5850210185071016,2.05,0.10833760502031821,0.511947303920897,0.6580947330933062,319.0,186.6,0.5657062772493434,0.0193,hold,100.0,405,54.1,0.3,0.0157
25,665489,Vladimir Guerrero Jr.,TOR,1B,145,80.0,0.676687435523143,-0.0104,0.5839841278101002,2.04,0.10833760502031821,0.5109104132238956,0.6570578423963048,428.0,249.9,0.5657062772493434,0.0183,hold,53.0,499,83.0,0.3881,0.0689
26,668930,Brice Turang,MIL,2B,141,81.0,0.5153295751847756,-0.0002,0.5832804898914082,2.04,0.10833760502031821,0.5102067753052036,0.6563542044776128,416.0,242.6,0.512680046762604,0.0706,hold,94.1,383,57.4,0.2277,0.0225
27,547180,Bryce Harper,PHI,1B,145,81.0,0.6342855730104914,-0.015,0.5817952534333465,2.04,0.10833760502031821,0.5087215388471419,0.6548689680195511,428.0,249.0,0.5657062772493434,0.0161,hold,48.6,678,77.4,0.3657,0.0762
28,606466,Ketel Marte,AZ,2B,136,69.0,0.709040857701609,0.0027,0.5783962410381831,2.02,0.10833760502031821,0.5053225264519785,0.6514699556243877,401.0,231.9,0.512680046762604,0.0657,hold,10.2,121,86.8,0.31,0.1535
29,656941,Kyle Schwarber,PHI,OF,153,86.0,0.6316357015513445,-0.0028,0.5783257016534017,2.02,0.10833760502031821,0.5052519870671971,0.6513994162396063,452.0,261.4,0.48727107056748364,0.0911,add,64.5,811,73.2,0.285,0.0642
30,608324,Alex Bregman,CHC,3B,156,87.0,0.6339434907029985,0.0087,0.5756214437957634,2.01,0.10833760502031821,0.5025477292095588,0.648695158381968,460.0,264.8,0.5080282772550816,0.0676,hold,5.5,65,98.5,0.3762,0.1361
31,572233,Christian Walker,HOU,1B,144,80.0,0.5341372198241341,0.0039,0.5752982379290388,2.01,0.10833760502031821,0.5022245233428342,0.6483719525152434,425.0,244.5,0.5657062772493434,0.0096,hold,98.1,926,56.7,0.2822,0.0155
32,701398,Sal Stewart,CIN,1B,148,79.0,0.5840445534738538,-0.0173,0.5749974529973191,2.01,0.10833760502031821,0.5019237384111145,0.6480711675835237,437.0,251.3,0.5657062772493434,0.0093,hold,,0,,,
33,666160,Mickey Moniak,COL,OF,107,71.0,0.49906370602452155,0.004,0.5746106164687953,2.01,0.10833760502031821,0.5015369018825907,0.6476843310549999,316.0,181.6,0.48727107056748364,0.0873,add,96.5,356,69.1,0.2344,0.0919
34,676475,Alec Burleson,STL,1B,147,81.0,0.5717496191469357,-0.0095,0.5731211311259887,2.01,0.10833760502031821,0.5000474165397841,0.6461948457121933,434.0,248.7,0.5657062772493434,0.0074,hold,78.5,299,66.6,0.3433,0.038
35,621439,Byron Buxton,MIN,OF,147,85.0,0.6227842687992347,0.0153,0.5714870979772213,2.0,0.10833760502031821,0.4984133833910167,0.6445608125634259,434.0,248.0,0.48727107056748364,0.0842,add,70.5,585,74.4,0.25,0.0969
36,701762,Nick Kurtz,ATH,1B,154,91.0,0.7023327664913918,0.0087,0.5708468825257866,2.0,0.10833760502031821,0.49777316793958204,0.6439205971119912,454.0,259.2,0.5657062772493434,0.0051,hold,3.5,3,100.0,0.495,0.3322
37,672695,Geraldo Perdomo,AZ,SS,124,60.0,0.6361911604206346,0.0022,0.5670216584154543,1.98,0.10833760502031821,0.49394794382924967,0.6400953730016589,366.0,207.5,0.5251064100749211,0.0419,hold,73.8,383,62.9,0.2723,0.0454
38,663993,Nathaniel Lowe,CIN,1B,69,46.0,0.468180638315855,0.0112,0.5657062772493434,1.98,0.10833760502031821,0.4926325626631388,0.638779991835548,204.0,115.4,0.5657062772493434,0.0,hold,96.6,788,52.6,0.2338,0.0077
39,669364,Xavier Edwards,MIA,2B,145,79.0,0.5243669947991166,0.0116,0.5594914262122799,1.96,0.10833760502031821,0.4864177116260753,0.6325651407984845,428.0,239.5,0.512680046762604,0.0468,hold,99.5,201,49.3,0.2611,-0.0027
40,663656,Kyle Tucker,LAD,OF,146,79.0,0.7534798759131925,0.0051,0.5570856400255307,1.95,0.10833760502031821,0.48401192543932614,0.6301593546117353,431.0,240.1,0.48727107056748364,0.0698,hold,5.5,40,100.0,0.3871,0.1971
41,671056,Iván Herrera,STL,C,156,87.0,0.5929090946291966,-0.0027,0.5570667688152906,1.95,0.10833760502031821,0.483993054229086,0.6301404834014952,460.0,256.3,0.5294573433923947,0.0276,hold,74.4,122,91.8,0.4,0.1513
42,686469,Vinnie Pasquantino,KC,1B,138,69.0,0.6214042619568522,0.0161,0.5560412525110423,1.95,0.10833760502031821,0.4829675379248377,0.6291149670972469,407.0,226.3,0.5657062772493434,-0.0097,hold,6.6,26,100.0,0.3672,0.1824
43,607043,Brandon Nimmo,TEX,OF,147,80.0,0.5427531718077344,-0.0023,0.555691159494073,1.94,0.10833760502031821,0.4826174449078684,0.6287648740802776,434.0,241.2,0.48727107056748364,0.0684,hold,61.6,628,86.6,0.3069,0.066
44,645277,Ozzie Albies,ATL,2B,151,83.0,0.5785501357689482,0.0075,0.5548938227137664,1.94,0.10833760502031821,0.4818201081275618,0.627967537299971,446.0,247.5,0.512680046762604,0.0422,hold,96.4,955,55.4,0.3267,0.0132
45,660670,Ronald Acuña Jr.,ATL,OF,152,80.0,0.7609157166452808,-0.0104,0.554821424006578,1.94,0.10833760502031821,0.48174770942037337,0.6278951385927826,449.0,249.1,0.48727107056748364,0.0676,hold,23.0,180,95.6,0.3921,0.1756
46,673548,Seiya Suzuki,CHC,OF,92,79.0,0.5618668394624137,0.0087,0.5540209158614682,1.94,0.10833760502031821,0.4809472012752636,0.6270946304476728,272.0,150.7,0.48727107056748364,0.0667,hold,72.8,370,71.1,0.2786,0.0715
47,668939,Adley Rutschman,BAL,C,76,37.0,0.5254332277814474,0.0022,0.5533825711177693,1.94,0.10833760502031821,0.48030885653156474,0.6264562857039739,224.0,124.0,0.5294573433923947,0.0239,hold,92.6,451,55.2,0.3333,0.012
48,624413,Pete Alonso,BAL,1B,147,80.0,0.610220969330916,0.0113,0.5509242884409511,1.93,0.10833760502031821,0.4778505738547465,0.6239980030271557,434.0,239.1,0.5657062772493434,-0.0148,hold,15.2,148,96.6,0.3448,0.1581
49,682998,Corbin Carroll,AZ,OF,129,71.0,0.6812176603534003,-0.0226,0.5489585530942738,1.92,0.10833760502031821,0.4758848385080692,0.6220322676804784,381.0,209.2,0.48727107056748364,0.0617,hold,35.5,160,90.0,0.358,0.1125
50,514888,Jose Altuve,HOU,2B,144,73.0,0.6021504078582063,-0.0214,0.5487205646403318,1.92,0.10833760502031821,0.4756468500541272,0.6217942792265364,425.0,233.2,0.512680046762604,0.036,hold,14.3,205,97.1,0.3431,0.113
51,677594,Julio Rodríguez,SEA,OF,153,83.0,0.5746146828546682,0.0184,0.5484590258703692,1.92,0.10833760502031821,0.4753853112841646,0.6215327404565738,452.0,247.9,0.48727107056748364,0.0612,hold,41.0,227,92.1,0.2624,0.1047
52,805779,Jacob Wilson,ATH,SS,144,84.0,0.610068551051356,0.0048,0.5468844007362752,1.91,0.10833760502031821,0.4738106861500706,0.6199581153224798,425.0,232.4,0.5251064100749211,0.0218,hold,17.5,21,100.0,0.325,0.0517
53,682928,CJ Abrams,WSH,SS,143,81.0,0.5622056415505923,0.0035,0.5452749578115847,1.91,0.10833760502031821,0.47220124322538015,0.6183486723977893,422.0,230.1,0.5251064100749211,0.0202,hold,98.1,474,57.6,0.2847,0.0196
54,663757,Trent Grisham,NYY,OF,123,70.0,0.5068939282128299,-0.0019,0.5440891686544614,1.9,0.10833760502031821,0.47101545406825684,0.617162883240666,363.0,197.5,0.48727107056748364,0.0568,hold,70.9,503,70.0,0.205,0.0544
55,677800,Wilyer Abreu,BOS,OF,141,78.0,0.5447836326573312,0.0014,0.5440330858675482,1.9,0.10833760502031821,0.4709593712813436,0.6171068004537528,416.0,226.3,0.48727107056748364,0.0568,hold,90.8,216,50.5,0.2605,0.001
56,662139,Daulton Varsho,TOR,OF,124,65.0,0.5117964584022009,-0.012,0.5429624745223545,1.9,0.10833760502031821,0.46988875993614987,0.6160361891085591,366.0,198.7,0.48727107056748364,0.0557,hold,79.3,470,60.4,0.2574,0.0283
57,596019,Francisco Lindor,NYM,SS,105,30.0,0.668765942870591,0.0007,0.5400943439583266,1.89,0.10833760502031821,0.46702062937212196,0.6131680585445312,310.0,167.4,0.5251064100749211,0.015,hold,13.5,204,99.5,0.3614,0.152
58,687462,Spencer Horwitz,PIT,1B,116,71.0,0.5588638200375862,0.0069,0.5397449585282282,1.89,0.10833760502031821,0.46667124394202364,0.6128186731144328,342.0,184.6,0.5657062772493434,-0.026,hold,64.9,122,76.2,0.315,0.1057
59,647304,Josh Naylor,SEA,1B,139,72.0,0.6779911576687596,0.0065,0.5389602162739835,1.89,0.10833760502031821,0.4658865016877789,0.6120339308601881,410.0,221.0,0.5657062772493434,-0.0267,hold,10.7,76,98.7,0.2691,0.0833
60,656811,Ryan O'Hearn,PIT,OF,140,78.0,0.5635064525095028,-0.0101,0.5386171426445933,1.89,0.10833760502031821,0.46554342805838866,0.6116908572307979,413.0,222.4,0.48727107056748364,0.0513,hold,77.6,544,58.6,0.2624,0.0205
61,609280,Miguel Andujar,SD,3B,83,43.0,0.5506177430316396,-0.0029,0.5370386832562501,1.88,0.10833760502031821,0.46396496867004555,0.6101123978424547,245.0,131.6,0.5080282772550816,0.029,hold,65.0,286,78.9,0.3,0.066
62,664034,Ty France,SD,1B,56,40.0,0.4403384050576578,-0.0094,0.5360339959564834,1.88,0.10833760502031821,0.4629602813702788,0.609107710542688,165.0,88.4,0.5657062772493434,-0.0297,hold,94.6,778,52.0,0.2709,0.0042
63,593428,Xander Bogaerts,SD,SS,134,69.0,0.518643389433729,-0.0054,0.5356152648900367,1.87,0.10833760502031821,0.46254155030383215,0.6086889794762413,395.0,211.6,0.5251064100749211,0.0105,hold,46.2,677,77.8,0.32,0.073
64,669257,Will Smith,LAD,C,107,56.0,0.6153766592752704,-0.0076,0.5352919972376518,1.87,0.10833760502031821,0.46221828265144715,0.6083657118238563,316.0,169.2,0.5294573433923947,0.0058,hold,18.9,130,95.4,0.3507,0.1439
65,608369,Corey Seager,TEX,SS,143,78.0,0.6819435249314175,0.0053,0.5350176398788107,1.87,0.10833760502031821,0.4619439252926061,0.6080913544650153,422.0,225.8,0.5251064100749211,0.0099,hold,5.7,63,100.0,0.355,0.1705
66,805808,Kevin McGonigle,DET,SS,151,82.0,0.5059091560109416,-0.0013,0.5348467865642399,1.87,0.10833760502031821,0.4617730719780353,0.6079205011504445,446.0,238.5,0.5251064100749211,0.0097,hold,,0,,,
67,695578,James Wood,WSH,OF,168,94.0,0.5013355649014967,0.0041,0.53282833498375,1.86,0.10833760502031821,0.45975462039754544,0.6059020495699546,496.0,264.3,0.48727107056748364,0.0456,hold,55.4,112,82.1,0.26,0.0941
68,668715,Spencer Steer,CIN,OF,120,65.0,0.5390566702987344,0.0214,0.5323676772403693,1.86,0.10833760502031821,0.45929396265416467,0.6054413918265739,354.0,188.5,0.48727107056748364,0.0451,hold,36.0,163,90.8,0.297,0.1055
69,680777,Ryan Jeffers,MIN,C,105,59.0,0.5127165027221233,0.0021,0.5323086302912499,1.86,0.10833760502031821,0.45923491570504527,0.6053823448774545,310.0,165.0,0.5294573433923947,0.0029,hold,88.6,419,63.7,0.2512,0.0444
70,643446,Jeff McNeil,ATH,2B,117,69.0,0.5463862868499192,0.0011,0.5312354224553021,1.86,0.10833760502031821,0.4581617078690975,0.6043091370415067,345.0,183.3,0.512680046762604,0.0186,hold,45.2,398,70.6,0.3465,0.0533
71,693307,Dillon Dingler,DET,C,114,61.0,0.42759897557011317,-0.0037,0.5294573433923947,1.85,0.10833760502031821,0.4563836288061901,0.6025310579785993,336.0,177.9,0.5294573433923947,0.0,hold,100.0,121,76.0,0.2637,0.0599
72,682829,Elly De La Cruz,CIN,SS,150,77.0,0.5435966364013096,-0.0044,0.5292478479336618,1.85,0.10833760502031821,0.45617413334745716,0.6023215625198663,443.0,234.5,0.5251064100749211,0.0041,hold,79.5,307,66.1,0.2239,0.1025
73,678246,Miguel Vargas,CWS,3B,145,83.0,0.4784484381267186,0.0167,0.5279576070471523,1.85,0.10833760502031821,0.45488389246094774,0.6010313216333569,428.0,226.0,0.5080282772550816,0.0199,hold,87.3,240,53.8,0.2494,0.0224
74,676391,Ernie Clement,TOR,2B,139,77.0,0.5672378195929052,-0.0086,0.5270674432248936,1.84,0.10833760502031821,0.45399372863868903,0.6001411578110982,410.0,216.1,0.512680046762604,0.0144,hold,76.9,280,71.4,0.345,0.0562
75,621493,Taylor Ward,BAL,OF,156,86.0,0.5234293580469699,0.0078,0.526760206831402,1.84,0.10833760502031821,0.4536864922451974,0.5998339214176066,460.0,242.3,0.48727107056748364,0.0395,hold,83.4,551,69.7,0.2906,0.0685
76,666182,Bo Bichette,NYM,3B,150,76.0,0.559462068461047,0.0078,0.5264494825226809,1.84,0.10833760502031821,0.45337576793647627,0.5995231971088855,443.0,233.2,0.5080282772550816,0.0184,hold,5.7,41,100.0,0.2956,0.1618
77,683002,Gunnar Henderson,BAL,SS,153,82.0,0.6098794475054519,-0.014,0.5263751774112426,1.84,0.10833760502031821,0.453301462825038,0.5994488919974472,452.0,237.9,0.5251064100749211,0.0013,hold,9.7,45,100.0,0.28,0.1295
78,695657,Colson Montgomery,CWS,SS,141,78.0,0.6087542167914741,0.0166,0.5261789698513641,1.84,0.10833760502031821,0.45310525526515955,0.5992526844375687,416.0,218.9,0.5251064100749211,0.0011,hold,63.2,24,75.0,0.3003,0.0672
79,664023,Ian Happ,CHC,OF,147,87.0,0.5406254525830002,0.0054,0.5259198695513005,1.84,0.10833760502031821,0.45284615496509595,0.5989935841375051,434.0,228.2,0.48727107056748364,0.0386,hold,75.7,827,64.4,0.2611,0.0496
80,673962,Josh Jung,TEX,3B,126,81.0,0.43352767838523126,0.0088,0.5257353884867113,1.84,0.10833760502031821,0.4526616739005067,0.5988091030729159,372.0,195.6,0.5080282772550816,0.0177,hold,99.3,292,57.2,0.1809,0.0305
81,543807,George Springer,TOR,DH,75,13.0,0.6107638285791995,0.006,0.5253317195563785,1.84,0.10833760502031821,0.4522580049701739,0.5984054341425831,221.0,116.1,0.4407941827519389,0.0845,add,20.9,281,95.7,0.3202,0.1791
82,592518,Manny Machado,SD,3B,130,66.0,0.6042814452818683,-0.0187,0.525121728165365,1.84,0.10833760502031821,0.45204801357916036,0.5981954427515696,384.0,201.6,0.5080282772550816,0.0171,hold,20.9,329,92.4,0.3695,0.1568
83,607208,Trea Turner,PHI,SS,148,81.0,0.6160112109720727,0.0072,0.5251064100749211,1.84,0.10833760502031821,0.4520326954887165,0.5981801246611257,437.0,229.5,0.5251064100749211,0.0,hold,13.7,167,81.4,0.2886,0.0996
84,669016,Brandon Marsh,PHI,OF,114,59.0,0.46773417423264885,-0.0026,0.5234883086098937,1.83,0.10833760502031821,0.4504145940236891,0.5965620231960983,336.0,175.9,0.48727107056748364,0.0362,hold,85.9,483,61.9,0.1733,0.0335
85,691023,Jordan Walker,STL,OF,142,81.0,0.3674365608922871,-0.026,0.5232261084015091,1.83,0.10833760502031821,0.4501523938153045,0.5962998229877137,419.0,219.2,0.48727107056748364,0.036,hold,95.8,228,51.8,0.1443,0.0068
86,681624,Andy Pages,LAD,OF,136,75.0,0.5193008953175634,-0.0072,0.5218029030332164,1.83,0.10833760502031821,0.4487291884470118,0.594876617619421,401.0,209.2,0.48727107056748364,0.0345,hold,74.9,176,81.2,0.2874,0.0886
87,691016,Tyler Soderstrom,ATH,OF,138,74.0,0.5089720765146379,0.0043,0.519149093782388,1.82,0.10833760502031821,0.44607537919618345,0.5922228083685926,407.0,211.3,0.48727107056748364,0.0319,hold,54.3,125,98.4,0.3251,0.1457
88,664040,Brandon Lowe,PIT,2B,135,76.0,0.5358340562847919,0.004,0.5183083403074303,1.81,0.10833760502031821,0.44523462572122574,0.5913820548936349,398.0,206.3,0.512680046762604,0.0056,hold,81.5,582,54.1,0.2624,0.0147
89,695734,Daylen Lile,WSH,OF,151,81.0,0.6374331617402498,0.0042,0.5182423008164517,1.81,0.10833760502031821,0.44516858623024713,0.5913160154026563,446.0,231.1,0.48727107056748364,0.031,hold,6.9,4,100.0,0.4269,0.2055
90,650333,Luis Arraez,SF,2B,136,77.0,0.602681170753593,-0.0001,0.5182100367838659,1.81,0.10833760502031821,0.4451363221976613,0.5912837513700705,401.0,207.8,0.512680046762604,0.0055,hold,21.4,173,94.8,0.3924,0.0842
91,642086,Dominic Smith,ATL,1B,72,39.0,0.4655954143359286,-0.0063,0.5175706128599675,1.81,0.10833760502031821,0.44449689827376293,0.5906443274461721,212.0,109.7,0.5657062772493434,-0.0481,hold,93.5,660,62.4,0.2537,0.0392
92,669134,Luis Campusano,SD,C,54,36.0,0.5789040634729437,-0.0069,0.5162061775548655,1.81,0.10833760502031821,0.44313246296866093,0.5892798921410701,159.0,82.1,0.5294573433923947,-0.0133,hold,74.2,115,54.5,0.2414,0.0103
93,807712,Luke Keaschall,MIN,2B,144,76.0,0.6608759766819339,-0.0083,0.515033785912431,1.8,0.10833760502031821,0.4419600713262264,0.5881075004986356,425.0,218.9,0.512680046762604,0.0024,hold,0.0,0,,,
94,672640,Otto Lopez,MIA,SS,141,80.0,0.5214219615483072,-0.0041,0.5147993967197251,1.8,0.10833760502031821,0.4417256821335205,0.5878731113059297,416.0,214.2,0.5251064100749211,-0.0103,hold,74.4,169,81.1,0.3064,0.0606
95,681082,Bryson Stott,PHI,2B,106,56.0,0.5469650832459413,-0.0058,0.512680046762604,1.79,0.10833760502031821,0.43960633217639944,0.5857537613488086,313.0,160.5,0.512680046762604,0.0,hold,22.7,123,100.0,0.2687,0.1262
96,621043,Carlos Correa,HOU,SS,137,80.0,0.50940908579571,-0.0033,0.5121365413649182,1.79,0.10833760502031821,0.43906282677871356,0.5852102559511227,404.0,206.9,0.5251064100749211,-0.013,hold,59.1,721,74.3,0.3168,0.0683
97,575929,Willson Contreras,BOS,1B,142,75.0,0.5393091421446711,-0.0049,0.511953384676577,1.79,0.10833760502031821,0.43887967009037243,0.5850270992627816,419.0,214.5,0.5657062772493434,-0.0538,hold,52.5,543,72.6,0.2822,0.0535
98,686217,Sal Frelick,MIL,OF,121,64.0,0.5304434424940503,0.0008,0.5109504770964066,1.79,0.10833760502031821,0.437876762510202,0.5840241916826112,357.0,182.4,0.48727107056748364,0.0237,hold,55.6,173,81.5,0.285,0.0457
99,642708,Amed Rosario,NYY,3B,67,40.0,0.47239210706300894,-0.0034,0.5105663684978081,1.79,0.10833760502031821,0.4374926539116035,0.5836400830840127,198.0,101.1,0.5080282772550816,0.0025,hold,85.2,828,63.7,0.2376,0.0412
100,672761,Wenceel Pérez,DET,OF,61,54.0,0.4755391431722643,-0.0037,0.5104124967652502,1.79,0.10833760502031821,0.43733878217904565,0.5834862113514548,180.0,91.9,0.48727107056748364,0.0231,hold,52.9,100,81.1,0.2239,0.0767
101,807799,Masataka Yoshida,BOS,OF,61,33.0,0.5760699809283051,-0.019,0.5088421045260797,1.78,0.10833760502031821,0.4357683899398751,0.5819158191122843,180.0,91.6,0.48727107056748364,0.0216,hold,57.7,164,80.0,0.33,0.0954
102,666018,Jonathan Aranda,TB,1B,143,73.0,0.5349551897346442,-0.0039,0.5088415168544894,1.78,0.10833760502031821,0.4357678022682848,0.581915231440694,422.0,214.7,0.5657062772493434,-0.0569,hold,65.4,119,96.6,0.2906,0.1131
103,672580,Maikel Garcia,KC,3B,141,70.0,0.54284723473256,-0.0208,0.5085178251286557,1.78,0.10833760502031821,0.43544411054245113,0.5815915397148603,416.0,211.5,0.5080282772550816,0.0005,hold,67.9,281,59.1,0.2178,0.029
104,696100,Hunter Goodman,COL,C,134,73.0,0.5296498889630953,0.01,0.508140776351737,1.78,0.10833760502031821,0.43506706176553245,0.5812144909379416,395.0,200.7,0.5294573433923947,-0.0213,hold,29.4,60,96.7,0.2445,0.1231
105,670623,Isaac Paredes,HOU,3B,126,79.0,0.5897055843234388,0.0067,0.5080282772550816,1.78,0.10833760502031821,0.434954562668877,0.5811019918412862,372.0,189.0,0.5080282772550816,0.0,hold,44.1,233,88.8,0.35,0.0873
106,808959,Munetaka Murakami,CWS,1B,149,84.0,0.5059091560109416,0.0132,0.5046735317727873,1.77,0.10833760502031821,0.4315998171865827,0.5777472463589919,440.0,222.1,0.5657062772493434,-0.061,hold,,0,,,
107,680977,Brendan Donovan,SEA,3B,71,20.0,0.5647844263638329,0.0071,0.5044899451789739,1.77,0.10833760502031821,0.43141623059276935,0.5775636597651785,210.0,105.9,0.5080282772550816,-0.0035,hold,86.1,403,56.3,0.3433,0.0129
108,802139,JJ Wetherholt,STL,2B,157,88.0,0.5059091560109416,0.0098,0.5040151058478096,1.76,0.10833760502031821,0.430941391261605,0.5770888204340142,463.0,233.4,0.512680046762604,-0.0087,hold,,0,,,
109,808982,Jung Hoo Lee,SF,OF,129,72.0,0.5425534417161574,0.0078,0.5038929376126496,1.76,0.10833760502031821,0.43081922302644504,0.5769666521988542,381.0,192.0,0.48727107056748364,0.0166,hold,45.4,69,97.1,0.3433,0.0452
